Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,33300,33400,33280,33395,63
2026-05-04,09:20:00,1777866600,33410,33485,33410,33455,114
2026-05-04,09:25:00,1777866900,33485,33550,33440,33550,127
2026-05-04,09:30:00,1777867200,33595,33595,33520,33580,170
2026-05-04,09:35:00,1777867500,33555,33595,33550,33550,192
2026-05-04,09:40:00,1777867800,33500,33575,33490,33525,221
2026-05-04,09:45:00,1777868100,33525,33550,33465,33550,232
2026-05-04,09:50:00,1777868400,33550,33550,33505,33510,242
2026-05-04,09:55:00,1777868700,33545,33545,33500,33510,251
2026-05-04,10:00:00,1777869000,33600,33630,33570,33630,388
2026-05-04,10:05:00,1777869300,33570,33610,33560,33560,414
2026-05-04,10:10:00,1777869600,33560,33570,33555,33570,528
2026-05-04,10:15:00,1777869900,33600,33615,33600,33615,534
2026-05-04,10:20:00,1777870200,33615,33615,33500,33500,558
2026-05-04,10:25:00,1777870500,33525,33550,33480,33480,633
2026-05-04,10:30:00,1777870800,33510,33605,33510,33575,759
2026-05-04,10:35:00,1777871100,33595,33635,33590,33590,770
2026-05-04,10:40:00,1777871400,33620,33620,33520,33525,782
2026-05-04,10:45:00,1777871700,33565,33565,33465,33505,804
2026-05-04,10:50:00,1777872000,33570,33570,33490,33490,819
2026-05-04,10:55:00,1777872300,33460,33460,33430,33430,851
2026-05-04,11:00:00,1777872600,33435,33520,33435,33490,861
2026-05-04,11:05:00,1777872900,33495,33595,33495,33550,895
2026-05-04,11:10:00,1777873200,33560,33560,33555,33555,901
2026-05-04,11:15:00,1777873500,33590,33590,33550,33590,910
2026-05-04,11:20:00,1777873800,33590,33590,33590,33590,912
2026-05-04,11:25:00,1777874100,33590,33590,33590,33590,914
2026-05-04,11:30:00,1777874400,33550,33550,33550,33550,921
2026-05-04,11:35:00,1777874700,33550,33550,33530,33530,944
2026-05-04,11:40:00,1777875000,33500,33515,33500,33500,971
2026-05-04,11:45:00,1777875300,33500,33500,33465,33465,990
2026-05-04,11:50:00,1777875600,33345,33395,33320,33350,1132
2026-05-04,11:55:00,1777875900,33340,33340,33190,33205,1190
2026-05-04,12:00:00,1777876200,33220,33245,33145,33165,1220
2026-05-04,12:05:00,1777876500,33165,33165,33065,33100,1255
2026-05-04,12:10:00,1777876800,33095,33095,33060,33060,1275
2026-05-04,12:15:00,1777877100,33005,33065,33000,33055,1321
2026-05-04,12:20:00,1777877400,33025,33040,32995,33010,1405
2026-05-04,12:25:00,1777877700,33010,33040,33010,33025,1413
2026-05-04,12:30:00,1777878000,33000,33045,33000,33005,1449
2026-05-04,12:35:00,1777878300,33005,33005,33005,33005,1450
2026-05-04,12:45:00,1777878900,33000,33000,32955,32965,1461
2026-05-04,12:50:00,1777879200,32990,33000,32990,33000,1463
2026-05-04,12:55:00,1777879500,33030,33030,33030,33030,1464
2026-05-04,13:00:00,1777879800,32955,32985,32955,32985,1484
2026-05-04,13:05:00,1777880100,32955,32955,32955,32955,1486
2026-05-04,13:15:00,1777880700,32980,32990,32900,32900,1512
2026-05-04,13:20:00,1777881000,32905,32950,32905,32950,1521
2026-05-04,13:25:00,1777881300,32945,32945,32850,32860,1546
2026-05-04,13:30:00,1777881600,32860,32915,32845,32845,1570
2026-05-04,13:35:00,1777881900,32845,32890,32845,32880,1577
2026-05-04,13:40:00,1777882200,32895,32910,32895,32905,1597
2026-05-04,13:45:00,1777882500,32960,32960,32960,32960,1598
2026-05-04,13:50:00,1777882800,32905,32905,32905,32905,1608
2026-05-04,13:55:00,1777883100,32910,32910,32910,32910,1614
2026-05-04,14:00:00,1777883400,32930,32930,32905,32905,1620
2026-05-04,14:05:00,1777883700,32905,32945,32905,32945,1634
2026-05-04,14:10:00,1777884000,32940,33090,32940,33090,1673
2026-05-04,14:15:00,1777884300,33050,33090,33040,33055,1682
