Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,1850.5,1860,1844.2,1851.9,95661
2025-12-03,00:00:00,1764700200,1852,1865.6,1835.6,1840.2,118566
2025-12-04,00:00:00,1764786600,1838,1843.9,1808,1815.2,209730
2025-12-05,00:00:00,1764873000,1815.6,1825,1795.1,1798.2,264463
2025-12-08,00:00:00,1765132200,1798.2,1812.8,1788.4,1796,153659
2025-12-09,00:00:00,1765218600,1796,1796.4,1770.4,1785,171828
2025-12-10,00:00:00,1765305000,1787.9,1801,1779,1782.3,140814
2025-12-11,00:00:00,1765391400,1781,1788.8,1772.1,1778.9,156499
2025-12-12,00:00:00,1765477800,1784.9,1796.2,1770,1771.7,240221
2025-12-15,00:00:00,1765737000,1774,1789.9,1770.1,1777.6,131589
2025-12-16,00:00:00,1765823400,1783,1784.7,1767.5,1771.4,112332
2025-12-17,00:00:00,1765909800,1772,1774.9,1751,1758.9,119306
2025-12-18,00:00:00,1765996200,1758.8,1761.9,1750.9,1754.9,91071
2025-12-19,00:00:00,1766082600,1763.9,1770,1747,1751.5,220065
2025-12-22,00:00:00,1766341800,1760,1789.6,1760,1782.5,131493
2025-12-23,00:00:00,1766428200,1794.9,1804.8,1746,1754.2,873238
2025-12-24,00:00:00,1766514600,1755,1760.1,1735,1739.4,419682
2025-12-26,00:00:00,1766687400,1744.2,1752,1725,1735.3,358878
2025-12-29,00:00:00,1766946600,1735.9,1738.4,1723,1725.2,154517
2025-12-30,00:00:00,1767033000,1725.2,1745,1715,1732.1,227716
2025-12-31,00:00:00,1767119400,1737,1741.8,1725,1737.7,196513
2026-01-01,00:00:00,1767205800,1737.9,1744.9,1730.1,1740.4,161847
2026-01-02,00:00:00,1767292200,1740.1,1751.9,1737.1,1748.8,177224
2026-01-05,00:00:00,1767551400,1751.9,1778.9,1750.2,1771.6,221151
2026-01-06,00:00:00,1767637800,1777,1777,1745.5,1752,165747
2026-01-07,00:00:00,1767724200,1751.2,1759,1747.5,1755.4,92042
2026-01-08,00:00:00,1767810600,1755.4,1755.4,1717,1723.4,139385
2026-01-09,00:00:00,1767897000,1723.4,1725.8,1701,1703.2,152899
2026-01-12,00:00:00,1768156200,1703.2,1714.2,1687,1706.7,145178
2026-01-13,00:00:00,1768242600,1712.6,1729.6,1702,1707.3,145199
2026-01-14,00:00:00,1768329000,1708.9,1729,1705,1728.1,102791
2026-01-16,00:00:00,1768501800,1729.9,1763,1712.6,1755.6,245388
2026-01-19,00:00:00,1768761000,1755.5,1755.5,1728,1733.7,78984
2026-01-20,00:00:00,1768847400,1731.1,1743.4,1691.1,1696.8,180990
2026-01-21,00:00:00,1768933800,1696.8,1731.7,1673.1,1716.7,191606
2026-01-22,00:00:00,1769020200,1729.9,1738,1720.2,1728.2,93146
2026-01-23,00:00:00,1769106600,1728.2,1729,1663.9,1669.1,291265
2026-01-27,00:00:00,1769452200,1699,1699,1668.8,1687.9,160507
2026-01-28,00:00:00,1769538600,1688,1704.2,1669.1,1684.3,336420
2026-01-29,00:00:00,1769625000,1684.3,1689.5,1668.1,1678.5,294451
2026-01-30,00:00:00,1769711400,1671,1679,1626.1,1636.9,227280
2026-02-01,00:00:00,1769884200,1654,1670,1614.2,1620.8,126502
2026-02-02,00:00:00,1769970600,1620.8,1645.5,1593,1636,192361
2026-02-03,00:00:00,1770057000,1667.7,1688.4,1654.1,1668.9,243255
2026-02-04,00:00:00,1770143400,1668.9,1694,1656,1692.1,103704
2026-02-05,00:00:00,1770229800,1694,1694,1668,1676.2,87906
2026-02-06,00:00:00,1770316200,1675,1689.6,1652.5,1667.4,124609
2026-02-09,00:00:00,1770575400,1671.9,1709.8,1671.9,1706.1,131395
2026-02-10,00:00:00,1770661800,1710.1,1713.5,1689.1,1695.4,126437
2026-02-11,00:00:00,1770748200,1706.9,1706.9,1683,1698,92105
2026-02-12,00:00:00,1770834600,1703.9,1703.9,1665.5,1671.3,117026
2026-02-13,00:00:00,1770921000,1667.9,1675,1632,1637.1,129132
2026-02-16,00:00:00,1771180200,1638,1648.9,1620.2,1632.2,146223
2026-02-17,00:00:00,1771266600,1633.1,1649.2,1625.7,1639.4,148310
2026-02-18,00:00:00,1771353000,1639.4,1648.8,1630.1,1640.6,65970
2026-02-19,00:00:00,1771439400,1640.6,1646.8,1611,1617.6,89225
2026-02-20,00:00:00,1771525800,1610,1625.8,1602,1612.6,85754
2026-02-23,00:00:00,1771785000,1628.7,1628.8,1611,1618.8,96024
2026-02-24,00:00:00,1771871400,1618.5,1624.4,1605.6,1619.1,87389
2026-02-25,00:00:00,1771957800,1620.2,1631.6,1618,1623.9,99578
2026-02-26,00:00:00,1772044200,1628,1630,1610.1,1613.1,104053
2026-02-27,00:00:00,1772130600,1614,1617.2,1585.1,1592.4,173456
2026-03-02,00:00:00,1772389800,1568,1576,1546.1,1553.2,212450
2026-03-04,00:00:00,1772562600,1542,1545.5,1510,1529.7,258447
2026-03-05,00:00:00,1772649000,1523.6,1528.4,1505.1,1523.6,165123
2026-03-06,00:00:00,1772735400,1514,1535,1499,1501.2,259409
2026-03-09,00:00:00,1772994600,1476,1476,1435.7,1450.5,239746
2026-03-10,00:00:00,1773081000,1463.3,1482.2,1447.2,1474,212739
2026-03-11,00:00:00,1773167400,1481,1497.4,1452.7,1456.4,205801
2026-03-12,00:00:00,1773253800,1455.7,1455.7,1425.2,1433.4,258116
2026-03-13,00:00:00,1773340200,1430,1430.1,1360,1376.4,418777
2026-03-16,00:00:00,1773599400,1377,1386.1,1361.8,1373.2,278403
2026-03-17,00:00:00,1773685800,1380,1391.1,1368.5,1385,247661
2026-03-18,00:00:00,1773772200,1385.1,1409.5,1376.4,1405.2,201573
2026-03-19,00:00:00,1773858600,1390,1396.5,1349.1,1352.9,294292
2026-03-20,00:00:00,1773945000,1362,1390,1358.6,1381.4,380815
2026-03-23,00:00:00,1774204200,1374.9,1374.9,1320,1329.8,413599
2026-03-24,00:00:00,1774290600,1356.5,1357.9,1319.5,1334.3,249566
2026-03-25,00:00:00,1774377000,1340,1383.3,1340,1367.9,254138
2026-03-27,00:00:00,1774549800,1367.9,1367.9,1305,1314.4,480450
2026-03-30,00:00:00,1774809000,1305.1,1306.5,1251.7,1254.6,496998
2026-04-01,00:00:00,1774981800,1280.1,1331.9,1280.1,1327.9,208873
2026-04-02,00:00:00,1775068200,1311,1329,1289.7,1325.9,190185
2026-04-06,00:00:00,1775413800,1325.9,1369.9,1310.1,1362.1,148242
2026-04-07,00:00:00,1775500200,1357.9,1358.6,1333.1,1340,127358
