Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,27735,27845,27710,27710,76
2026-05-29,09:16:00,1780026360,27730,27745,27615,27745,113
2026-05-29,09:17:00,1780026420,27765,27780,27750,27750,155
2026-05-29,09:18:00,1780026480,27785,27800,27755,27755,174
2026-05-29,09:19:00,1780026540,27740,27755,27740,27740,189
2026-05-29,09:20:00,1780026600,27755,27755,27720,27720,202
2026-05-29,09:21:00,1780026660,27735,27780,27695,27780,259
2026-05-29,09:22:00,1780026720,27775,27775,27730,27730,263
2026-05-29,09:23:00,1780026780,27730,27730,27730,27730,270
2026-05-29,09:24:00,1780026840,27725,27725,27725,27725,281
2026-05-29,09:25:00,1780026900,27750,27750,27705,27705,317
2026-05-29,09:26:00,1780026960,27725,27730,27670,27720,340
2026-05-29,09:27:00,1780027020,27730,27730,27730,27730,345
2026-05-29,09:28:00,1780027080,27705,27730,27705,27730,355
2026-05-29,09:29:00,1780027140,27740,27740,27690,27690,377
2026-05-29,09:30:00,1780027200,27700,27705,27700,27705,391
2026-05-29,09:31:00,1780027260,27715,27720,27705,27720,399
2026-05-29,09:32:00,1780027320,27680,27745,27675,27710,433
2026-05-29,09:33:00,1780027380,27690,27690,27665,27665,438
2026-05-29,09:34:00,1780027440,27650,27655,27645,27655,555
2026-05-29,09:35:00,1780027500,27665,27665,27665,27665,556
2026-05-29,09:36:00,1780027560,27660,27680,27660,27665,597
2026-05-29,09:37:00,1780027620,27675,27840,27675,27840,670
2026-05-29,09:38:00,1780027680,27815,27820,27785,27785,674
2026-05-29,09:39:00,1780027740,27770,27815,27765,27765,706
2026-05-29,09:40:00,1780027800,27760,27785,27735,27785,720
2026-05-29,09:41:00,1780027860,27730,27730,27730,27730,725
2026-05-29,09:42:00,1780027920,27755,27755,27755,27755,730
2026-05-29,09:43:00,1780027980,27735,27780,27715,27750,892
2026-05-29,09:44:00,1780028040,27715,27730,27710,27730,901
2026-05-29,09:45:00,1780028100,27730,27730,27730,27730,903
2026-05-29,09:46:00,1780028160,27750,27750,27750,27750,904
2026-05-29,09:47:00,1780028220,27760,27760,27760,27760,906
2026-05-29,09:48:00,1780028280,27750,27750,27750,27750,912
2026-05-29,09:49:00,1780028340,27735,27735,27735,27735,913
2026-05-29,09:50:00,1780028400,27765,27770,27750,27770,933
2026-05-29,09:52:00,1780028520,27770,27770,27770,27770,934
2026-05-29,09:54:00,1780028640,27750,27750,27730,27730,949
2026-05-29,09:55:00,1780028700,27755,27755,27710,27755,979
2026-05-29,09:57:00,1780028820,27760,27760,27760,27760,980
2026-05-29,09:59:00,1780028940,27780,27785,27780,27785,999
2026-05-29,10:00:00,1780029000,27755,27805,27755,27805,1019
2026-05-29,10:01:00,1780029060,27775,27775,27775,27775,1028
2026-05-29,10:02:00,1780029120,27750,27775,27750,27775,1035
2026-05-29,10:03:00,1780029180,27790,27795,27790,27795,1047
2026-05-29,10:04:00,1780029240,27765,27765,27765,27765,1052
2026-05-29,10:07:00,1780029420,27775,27775,27775,27775,1059
2026-05-29,10:08:00,1780029480,27775,27775,27775,27775,1060
