Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,29820,30000,29130,29240,8701
2025-12-03,00:00:00,1764700200,29300,29720,28820,28890,11743
2025-12-04,00:00:00,1764786600,28890,29190,28770,28850,6556
2025-12-05,00:00:00,1764873000,28850,29140,28660,28945,8644
2025-12-08,00:00:00,1765132200,28850,28880,28410,28725,12314
2025-12-09,00:00:00,1765218600,28700,28700,28020,28075,12732
2025-12-10,00:00:00,1765305000,28080,28245,27770,27985,11892
2025-12-11,00:00:00,1765391400,27810,28250,27810,28205,3130
2025-12-12,00:00:00,1765477800,28210,28210,27950,28010,5059
2025-12-15,00:00:00,1765737000,28100,28100,27815,27885,4142
2025-12-16,00:00:00,1765823400,28010,28010,27770,27805,2415
2025-12-17,00:00:00,1765909800,27950,27960,27540,27630,2848
2025-12-18,00:00:00,1765996200,27640,28040,27430,27980,3873
2025-12-19,00:00:00,1766082600,27995,28200,27870,28035,3745
2025-12-22,00:00:00,1766341800,28055,28195,27775,28010,4844
2025-12-23,00:00:00,1766428200,28200,28600,27885,28295,6431
2025-12-24,00:00:00,1766514600,28200,28805,27950,28515,22010
2025-12-26,00:00:00,1766687400,28515,28990,28425,28905,3858
2025-12-29,00:00:00,1766946600,28950,28975,28290,28905,20873
2025-12-30,00:00:00,1767033000,29045,29045,28225,28680,21561
2025-12-31,00:00:00,1767119400,28820,29250,28600,29025,5558
2026-01-01,00:00:00,1767205800,28860,28990,28405,28485,3948
2026-01-02,00:00:00,1767292200,28485,28490,27955,28125,10295
2026-01-05,00:00:00,1767551400,28250,28250,28030,28155,3129
2026-01-06,00:00:00,1767637800,28155,28515,28100,28440,8996
2026-01-07,00:00:00,1767724200,28600,28600,28140,28485,5385
2026-01-08,00:00:00,1767810600,28445,28525,28155,28340,2884
2026-01-09,00:00:00,1767897000,28200,28395,27785,28095,11568
2026-01-12,00:00:00,1768156200,28010,28515,27770,28380,5889
2026-01-13,00:00:00,1768242600,28420,28525,28000,28090,3869
2026-01-14,00:00:00,1768329000,28105,28350,27850,27880,4218
2026-01-16,00:00:00,1768501800,27880,28130,27650,27755,3983
2026-01-19,00:00:00,1768761000,27725,28020,27600,27750,3254
2026-01-20,00:00:00,1768847400,27750,27750,27140,27210,4656
2026-01-21,00:00:00,1768933800,27260,27695,26930,27575,3881
2026-01-22,00:00:00,1769020200,27800,27880,27540,27725,2237
2026-01-23,00:00:00,1769106600,27850,28100,27555,27780,3524
2026-01-27,00:00:00,1769452200,27915,27915,27230,27685,4631
2026-01-28,00:00:00,1769538600,27895,27895,27515,27610,3515
2026-01-29,00:00:00,1769625000,27575,27575,26580,26635,14774
2026-01-30,00:00:00,1769711400,26610,27995,26430,27565,17026
2026-02-01,00:00:00,1769884200,27690,27690,27060,27245,1799
2026-02-02,00:00:00,1769970600,27470,27495,26940,27325,6255
2026-02-03,00:00:00,1770057000,27885,27910,26800,26880,10469
2026-02-04,00:00:00,1770143400,27000,27280,26815,27100,7911
2026-02-05,00:00:00,1770229800,27200,27300,26865,27215,3371
2026-02-06,00:00:00,1770316200,27200,27415,26915,27365,4095
2026-02-09,00:00:00,1770575400,27450,27700,27305,27480,10042
2026-02-10,00:00:00,1770661800,27700,27700,27235,27295,10501
2026-02-11,00:00:00,1770748200,27495,27495,26820,26915,9404
2026-02-12,00:00:00,1770834600,27135,27135,26550,26660,14882
2026-02-13,00:00:00,1770921000,26680,26685,26300,26460,6553
2026-02-16,00:00:00,1771180200,26495,26665,26240,26290,4779
2026-02-17,00:00:00,1771266600,26470,26700,26210,26620,8453
2026-02-18,00:00:00,1771353000,26740,26850,26435,26460,7659
2026-02-19,00:00:00,1771439400,26530,26545,26335,26395,4981
2026-02-20,00:00:00,1771525800,26495,26780,26250,26295,7695
2026-02-23,00:00:00,1771785000,26415,26515,26240,26470,4509
2026-02-24,00:00:00,1771871400,26400,26520,26215,26365,1960
2026-02-25,00:00:00,1771957800,26485,26500,26100,26410,5546
2026-02-26,00:00:00,1772044200,26540,26540,26265,26355,1908
2026-02-27,00:00:00,1772130600,26410,26595,26075,26530,7169
2026-03-02,00:00:00,1772389800,26025,26900,26000,26805,12530
2026-03-04,00:00:00,1772562600,26805,27930,26505,27825,25338
2026-03-05,00:00:00,1772649000,27905,28490,27520,27615,18832
2026-03-06,00:00:00,1772735400,27615,27630,27160,27325,6061
