Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,1002.9,1007.9,974.05,976.95,1497092
2025-12-03,00:00:00,1764700200,976.95,981.8,960,969.5,772602
2025-12-04,00:00:00,1764786600,970,979.25,965.6,971.7,612340
2025-12-05,00:00:00,1764873000,971.65,980.95,961.1,978.85,545222
2025-12-08,00:00:00,1765132200,978.85,982,949.3,960.5,1414070
2025-12-09,00:00:00,1765218600,954.5,976.95,946.35,974.6,891748
2025-12-10,00:00:00,1765305000,979.4,1004,975.6,982.55,1831768
2025-12-11,00:00:00,1765391400,986,1005,979,999.6,1271880
2025-12-12,00:00:00,1765477800,1000.05,1016.35,998.8,1011.3,2110784
2025-12-15,00:00:00,1765737000,1014.4,1020,1007.05,1016.45,887627
2025-12-16,00:00:00,1765823400,1009.65,1014.7,988.2,994.3,742084
2025-12-17,00:00:00,1765909800,990,995,971.1,977.55,742531
2025-12-18,00:00:00,1765996200,977.5,988.85,969,976.3,753721
2025-12-19,00:00:00,1766082600,977.4,990.95,971.65,988.25,2708958
2025-12-22,00:00:00,1766341800,988.25,1010,984.8,1007.9,487354
2025-12-23,00:00:00,1766428200,1009.75,1013.85,988.3,994.6,597753
2025-12-24,00:00:00,1766514600,996.25,1007,990.1,996.55,317485
2025-12-26,00:00:00,1766687400,996.1,1020.4,991.1,1015.3,894166
2025-12-29,00:00:00,1766946600,1020.3,1023.05,996.1,999.35,453491
2025-12-30,00:00:00,1767033000,1000.4,1028.2,996.3,1024.15,879685
2025-12-31,00:00:00,1767119400,1024.15,1033,1014.6,1027.35,663080
2026-01-01,00:00:00,1767205800,1029,1061.7,1026.3,1046.4,2771177
2026-01-02,00:00:00,1767292200,1056.9,1067.7,1050.2,1057.9,1370725
2026-01-05,00:00:00,1767551400,1054.7,1057.7,1040,1044.9,783498
2026-01-06,00:00:00,1767637800,1048.9,1057,1036.4,1044.1,957872
2026-01-07,00:00:00,1767724200,1043.3,1047.9,1028.4,1033.5,489225
2026-01-08,00:00:00,1767810600,1032,1032,988,994.3,1182605
2026-01-09,00:00:00,1767897000,996,999.1,952,960.6,967758
2026-01-12,00:00:00,1768156200,960.6,960.6,928,950.9,1341852
2026-01-13,00:00:00,1768242600,963.1,963.1,923.1,932.5,1847216
2026-01-14,00:00:00,1768329000,937,937,918.6,922.6,1589464
2026-01-16,00:00:00,1768501800,922.5,929.6,902.7,908.7,1741275
2026-01-19,00:00:00,1768761000,908.7,921,902.3,908.4,923693
2026-01-20,00:00:00,1768847400,915.1,928.8,881,885.5,1936179
2026-01-21,00:00:00,1768933800,885,907.9,876.3,899.3,1645912
2026-01-22,00:00:00,1769020200,904.2,932.9,904.2,924.8,979746
2026-01-23,00:00:00,1769106600,925,925,803.1,812.7,7623697
2026-01-27,00:00:00,1769452200,830,857.5,811.3,849.1,3675055
2026-01-28,00:00:00,1769538600,857,886,838,882,1896173
2026-01-29,00:00:00,1769625000,881.9,920.5,867,914.1,2161176
2026-01-30,00:00:00,1769711400,900,916,883.2,894.8,1140000
2026-02-01,00:00:00,1769884200,885.6,906.5,842,845.75,908084
2026-02-02,00:00:00,1769970600,849.9,890,842.8,884.6,1530800
2026-02-03,00:00:00,1770057000,951,982.7,937.2,974.4,5085074
2026-02-04,00:00:00,1770143400,961.55,1002.15,957.7,988.15,1645647
2026-02-05,00:00:00,1770229800,980,1016.5,980,1011.45,1770119
2026-02-06,00:00:00,1770316200,1010.4,1025.95,1001.5,1017.7,1811726
2026-02-09,00:00:00,1770575400,1023.8,1040,1023.3,1032.5,1002729
2026-02-10,00:00:00,1770661800,1033.9,1033.9,1002.5,1016.75,1014007
2026-02-11,00:00:00,1770748200,1014,1037,1009.85,1033.8,929372
2026-02-12,00:00:00,1770834600,1030,1037,1020,1022.8,772484
2026-02-13,00:00:00,1770921000,1017,1017,979,988,1657616
2026-02-16,00:00:00,1771180200,977,1007.5,972.3,1003.45,976113
2026-02-17,00:00:00,1771266600,1002,1035,996,1030.2,1460922
2026-02-18,00:00:00,1771353000,1033.55,1038.8,1018.3,1035.7,565965
2026-02-19,00:00:00,1771439400,1035,1036.1,1003.3,1007.2,917451
2026-02-20,00:00:00,1771525800,995.05,1010.3,984.35,998.1,2534563
