Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,641.95,653,641.55,646.95,297520
2026-05-04,09:20:00,1777866600,646.75,650.2,642.4,643.3,407310
2026-05-04,09:25:00,1777866900,643.45,644,638.35,643.05,514047
2026-05-04,09:30:00,1777867200,643,648.75,641.85,642.25,618732
2026-05-04,09:35:00,1777867500,641.7,642.2,639.7,641,681041
2026-05-04,09:40:00,1777867800,641.2,642,640.05,642,716176
2026-05-04,09:45:00,1777868100,641.65,642.1,639.25,640.4,754468
2026-05-04,09:50:00,1777868400,640.15,643.5,639.1,642.5,797892
2026-05-04,09:55:00,1777868700,643,646.5,642.7,644.85,889131
2026-05-04,10:00:00,1777869000,645.45,645.45,641.55,641.9,922545
2026-05-04,10:05:00,1777869300,642.15,643.65,642,642.5,936307
2026-05-04,10:10:00,1777869600,642.45,644.75,640.6,641.7,973988
2026-05-04,10:15:00,1777869900,640.95,641.95,640.3,641,1006015
2026-05-04,10:20:00,1777870200,640.95,641.95,639.75,640.1,1028317
2026-05-04,10:25:00,1777870500,639.75,641.1,638.55,641.1,1052013
2026-05-04,10:30:00,1777870800,641,641.4,638.95,639.75,1071782
2026-05-04,10:35:00,1777871100,639.7,640.95,639.6,640.05,1092539
2026-05-04,10:40:00,1777871400,640.45,644.6,640.45,642.85,1125223
2026-05-04,10:45:00,1777871700,642.9,644.7,642.55,643.95,1146918
2026-05-04,10:50:00,1777872000,644.3,646.5,643.95,644.6,1195893
2026-05-04,10:55:00,1777872300,645,647.4,644.3,644.4,1256348
2026-05-04,11:00:00,1777872600,644.65,650.45,644.4,649.6,1335811
2026-05-04,11:05:00,1777872900,649.75,654,647.2,650.4,1481452
2026-05-04,11:10:00,1777873200,650.9,651.7,648.5,648.7,1555314
2026-05-04,11:15:00,1777873500,648.6,649.7,646,647.05,1599592
2026-05-04,11:20:00,1777873800,647.7,648.75,647.05,648.65,1622044
2026-05-04,11:25:00,1777874100,648.8,650.35,648.15,649.8,1654360
2026-05-04,11:30:00,1777874400,649.9,653.35,648.85,652,1726584
2026-05-04,11:35:00,1777874700,652.05,660.8,651.75,658.1,2068998
2026-05-04,11:40:00,1777875000,658.2,665.4,656.1,659,2379942
2026-05-04,11:45:00,1777875300,659.25,659.3,655,656.4,2492975
2026-05-04,11:50:00,1777875600,656.75,658.1,655.6,656.95,2527688
2026-05-04,11:55:00,1777875900,656.3,656.95,653.4,654.1,2579761
2026-05-04,12:00:00,1777876200,654.35,655.65,652.55,653,2615693
2026-05-04,12:05:00,1777876500,653.25,653.45,651.4,652.25,2660078
2026-05-04,12:10:00,1777876800,652.45,652.85,650.5,650.5,2708313
2026-05-04,12:15:00,1777877100,650.8,650.9,649.2,649.2,2738613
2026-05-04,12:20:00,1777877400,649.05,649.5,647.5,647.95,2763031
2026-05-04,12:25:00,1777877700,647.8,648.9,647.25,647.8,2790746
2026-05-04,12:30:00,1777878000,647.75,647.75,646.1,646.5,2819719
2026-05-04,12:35:00,1777878300,646.35,647.95,646.05,647.8,2852216
2026-05-04,12:40:00,1777878600,647.65,648.35,647,647.3,2875761
2026-05-04,12:45:00,1777878900,647.05,648,646.2,646.55,2897074
2026-05-04,12:50:00,1777879200,647,647,645.15,646.25,2914865
2026-05-04,12:55:00,1777879500,646.1,646.95,645.75,646.2,2933604
2026-05-04,13:00:00,1777879800,646.15,646.9,645.65,646.55,2945732
2026-05-04,13:05:00,1777880100,646.2,648.25,646.2,647.95,2974008
2026-05-04,13:10:00,1777880400,648,649.8,648,648,2996029
2026-05-04,13:15:00,1777880700,647.4,648,645.95,646.95,3013116
2026-05-04,13:20:00,1777881000,646.45,646.8,643.5,645,3084776
2026-05-04,13:25:00,1777881300,644.6,645.55,642.6,643,3117168
2026-05-04,13:30:00,1777881600,642.7,643.75,641.4,642.6,3144824
2026-05-04,13:35:00,1777881900,642.4,644.8,641.4,644.75,3167039
2026-05-04,13:40:00,1777882200,644.25,645.6,644,645.5,3200819
2026-05-04,13:45:00,1777882500,645.2,646.4,645,646.4,3230386
2026-05-04,13:50:00,1777882800,646,647.25,645.55,645.6,3259140
2026-05-04,13:55:00,1777883100,645.2,646.15,643.95,644.75,3271063
2026-05-04,14:00:00,1777883400,645.05,645.5,644.1,645.3,3277943
2026-05-04,14:05:00,1777883700,645,646,644.85,645.8,3286972
2026-05-04,14:10:00,1777884000,645.95,648,645.65,647.1,3316131
2026-05-04,14:15:00,1777884300,647.5,649,646.65,648.25,3342533
2026-05-04,14:20:00,1777884600,648.4,648.95,646.8,647.25,3369031
2026-05-04,14:25:00,1777884900,647.1,647.65,645.65,646.65,3400421
2026-05-04,14:30:00,1777885200,646.2,647,645.5,646,3409315
2026-05-04,14:35:00,1777885500,645.7,646.25,644.05,645,3422909
2026-05-04,14:40:00,1777885800,644.9,645,643.85,644.8,3442573
2026-05-04,14:45:00,1777886100,644.95,644.95,643,643.9,3456367
2026-05-04,14:50:00,1777886400,643.8,645.15,643.6,644.8,3477064
2026-05-04,14:55:00,1777886700,645.3,645.4,644,644.35,3484331
2026-05-04,15:00:00,1777887000,644.75,645.2,644.25,644.5,3505534
2026-05-04,15:05:00,1777887300,644.2,645.15,644.2,644.3,3533877
2026-05-04,15:10:00,1777887600,644.6,645.75,643.8,644.5,3590847
2026-05-04,15:15:00,1777887900,644.8,644.8,642.05,643.2,3687825
2026-05-04,15:20:00,1777888200,643.55,643.55,641.65,642.1,3792160
2026-05-04,15:25:00,1777888500,642.4,643.55,641.1,643.4,3914129
