Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,601.5,602.25,591,593.4,389279
2025-12-04,00:00:00,1764786600,592.8,597,591.1,593,231421
2025-12-05,00:00:00,1764873000,595,597.45,590.15,593.15,241999
2025-12-08,00:00:00,1765132200,594,594.05,573,577.05,663922
2025-12-09,00:00:00,1765218600,574,594,570.4,590.1,635126
2025-12-10,00:00:00,1765305000,591.2,596.7,584,588.9,352276
2025-12-11,00:00:00,1765391400,588,591.25,581.55,587.05,300210
2025-12-12,00:00:00,1765477800,589.4,597.3,589.15,593.7,288954
2025-12-15,00:00:00,1765737000,593.5,597.85,590.35,592.55,200024
2025-12-16,00:00:00,1765823400,592,592.5,585.1,586.9,189273
2025-12-17,00:00:00,1765909800,586.8,590,580.3,584.65,232805
2025-12-18,00:00:00,1765996200,584.55,585,575.2,581.95,252719
2025-12-19,00:00:00,1766082600,582,585.6,562.75,568.75,760702
2025-12-22,00:00:00,1766341800,573.3,573.7,567.5,568.7,506616
2025-12-23,00:00:00,1766428200,570.85,570.9,562.4,563.4,534922
2025-12-24,00:00:00,1766514600,565.1,569.35,561,565.2,554316
2025-12-26,00:00:00,1766687400,565.15,585,563,569.8,842886
2025-12-29,00:00:00,1766946600,570.55,572.1,563.1,564.9,302381
2025-12-30,00:00:00,1767033000,565,567.15,562.5,564.05,243328
2025-12-31,00:00:00,1767119400,564.9,571.05,564.1,566.7,248347
2026-01-01,00:00:00,1767205800,567.35,621,567.35,594.1,10982992
2026-01-02,00:00:00,1767292200,588.5,591.8,585.1,587.6,809537
2026-01-05,00:00:00,1767551400,587.55,587.6,575.75,577.05,562506
2026-01-06,00:00:00,1767637800,578.2,581.85,569,570.35,435877
2026-01-07,00:00:00,1767724200,571,572.5,568,571.5,344248
2026-01-08,00:00:00,1767810600,572,577.8,561.05,564.15,526321
2026-01-09,00:00:00,1767897000,563.95,564,555.3,556.55,375608
2026-01-12,00:00:00,1768156200,555.35,559.35,544.5,557.25,484290
2026-01-13,00:00:00,1768242600,558.85,564,554,555.45,307388
2026-01-14,00:00:00,1768329000,555.45,558.8,552.95,554.4,250494
2026-01-16,00:00:00,1768501800,554.95,558.05,545,546.75,553847
2026-01-19,00:00:00,1768761000,548.95,550.5,541.5,544.7,326610
2026-01-20,00:00:00,1768847400,544.7,548.75,530,532.3,467312
2026-01-21,00:00:00,1768933800,534.95,537.8,522.8,528.15,650505
2026-01-22,00:00:00,1769020200,532.95,555,532.95,548,647552
2026-01-23,00:00:00,1769106600,550.65,550.65,507.05,517.45,2182806
2026-01-27,00:00:00,1769452200,528.05,536.7,513.05,525.3,1410430
2026-01-28,00:00:00,1769538600,527,534.95,519.6,529.85,510039
2026-01-29,00:00:00,1769625000,529.85,536.15,522,527.1,680543
2026-01-30,00:00:00,1769711400,527.1,531.25,520.6,526.95,355049
2026-02-01,00:00:00,1769884200,529.8,530.45,514.5,517.9,368291
2026-02-02,00:00:00,1769970600,522.65,525.9,511,519.05,500247
2026-02-03,00:00:00,1770057000,550,558,537,542.35,1648965
2026-02-04,00:00:00,1770143400,535.05,553.15,535.05,548.9,818590
2026-02-05,00:00:00,1770229800,549.65,553.15,543,545.4,303887
2026-02-06,00:00:00,1770316200,545,552.25,540.25,543.5,360154
2026-02-09,00:00:00,1770575400,552.8,564.8,544,545.55,542445
2026-02-10,00:00:00,1770661800,548.2,549,539.55,543.2,380040
2026-02-11,00:00:00,1770748200,543.2,545,539.2,542.25,229071
2026-02-12,00:00:00,1770834600,542,544.35,533,535.95,241207
2026-02-13,00:00:00,1770921000,533,533.5,518.05,519.9,473476
2026-02-16,00:00:00,1771180200,521,533,515.1,529.05,370260
2026-02-17,00:00:00,1771266600,529.5,536,525,533.85,277889
2026-02-18,00:00:00,1771353000,533,538.2,528.85,531,282162
2026-02-19,00:00:00,1771439400,531,534.2,520,522,231919
2026-02-20,00:00:00,1771525800,522.4,524.45,518,519.2,317392
2026-02-23,00:00:00,1771785000,522,528.1,521.55,525.6,279098
2026-02-24,00:00:00,1771871400,523,523.7,515.15,518.15,275654
2026-02-25,00:00:00,1771957800,523.65,523.65,513.05,515.15,276399
2026-02-26,00:00:00,1772044200,517.5,519.9,514,516.1,174554
2026-02-27,00:00:00,1772130600,516.1,517.6,510.05,512,208796
2026-03-02,00:00:00,1772389800,489.85,500,483,492.85,754603
2026-03-04,00:00:00,1772562600,487.9,487.9,477,480.8,533471
2026-03-05,00:00:00,1772649000,481.5,486.5,478,483.45,459707
2026-03-06,00:00:00,1772735400,485,492,481.2,482.65,363825
2026-03-09,00:00:00,1772994600,481,481,462.8,467.9,476128
2026-03-10,00:00:00,1773081000,468.95,478,463.45,472.45,793303
2026-03-11,00:00:00,1773167400,479,566.9,474.9,566.9,18960811
2026-03-12,00:00:00,1773253800,594,651,589.9,607.6,48585918
2026-03-13,00:00:00,1773340200,624,644.85,554,565.9,31842446
2026-03-16,00:00:00,1773599400,588.95,604.3,514.1,522.05,18277892
2026-03-17,00:00:00,1773685800,525.7,533.7,490,516.85,8611067
