Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,8176.5,8317,8176.5,8275,22207
2026-05-29,09:16:00,1780026360,8278,8297,8274,8293.5,24273
2026-05-29,09:17:00,1780026420,8290.5,8293.5,8282,8289,27575
2026-05-29,09:18:00,1780026480,8288,8288,8275,8278.5,29176
2026-05-29,09:19:00,1780026540,8277.5,8295.5,8277.5,8294,30736
2026-05-29,09:20:00,1780026600,8301,8317.5,8301,8314,33850
2026-05-29,09:21:00,1780026660,8311,8319.5,8309,8310,35543
2026-05-29,09:22:00,1780026720,8312,8320,8310,8317,37030
2026-05-29,09:23:00,1780026780,8314,8315,8303,8303,38281
2026-05-29,09:24:00,1780026840,8295.5,8299.5,8289.5,8290.5,40736
2026-05-29,09:25:00,1780026900,8290,8291.5,8283,8284,43293
2026-05-29,09:26:00,1780026960,8285,8298,8283,8296.5,47176
2026-05-29,09:27:00,1780027020,8293,8297.5,8291,8294.5,49097
2026-05-29,09:28:00,1780027080,8294,8307,8294,8306.5,50362
2026-05-29,09:29:00,1780027140,8304.5,8307,8288,8288,51451
2026-05-29,09:30:00,1780027200,8282,8286.5,8280.5,8281.5,54714
2026-05-29,09:31:00,1780027260,8283,8298.5,8281.5,8291.5,55819
2026-05-29,09:32:00,1780027320,8290,8292.5,8266,8266,58155
2026-05-29,09:33:00,1780027380,8268.5,8272.5,8260,8261,59623
2026-05-29,09:34:00,1780027440,8261.5,8261.5,8253,8257,60853
2026-05-29,09:35:00,1780027500,8254.5,8256,8252,8252,62142
2026-05-29,09:36:00,1780027560,8254,8256.5,8252,8255,62613
2026-05-29,09:37:00,1780027620,8256.5,8261,8256.5,8261,63739
2026-05-29,09:38:00,1780027680,8252.5,8257,8252,8252.5,65105
2026-05-29,09:39:00,1780027740,8255,8261.5,8252.5,8261.5,65704
2026-05-29,09:40:00,1780027800,8260,8261.5,8255,8255,66861
2026-05-29,09:41:00,1780027860,8255.5,8258,8255,8256,67709
2026-05-29,09:42:00,1780027920,8258.5,8260,8251,8253,68653
2026-05-29,09:43:00,1780027980,8252,8252,8246.5,8247,69309
2026-05-29,09:44:00,1780028040,8246.5,8252,8244,8247.5,70316
2026-05-29,09:45:00,1780028100,8250,8254,8242,8250.5,71265
2026-05-29,09:46:00,1780028160,8251,8254.5,8251,8253,71626
2026-05-29,09:47:00,1780028220,8253.5,8257,8253,8253,72002
2026-05-29,09:48:00,1780028280,8253.5,8261.5,8250,8261.5,74179
2026-05-29,09:49:00,1780028340,8261,8273,8259,8273,74697
2026-05-29,09:50:00,1780028400,8270,8287.5,8270,8287,76089
2026-05-29,09:51:00,1780028460,8283.5,8303.5,8283.5,8303.5,77255
2026-05-29,09:52:00,1780028520,8306,8306,8300,8300,78204
2026-05-29,09:53:00,1780028580,8297.5,8304,8296,8303,78663
2026-05-29,09:54:00,1780028640,8304,8304.5,8299.5,8300,79414
2026-05-29,09:55:00,1780028700,8298.5,8302.5,8296,8297,79885
2026-05-29,09:56:00,1780028760,8300,8300.5,8297,8299.5,80199
2026-05-29,09:57:00,1780028820,8297.5,8302,8297.5,8302,80540
2026-05-29,09:58:00,1780028880,8302.5,8305,8297,8300,81136
2026-05-29,09:59:00,1780028940,8302.5,8306.5,8299.5,8306.5,81340
2026-05-29,10:00:00,1780029000,8308.5,8312,8307.5,8311,81735
2026-05-29,10:01:00,1780029060,8313,8319,8312,8315,83015
2026-05-29,10:02:00,1780029120,8312,8318.5,8312,8318,83373
2026-05-29,10:03:00,1780029180,8316,8324,8316,8317.5,84964
2026-05-29,10:04:00,1780029240,8320.5,8325,8316.5,8322.5,85674
2026-05-29,10:05:00,1780029300,8322,8325,8322,8325,86193
2026-05-29,10:06:00,1780029360,8324,8324,8316,8317.5,86707
2026-05-29,10:07:00,1780029420,8318,8318,8310.5,8313.5,87094
2026-05-29,10:08:00,1780029480,8314,8314,8310,8310,87373
2026-05-29,10:09:00,1780029540,8313,8313,8310,8310.5,87633
2026-05-29,10:10:00,1780029600,8310,8316.5,8308,8316.5,88255
2026-05-29,10:11:00,1780029660,8312.5,8320,8312.5,8320,89505
