Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,5798,5890,5755.5,5773.5,40042
2025-12-04,00:00:00,1764786600,5818,5829,5733.5,5756,18210
2025-12-05,00:00:00,1764873000,5780,5896,5716,5865.5,31170
2025-12-08,00:00:00,1765132200,5865.5,5865.5,5700,5731,29646
2025-12-09,00:00:00,1765218600,5703,5890,5606,5862.5,37920
2025-12-10,00:00:00,1765305000,5826,5912.5,5791,5874.5,19711
2025-12-11,00:00:00,1765391400,5836,5866,5801.5,5835,17574
2025-12-12,00:00:00,1765477800,5850,5945,5824,5928,18347
2025-12-15,00:00:00,1765737000,5924.5,5930.5,5831,5850,9478
2025-12-16,00:00:00,1765823400,5860,5884,5735,5759.5,11311
2025-12-17,00:00:00,1765909800,5750,5899,5687,5876,31612
2025-12-18,00:00:00,1765996200,5850,5850,5743,5799.5,22329
2025-12-19,00:00:00,1766082600,5791.5,6169,5780,6007,138405
2025-12-22,00:00:00,1766341800,6020,6070,5961.5,5991,12689
2025-12-23,00:00:00,1766428200,5991,6111,5901.5,6090.5,67835
2025-12-24,00:00:00,1766514600,6051,6090,6000,6055,33571
2025-12-26,00:00:00,1766687400,6059,6095,6010,6048.5,10575
2025-12-29,00:00:00,1766946600,6049.5,6182,6049.5,6152.5,44914
2025-12-30,00:00:00,1767033000,6152.5,6173,6014.5,6039.5,17926
2025-12-31,00:00:00,1767119400,6030,6159,6030,6141,20597
2026-01-01,00:00:00,1767205800,6159,6190,6093,6169,10914
2026-01-02,00:00:00,1767292200,6200,6200,6091,6109.5,11362
2026-01-05,00:00:00,1767551400,6144,6223.5,6129.5,6177.5,14337
2026-01-06,00:00:00,1767637800,6162,6199.5,6062,6182.5,20490
2026-01-07,00:00:00,1767724200,6210,6210,6077,6116.5,6366
2026-01-08,00:00:00,1767810600,6093,6190,6046,6175,19205
2026-01-09,00:00:00,1767897000,6121,6152.5,6030,6074.5,12099
2026-01-12,00:00:00,1768156200,6100,6225.5,5961.5,6191,35612
2026-01-13,00:00:00,1768242600,6192.5,6263.5,6101,6137.5,11850
2026-01-14,00:00:00,1768329000,6137.5,6190,5982.5,6020,14868
2026-01-16,00:00:00,1768501800,6021,6044.5,5960.5,6003,19792
2026-01-19,00:00:00,1768761000,6020,6020.5,5870,5926.5,11674
2026-01-20,00:00:00,1768847400,5882,5895,5649,5664.5,26457
2026-01-21,00:00:00,1768933800,5700,5847,5560.5,5810,33481
2026-01-22,00:00:00,1769020200,5811,5899,5750,5772.5,14565
2026-01-23,00:00:00,1769106600,5781.5,5948,5735,5826.5,32441
2026-01-27,00:00:00,1769452200,5876,5941.5,5713,5839.5,19806
2026-01-28,00:00:00,1769538600,5800,6174,5800,6149,33055
2026-01-29,00:00:00,1769625000,6164.5,6210,6066,6187.5,24803
2026-01-30,00:00:00,1769711400,6106,6304,6100.5,6212.5,19163
2026-02-01,00:00:00,1769884200,6292,6292,5970.5,5996,8426
2026-02-02,00:00:00,1769970600,5955,6032,5868,5963,14561
2026-02-03,00:00:00,1770057000,6278,6903.5,6100,6271.5,101661
2026-02-04,00:00:00,1770143400,6280,6345,6164.5,6317.5,11762
2026-02-05,00:00:00,1770229800,6315,6360,6232.5,6253.5,10880
2026-02-06,00:00:00,1770316200,6260,6551,6163,6459,22551
2026-02-09,00:00:00,1770575400,6499,6564,6410,6531,30522
2026-02-10,00:00:00,1770661800,6530,6720,6480,6644,26839
2026-02-11,00:00:00,1770748200,6615,6724,6535,6664,22912
2026-02-12,00:00:00,1770834600,6610,6714,6515,6628.5,27128
2026-02-13,00:00:00,1770921000,6600.5,6666,6492,6634.5,14694
2026-02-16,00:00:00,1771180200,6607,6619,6534.5,6547.5,7240
2026-02-17,00:00:00,1771266600,6547.5,6719.5,6516.5,6652.5,16305
2026-02-18,00:00:00,1771353000,6640,6654,6570,6641,9961
2026-02-19,00:00:00,1771439400,6645,6660,6565,6600,17422
2026-02-20,00:00:00,1771525800,6600,6621.5,6533,6581,38215
2026-02-23,00:00:00,1771785000,6624,6646,6456,6527,64198
2026-02-24,00:00:00,1771871400,6535,6535,6440,6468,60680
2026-02-25,00:00:00,1771957800,6500,6549,6420,6540,14654
2026-02-26,00:00:00,1772044200,6540,6609,6486,6528.5,12287
2026-02-27,00:00:00,1772130600,6549.5,6815,6475,6674,38087
2026-03-02,00:00:00,1772389800,6545,6582.5,6472,6531,15306
2026-03-04,00:00:00,1772562600,6460,6737.5,6258,6508,19718
2026-03-05,00:00:00,1772649000,6575,6620,6371.5,6561,13760
2026-03-06,00:00:00,1772735400,6500,6584.5,6370,6415,7485
2026-03-09,00:00:00,1772994600,6384,6384,6106,6136.5,23090
2026-03-10,00:00:00,1773081000,6225,6256,5977,6058.5,39036
2026-03-11,00:00:00,1773167400,6079.5,6227.5,6010,6203,31283
2026-03-12,00:00:00,1773253800,6150,6325,6055,6302.5,24270
2026-03-13,00:00:00,1773340200,6210,6538,5990,6464,55404
2026-03-16,00:00:00,1773599400,6365.5,6436,6210.5,6256,18816
2026-03-17,00:00:00,1773685800,6270,6306.5,6142,6198.5,33289
2026-03-18,00:00:00,1773772200,6194.5,6403,6194.5,6351,16896
2026-03-19,00:00:00,1773858600,6242,6331,6201.5,6221.5,9547
2026-03-20,00:00:00,1773945000,6283.5,6347.5,6200,6245,15169
2026-03-23,00:00:00,1774204200,6192,6248,6045.5,6102.5,30831
2026-03-24,00:00:00,1774290600,6180,6218,6061,6118,115028
2026-03-25,00:00:00,1774377000,6197,6286,6082.5,6221.5,62828
2026-03-27,00:00:00,1774549800,6200,6261,6149,6240,33678
2026-03-30,00:00:00,1774809000,6240,6385.5,6082.5,6368.5,44569
2026-04-01,00:00:00,1774981800,6399,6506.5,6310.5,6436.5,29298
2026-04-02,00:00:00,1775068200,6410,6410,6260,6296,13862
2026-04-06,00:00:00,1775413800,6300,6372,6125,6149,17885
2026-04-07,00:00:00,1775500200,6187,6260,6148.5,6211.5,11493
2026-04-08,00:00:00,1775586600,6300,6423.5,6271.5,6388,11929
2026-04-09,00:00:00,1775673000,6335,6497,6335,6456.5,10371
2026-04-10,00:00:00,1775759400,6456.5,6520,6403.5,6450,23083
2026-04-13,00:00:00,1776018600,6323.5,6423,6289.5,6308.5,8962
2026-04-15,00:00:00,1776191400,6408.5,6580,6351,6549.5,23342
2026-04-16,00:00:00,1776277800,6590,6615,6539.5,6598.5,13224
2026-04-17,00:00:00,1776364200,6598.5,6617.5,6555,6600,19597
2026-04-20,00:00:00,1776623400,6620,6641,6510.5,6536,9944
2026-04-21,00:00:00,1776709800,6549,6682.5,6530,6557,41650
2026-04-22,00:00:00,1776796200,6580,6707,6550,6666.5,18911
2026-04-23,00:00:00,1776882600,6670,6889,6575,6727,103969
2026-04-24,00:00:00,1776969000,6798,6999,6605,6680.5,317741
2026-04-27,00:00:00,1777228200,6750,6770,6554.5,6700,70212
2026-04-28,00:00:00,1777314600,6700,7029.5,6680,6855,72001
2026-04-29,00:00:00,1777401000,6867.5,6983.5,6769.5,6812,27047
2026-04-30,00:00:00,1777487400,6790,6844.5,6703,6817.5,24570
2026-05-04,00:00:00,1777833000,6890,7030,6857,6949.5,33904
2026-05-05,00:00:00,1777919400,7010,7054,6876.5,6911,24256
2026-05-06,00:00:00,1778005800,6956,7150,6920.5,7108,35239
2026-05-07,00:00:00,1778092200,7171,7180,6986,7033.5,21359
2026-05-08,00:00:00,1778178600,7025,7112,7016.5,7088.5,33172
2026-05-11,00:00:00,1778437800,7050,7051,6870,6892,22001
2026-05-12,00:00:00,1778524200,6870,6939.5,6804,6851.5,57814
2026-05-13,00:00:00,1778610600,6886.5,7070,6862,6988,39652
