Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,468,475.35,468,470.35,41389
2026-05-04,10:15:00,1777869900,469.9,470.95,467.9,468.85,65165
2026-05-04,11:15:00,1777873500,468.9,469,465,465.1,93294
2026-05-04,12:15:00,1777877100,465.65,469.4,461.6,466.65,136456
2026-05-04,13:15:00,1777880700,466.85,466.95,460.6,463,154930
2026-05-04,14:15:00,1777884300,463.75,465.45,461,465.45,177972
2026-05-04,15:15:00,1777887900,465.05,466.65,462.05,465.05,200917
2026-05-05,09:15:00,1777952700,462.05,464.4,452.15,453.05,76003
2026-05-05,10:15:00,1777956300,453,453.05,449.2,452.3,108976
2026-05-05,11:15:00,1777959900,452.65,453.45,450.8,452.05,123296
2026-05-05,12:15:00,1777963500,452.45,454.6,450.95,453.65,140531
2026-05-05,13:15:00,1777967100,453.9,455,451.75,452,162231
2026-05-05,14:15:00,1777970700,451.75,453.75,450.65,452.8,185050
2026-05-05,15:15:00,1777974300,452.75,453.95,452,453.75,211821
2026-05-06,09:15:00,1778039100,458.1,464.85,456.25,463.3,78940
2026-05-06,10:15:00,1778042700,463.55,468.65,460.2,467.9,121889
2026-05-06,11:15:00,1778046300,468.95,469.9,465.7,466.15,149614
2026-05-06,12:15:00,1778049900,466.65,467.75,464.4,466.35,162796
2026-05-06,13:15:00,1778053500,466.25,468.35,465.5,467.95,174774
2026-05-06,14:15:00,1778057100,468,474.4,467.35,472.85,219040
2026-05-06,15:15:00,1778060700,473.45,475.9,473,473,249642
2026-05-07,09:15:00,1778125500,477,492.45,477,485.2,110311
2026-05-07,10:15:00,1778129100,484.45,486.5,482.6,484.55,130374
2026-05-07,11:15:00,1778132700,484.85,487.65,484.55,487.45,141927
2026-05-07,12:15:00,1778136300,487.65,489.3,486.8,487.9,155746
2026-05-07,13:15:00,1778139900,488.55,491.95,486.8,491.2,178591
2026-05-07,14:15:00,1778143500,491.9,494,489.4,489.4,242652
2026-05-07,15:15:00,1778147100,490,492,486.75,490,269898
2026-05-08,09:15:00,1778211900,487.6,494,485,488.15,29780
2026-05-08,10:15:00,1778215500,488.6,495.25,488.15,493.05,659496
2026-05-08,11:15:00,1778219100,493.05,504.95,491.75,502.85,727445
2026-05-08,12:15:00,1778222700,502.55,504.25,500.25,501,769605
2026-05-08,13:15:00,1778226300,500.85,501.95,497,497.45,791278
2026-05-08,14:15:00,1778229900,497.25,499.85,497.15,497.85,812155
2026-05-08,15:15:00,1778233500,498.05,498.25,491,494.8,846472
2026-05-11,09:15:00,1778471100,494.9,513.8,489.05,508.9,154625
2026-05-11,10:15:00,1778474700,508.9,509.4,505.25,508.45,186482
2026-05-11,11:15:00,1778478300,508.5,509.75,504.1,505.5,217200
2026-05-11,12:15:00,1778481900,505.2,507.45,502.7,506.65,235309
2026-05-11,13:15:00,1778485500,507,507.5,505.25,506.7,252979
2026-05-11,14:15:00,1778489100,506.7,507.75,499.6,503.3,336736
2026-05-11,15:15:00,1778492700,502.75,505,502.2,504.9,371112
2026-05-12,09:15:00,1778557500,500,504.85,495.3,495.8,59723
2026-05-12,10:15:00,1778561100,496,497.9,489.05,489.05,87032
2026-05-12,11:15:00,1778564700,490,495,489.1,492.8,110994
2026-05-12,12:15:00,1778568300,492.6,495.65,488.6,490.1,135089
2026-05-12,13:15:00,1778571900,491.15,491.15,485,485.7,157599
2026-05-12,14:15:00,1778575500,485.4,487.3,476.65,478.8,203142
2026-05-12,15:15:00,1778579100,478.75,479.9,476.05,478,226693
2026-05-13,09:15:00,1778643900,470,485.75,470,477.8,86319
2026-05-13,10:15:00,1778647500,477.4,478.6,470.5,471.8,117845
2026-05-13,11:15:00,1778651100,471.45,475.15,471.35,474.8,135694
2026-05-13,12:15:00,1778654700,474.8,477.6,473.55,476.65,149385
2026-05-13,13:15:00,1778658300,476.7,479.45,475,476.6,169760
2026-05-13,14:15:00,1778661900,476.5,483.8,476.05,477,201814
2026-05-13,15:15:00,1778665500,476.9,480,476.1,479,216530
2026-05-14,09:15:00,1778730300,485.5,496,482.75,495.85,202837
2026-05-14,10:15:00,1778733900,495.75,498.85,494,496.5,316001
2026-05-14,11:15:00,1778737500,496.5,505.7,496.3,503.25,417422
