Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,4585,4585,4430.7,4436,116373
2026-05-04,09:20:00,1777866600,4433.9,4449.9,4394.2,4402.9,179368
2026-05-04,09:25:00,1777866900,4403.8,4442.9,4402.1,4438,225123
2026-05-04,09:30:00,1777867200,4438.5,4464.2,4431.6,4451.1,259168
2026-05-04,09:35:00,1777867500,4450.1,4459.9,4424,4427.7,286035
2026-05-04,09:40:00,1777867800,4425.9,4441.3,4418,4435.2,321836
2026-05-04,09:45:00,1777868100,4437,4445,4425,4425.8,341039
2026-05-04,09:50:00,1777868400,4425,4435.8,4424,4432.6,352167
2026-05-04,09:55:00,1777868700,4435.8,4438,4430.1,4430.9,357788
2026-05-04,10:00:00,1777869000,4433,4433,4390,4393,395270
2026-05-04,10:05:00,1777869300,4393.2,4412.3,4391,4402,423569
2026-05-04,10:10:00,1777869600,4400,4412.6,4387,4387,448821
2026-05-04,10:15:00,1777869900,4386.1,4420,4385,4419.7,485362
2026-05-04,10:20:00,1777870200,4417.4,4420,4406.2,4407.4,497607
2026-05-04,10:25:00,1777870500,4407.8,4413.9,4403,4408.2,515694
2026-05-04,10:30:00,1777870800,4406.4,4415.8,4405.1,4410,520640
2026-05-04,10:35:00,1777871100,4411.2,4417.8,4403,4406.1,528132
2026-05-04,10:40:00,1777871400,4405,4415.9,4396.7,4415.9,548881
2026-05-04,10:45:00,1777871700,4416,4444.9,4415,4444.9,568917
2026-05-04,10:50:00,1777872000,4443,4458,4440,4444.2,601846
2026-05-04,10:55:00,1777872300,4445,4461.6,4441,4448.3,614432
2026-05-04,11:00:00,1777872600,4448.1,4454.2,4430.5,4436.5,630046
2026-05-04,11:05:00,1777872900,4436.6,4436.6,4426.5,4428,636477
2026-05-04,11:10:00,1777873200,4427.8,4440.7,4425.4,4440.7,644806
2026-05-04,11:15:00,1777873500,4440.1,4445,4433.8,4434.1,649737
2026-05-04,11:20:00,1777873800,4434.3,4437.7,4430,4433,653415
2026-05-04,11:25:00,1777874100,4432.9,4434.4,4411.2,4413.5,662556
2026-05-04,11:30:00,1777874400,4414.8,4439.7,4411.4,4432.6,671785
2026-05-04,11:35:00,1777874700,4433.8,4435.4,4401.1,4408,685653
2026-05-04,11:40:00,1777875000,4406.5,4408.3,4383.5,4383.5,713226
2026-05-04,11:45:00,1777875300,4383.4,4385,4364.2,4365.8,753044
2026-05-04,11:50:00,1777875600,4365.1,4376.8,4359.2,4360,775416
2026-05-04,11:55:00,1777875900,4360.6,4377.5,4358,4376.3,790602
2026-05-04,12:00:00,1777876200,4376.5,4379.9,4366.8,4369.6,798351
2026-05-04,12:05:00,1777876500,4369.5,4373.2,4359.3,4360.4,813272
2026-05-04,12:10:00,1777876800,4360,4364.7,4351.2,4362,837737
2026-05-04,12:15:00,1777877100,4360.9,4375,4359.2,4374.9,848860
2026-05-04,12:20:00,1777877400,4375,4379.5,4373.1,4376,859690
2026-05-04,12:25:00,1777877700,4378,4392.9,4376,4391.9,873734
2026-05-04,12:30:00,1777878000,4392,4398,4388.1,4394.2,887112
2026-05-04,12:35:00,1777878300,4394.4,4405.7,4388.9,4405.4,910398
2026-05-04,12:40:00,1777878600,4407.8,4407.8,4395.2,4397.9,923731
2026-05-04,12:45:00,1777878900,4397.5,4400,4380.5,4388.9,941363
2026-05-04,12:50:00,1777879200,4389,4392.5,4385.3,4388,947897
2026-05-04,12:55:00,1777879500,4388.4,4390,4385.9,4389.2,952318
2026-05-04,13:00:00,1777879800,4389,4390.7,4385.3,4389,956025
2026-05-04,13:05:00,1777880100,4387.4,4389.8,4381,4382,961600
2026-05-04,13:10:00,1777880400,4382.8,4384.3,4380.6,4381.8,966122
2026-05-04,13:15:00,1777880700,4381.5,4383.8,4380.6,4383.6,970609
2026-05-04,13:20:00,1777881000,4382,4384.3,4371.2,4373.9,978130
2026-05-04,13:25:00,1777881300,4373.5,4380.9,4363,4365,988367
2026-05-04,13:30:00,1777881600,4365.5,4369.4,4362.3,4364.3,996899
2026-05-04,13:35:00,1777881900,4362.8,4369.7,4361.4,4368.3,1001794
2026-05-04,13:40:00,1777882200,4368.9,4378.6,4367,4377.8,1006815
2026-05-04,13:45:00,1777882500,4377,4377,4370,4374.6,1011992
2026-05-04,13:50:00,1777882800,4374.5,4382,4371.3,4379.6,1017004
2026-05-04,13:55:00,1777883100,4379.5,4380.3,4373.4,4374.9,1025650
2026-05-04,14:00:00,1777883400,4374.3,4376,4370,4375.1,1033362
2026-05-04,14:05:00,1777883700,4374.8,4378.8,4369.2,4371.9,1040112
2026-05-04,14:10:00,1777884000,4372,4373.5,4365.4,4373,1054268
2026-05-04,14:15:00,1777884300,4373.3,4375.4,4367.7,4372.1,1064290
2026-05-04,14:20:00,1777884600,4372.8,4382.5,4367.6,4382,1072820
2026-05-04,14:25:00,1777884900,4381.6,4382.5,4370,4371.7,1089334
2026-05-04,14:30:00,1777885200,4371.6,4375,4368.3,4374.5,1100748
2026-05-04,14:35:00,1777885500,4374.4,4375.7,4371,4372.9,1109497
2026-05-04,14:40:00,1777885800,4374,4377.5,4370.6,4375.8,1121574
2026-05-04,14:45:00,1777886100,4375.6,4375.6,4364.4,4367.1,1135903
2026-05-04,14:50:00,1777886400,4367.4,4373,4364.1,4367.3,1146729
2026-05-04,14:55:00,1777886700,4366.4,4373,4360.8,4366.9,1159358
2026-05-04,15:00:00,1777887000,4366.1,4368.9,4360.6,4365.1,1169553
2026-05-04,15:05:00,1777887300,4365.5,4373.9,4363.3,4372.7,1191429
2026-05-04,15:10:00,1777887600,4373.4,4377.9,4372,4377,1237865
2026-05-04,15:15:00,1777887900,4377.9,4380.7,4373.1,4380.7,1266804
2026-05-04,15:20:00,1777888200,4381.4,4387.4,4375,4376,1337322
2026-05-04,15:25:00,1777888500,4375.1,4377,4365,4365.8,1358728
2026-05-05,09:15:00,1777952700,4380,4381.7,4341,4354.4,27469
2026-05-05,09:20:00,1777953000,4354.9,4358,4342.1,4351.7,34569
2026-05-05,09:25:00,1777953300,4352.2,4353,4338.8,4340.5,43139
2026-05-05,09:30:00,1777953600,4340,4346,4338,4338.2,49551
2026-05-05,09:35:00,1777953900,4340.9,4348,4331.3,4334.7,55148
2026-05-05,09:40:00,1777954200,4334.2,4335.4,4327.6,4331,60546
2026-05-05,09:45:00,1777954500,4330.1,4344.8,4330.1,4344.8,65339
2026-05-05,09:50:00,1777954800,4342.8,4344,4326.5,4326.7,70527
2026-05-05,09:55:00,1777955100,4326.1,4335.7,4325,4333.2,75566
2026-05-05,10:00:00,1777955400,4335,4336.2,4322,4323,82085
2026-05-05,10:05:00,1777955700,4322.5,4325.4,4317.6,4325,89067
2026-05-05,10:10:00,1777956000,4324,4325,4318,4318,93139
2026-05-05,10:15:00,1777956300,4318.3,4322.5,4318,4321.9,95148
2026-05-05,10:20:00,1777956600,4322,4322.3,4315.5,4318,98682
2026-05-05,10:25:00,1777956900,4316.5,4323.9,4311,4315,104448
2026-05-05,10:30:00,1777957200,4313.5,4317.1,4310,4311,108812
2026-05-05,10:35:00,1777957500,4310.2,4312.7,4303,4312.2,115066
2026-05-05,10:40:00,1777957800,4312,4320,4312,4317.3,122379
2026-05-05,10:45:00,1777958100,4317.8,4318.8,4311.7,4318,124799
2026-05-05,10:50:00,1777958400,4317.8,4320,4316.5,4320,126358
2026-05-05,10:55:00,1777958700,4318.1,4325,4318.1,4325,129421
2026-05-05,11:00:00,1777959000,4324.1,4327.7,4320,4324.8,133585
2026-05-05,11:05:00,1777959300,4324.7,4325.3,4322.3,4324.9,134870
2026-05-05,11:10:00,1777959600,4323.1,4329.9,4321.7,4329.6,138546
2026-05-05,11:15:00,1777959900,4329.5,4338.8,4328.1,4335,142397
2026-05-05,11:20:00,1777960200,4336,4345,4330,4344.6,148001
2026-05-05,11:25:00,1777960500,4347,4347,4336.7,4340,150806
2026-05-05,11:30:00,1777960800,4341.2,4343,4339.5,4343,152622
2026-05-05,11:35:00,1777961100,4341.2,4343,4339.5,4342.7,154793
2026-05-05,11:40:00,1777961400,4343.9,4348.7,4342.8,4345,158681
2026-05-05,11:45:00,1777961700,4346,4347,4338.2,4339.1,161048
2026-05-05,11:50:00,1777962000,4340.8,4341.7,4336.2,4336.2,161836
2026-05-05,11:55:00,1777962300,4338.1,4340.5,4336,4339.9,162772
2026-05-05,12:00:00,1777962600,4338.6,4364,4338.2,4352.4,172082
2026-05-05,12:05:00,1777962900,4350,4357,4346.4,4354.2,178309
2026-05-05,12:10:00,1777963200,4354.5,4358,4354,4354.8,180065
2026-05-05,12:15:00,1777963500,4356,4356.6,4353,4354.8,181247
2026-05-05,12:20:00,1777963800,4355,4356.9,4353.3,4354.2,183642
2026-05-05,12:25:00,1777964100,4354.1,4357.4,4353,4354,185840
2026-05-05,12:30:00,1777964400,4354.7,4368.5,4354,4365,192035
2026-05-05,12:35:00,1777964700,4363.8,4366,4363.5,4365.4,193717
2026-05-05,12:40:00,1777965000,4366,4368.5,4365.4,4366.2,196721
2026-05-05,12:45:00,1777965300,4367.8,4372,4365.3,4372,199276
2026-05-05,12:50:00,1777965600,4371.9,4376,4363.9,4363.9,204344
2026-05-05,12:55:00,1777965900,4365.3,4375.9,4365.1,4375,206443
2026-05-05,13:00:00,1777966200,4374.3,4379,4367.6,4370,209298
2026-05-05,13:05:00,1777966500,4369.1,4372.5,4369,4370.4,210805
2026-05-05,13:10:00,1777966800,4370.2,4373.2,4368.2,4369,212057
2026-05-05,13:15:00,1777967100,4370,4371.8,4365.4,4367,214137
2026-05-05,13:20:00,1777967400,4368,4370,4363,4364.2,216857
2026-05-05,13:25:00,1777967700,4365.7,4366,4350.3,4359.4,232651
2026-05-05,13:30:00,1777968000,4357.9,4363.4,4356.5,4357,233861
2026-05-05,13:35:00,1777968300,4357.1,4364.7,4357.1,4361.9,235724
2026-05-05,13:40:00,1777968600,4363.9,4370.1,4363.9,4369.8,237015
2026-05-05,13:45:00,1777968900,4367.8,4380,4365,4380,244460
2026-05-05,13:50:00,1777969200,4381.9,4385.9,4356.8,4357.5,251443
