Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,9085.5,9105,8950,9000.5,412081
2025-12-04,00:00:00,1764786600,9005,9095,8988,9085,275604
2025-12-05,00:00:00,1764873000,9054,9130,9045.5,9109,279893
2025-12-08,00:00:00,1765132200,9115,9124.5,8956.5,9026,299426
2025-12-09,00:00:00,1765218600,8990,9034.5,8880,8961,373015
2025-12-10,00:00:00,1765305000,8961,9001.5,8904,8991,307300
2025-12-11,00:00:00,1765391400,8991,9084,8961,9053.5,136142
2025-12-12,00:00:00,1765477800,9065,9089.5,8960,9015,356060
2025-12-15,00:00:00,1765737000,9040,9042.5,8884,8940,507849
2025-12-16,00:00:00,1765823400,8940,9028,8891,9008,278902
2025-12-17,00:00:00,1765909800,9008,9009,8859,8895,256364
2025-12-18,00:00:00,1765996200,8891,8891,8735,8831,338487
2025-12-19,00:00:00,1766082600,8830.5,9011,8827,9002,215196
2025-12-22,00:00:00,1766341800,9010,9185,8997.5,9164,377385
2025-12-23,00:00:00,1766428200,9184,9184,9080,9099,215559
2025-12-24,00:00:00,1766514600,9100,9194.5,9070,9170,167717
2025-12-26,00:00:00,1766687400,9182.5,9185.5,9052,9064.5,105815
2025-12-29,00:00:00,1766946600,9069.5,9127,9055.5,9087,263943
2025-12-30,00:00:00,1767033000,9087,9299,9025.5,9282,464922
2025-12-31,00:00:00,1767119400,9320,9398,9296.5,9343,319864
2026-01-01,00:00:00,1767205800,9365,9585,9318.5,9558,306936
2026-01-02,00:00:00,1767292200,9550,9633,9310.5,9502.5,733651
2026-01-05,00:00:00,1767551400,9520,9684,9465,9497.5,304245
2026-01-06,00:00:00,1767637800,9575,9783.5,9543,9661,503002
2026-01-07,00:00:00,1767724200,9668,9807,9608,9789.5,334802
2026-01-08,00:00:00,1767810600,9799.5,9888,9725,9760.5,534086
2026-01-09,00:00:00,1767897000,9760.5,9830,9538,9562.5,250994
2026-01-12,00:00:00,1768156200,9562.5,9588.5,9360,9491,332453
2026-01-13,00:00:00,1768242600,9506,9576.5,9458.5,9554,229215
2026-01-14,00:00:00,1768329000,9576,9610,9494,9579.5,335206
2026-01-16,00:00:00,1768501800,9540,9616.5,9389.5,9489,528450
2026-01-19,00:00:00,1768761000,9489,9489,9393.5,9429.5,403445
