Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,97.05,99.19,95,97.02,439586429
2025-12-03,00:00:00,1764700200,97.56,98.8,96.52,96.97,38848946
2025-12-04,00:00:00,1764786600,96.95,97.36,95.15,96.31,14815863
2025-12-05,00:00:00,1764873000,96.31,96.6,95.5,95.55,9783201
2025-12-08,00:00:00,1765132200,95.55,95.99,93.09,93.65,15501766
2025-12-09,00:00:00,1765218600,93.45,96.38,92.1,95.53,18628273
2025-12-10,00:00:00,1765305000,95.99,97.1,95.71,96.23,9610670
2025-12-11,00:00:00,1765391400,96.4,96.55,95.6,95.82,9525123
2025-12-12,00:00:00,1765477800,95.84,96.35,95.5,95.63,4074400
2025-12-15,00:00:00,1765737000,95.63,97.1,93.81,95.79,9224647
2025-12-16,00:00:00,1765823400,96.3,96.4,95.21,95.44,4340073
2025-12-17,00:00:00,1765909800,95.3,95.74,94.42,94.59,3782749
2025-12-18,00:00:00,1765996200,94.58,95.2,93.9,95.04,3735068
2025-12-19,00:00:00,1766082600,95.5,96.17,94.81,95.31,4729314
2025-12-22,00:00:00,1766341800,95.7,96.25,95.7,95.9,4205831
2025-12-23,00:00:00,1766428200,96.5,96.8,95.71,95.85,3799664
2025-12-24,00:00:00,1766514600,95.91,96,95,95.16,5148917
2025-12-26,00:00:00,1766687400,95.16,95.6,94.6,95.13,3669310
2025-12-29,00:00:00,1766946600,95.12,95.31,93.94,94.17,4003584
2025-12-30,00:00:00,1767033000,94,94.46,93.8,94.17,3298622
2025-12-31,00:00:00,1767119400,94,94.5,93.9,94.33,3641928
2026-01-01,00:00:00,1767205800,94.5,97.29,94.41,96.11,8661687
2026-01-02,00:00:00,1767292200,96.5,96.8,95.6,96.62,5951146
2026-01-05,00:00:00,1767551400,97.1,98.16,96.67,97.45,10565737
2026-01-06,00:00:00,1767637800,98,98.29,96.7,96.95,12396551
2026-01-07,00:00:00,1767724200,96.95,97.18,95.6,95.89,3689725
2026-01-08,00:00:00,1767810600,95.95,96.07,94.61,94.91,4562356
2026-01-09,00:00:00,1767897000,94.5,94.73,92.87,93.52,8253907
2026-01-12,00:00:00,1768156200,93.5,94.11,92.64,93.49,5493125
2026-01-13,00:00:00,1768242600,93.8,94.49,93.26,94.23,3591180
2026-01-14,00:00:00,1768329000,94.15,94.35,93.23,93.49,3192394
2026-01-16,00:00:00,1768501800,93.49,93.64,92.25,92.39,5014665
2026-01-19,00:00:00,1768761000,92.26,92.39,91,91.35,5823669
2026-01-20,00:00:00,1768847400,91.1,91.39,89.5,89.78,7313741
2026-01-21,00:00:00,1768933800,89.78,90.37,88.14,89.14,6866122
2026-01-22,00:00:00,1769020200,89.58,90.84,89.58,90.55,3749879
2026-01-23,00:00:00,1769106600,90.78,90.78,88.14,88.35,4582708
2026-01-27,00:00:00,1769452200,88.78,90.44,87.5,88.63,10058854
2026-01-28,00:00:00,1769538600,89.24,89.74,88.76,89.16,5530897
2026-01-29,00:00:00,1769625000,89.25,89.59,87.85,88.02,5518443
2026-01-30,00:00:00,1769711400,87.8,94.27,87.32,90.83,25585905
2026-02-01,00:00:00,1769884200,92.15,93.49,88.5,89.73,8487599
2026-02-02,00:00:00,1769970600,89.7,90.09,87.11,89.7,6346190
2026-02-03,00:00:00,1770057000,94.47,94.77,90.8,91.07,12681275
2026-02-04,00:00:00,1770143400,91.27,92,90.45,91.84,4273895
2026-02-05,00:00:00,1770229800,91.84,91.84,91.15,91.31,2801353
2026-02-06,00:00:00,1770316200,91.29,91.43,89.95,91.28,3488102
2026-02-09,00:00:00,1770575400,91.3,92,90.94,91.12,5136289
2026-02-10,00:00:00,1770661800,91.44,92.48,91.15,91.71,4976827
2026-02-11,00:00:00,1770748200,92,92.1,91,91.11,2884506
2026-02-12,00:00:00,1770834600,91.21,91.25,89.8,90.39,3790725
2026-02-13,00:00:00,1770921000,89.8,89.84,88.9,89.29,3884937
