Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,202.7,205.1,202.7,203.1,2371229
2026-05-04,09:20:00,1777866600,203,203.1,201.3,202.55,3260234
2026-05-04,09:25:00,1777866900,202.82,204.63,202.65,204.44,4326103
2026-05-04,09:30:00,1777867200,204.1,206.75,204.1,206.75,7280029
2026-05-04,09:35:00,1777867500,206.99,207.5,206.6,206.69,8872463
2026-05-04,09:40:00,1777867800,206.74,207.25,206.02,207.23,9791784
2026-05-04,09:45:00,1777868100,207.24,207.29,206.18,206.64,10231879
2026-05-04,09:50:00,1777868400,206.7,207.2,206.4,207.08,10623418
2026-05-04,09:55:00,1777868700,207,207.44,206.8,206.95,11093078
2026-05-04,10:00:00,1777869000,206.94,209.14,206.72,208.78,12892869
2026-05-04,10:05:00,1777869300,208.77,211.7,208.77,210.93,15724566
2026-05-04,10:10:00,1777869600,210.98,212.64,210.9,211.83,18191109
2026-05-04,10:15:00,1777869900,211.85,212,209.76,209.97,19904157
2026-05-04,10:20:00,1777870200,209.86,210.7,209.31,209.32,20752435
2026-05-04,10:25:00,1777870500,209.3,210.29,209.26,210.24,21360822
2026-05-04,10:30:00,1777870800,210.2,210.98,210.04,210.05,21898504
2026-05-04,10:35:00,1777871100,210.1,210.32,209.5,209.68,22184791
2026-05-04,10:40:00,1777871400,209.69,212,209.25,211.29,23311931
2026-05-04,10:45:00,1777871700,211.33,211.6,210.6,210.92,23687299
2026-05-04,10:50:00,1777872000,210.93,211.49,210.3,210.45,24002357
2026-05-04,10:55:00,1777872300,210.48,210.67,209.8,209.81,24303802
2026-05-04,11:00:00,1777872600,209.88,210.3,209.8,210.18,24502190
2026-05-04,11:05:00,1777872900,210.2,210.93,210.06,210.31,24842987
2026-05-04,11:10:00,1777873200,210.34,210.4,209.45,209.62,25299592
2026-05-04,11:15:00,1777873500,209.57,210,209.05,209.1,25619252
2026-05-04,11:20:00,1777873800,209.15,209.74,209.1,209.49,25784412
2026-05-04,11:25:00,1777874100,209.44,209.56,208.8,209.13,26394910
