Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,4787.9,4832.8,4784.5,4790.3,2571
2026-05-04,10:15:00,1777869900,4790,4790.8,4742.2,4754.9,5084
2026-05-04,11:15:00,1777873500,4754.8,4763.4,4722.2,4722.2,6095
2026-05-04,12:15:00,1777877100,4724.9,4730.9,4698.2,4700.5,7505
2026-05-04,13:15:00,1777880700,4705.2,4708.9,4684,4690.8,9779
2026-05-04,14:15:00,1777884300,4694.4,4713.8,4682.2,4700.1,12539
2026-05-04,15:15:00,1777887900,4700.8,4709,4696.2,4699,13343
2026-05-05,09:15:00,1777952700,4680.2,4744.4,4670.1,4682.3,3675
2026-05-05,10:15:00,1777956300,4685,4686,4644.8,4652.9,9717
2026-05-05,11:15:00,1777959900,4651.5,4660.5,4640.2,4642.3,13477
2026-05-05,12:15:00,1777963500,4647.8,4664,4640,4649.6,14764
2026-05-05,13:15:00,1777967100,4649.5,4676.9,4628,4630.7,17472
2026-05-05,14:15:00,1777970700,4632,4666,4628.2,4645.3,21971
2026-05-05,15:15:00,1777974300,4640.8,4649.5,4629.9,4630,25521
2026-05-06,09:15:00,1778039100,4649.9,4691.9,4640.2,4656.8,1581
2026-05-06,10:15:00,1778042700,4660,4662.5,4642,4649.7,2944
2026-05-06,11:15:00,1778046300,4649.7,4649.7,4640.1,4640.1,3417
2026-05-06,12:15:00,1778049900,4639.8,4644.9,4620,4630.1,4287
2026-05-06,13:15:00,1778053500,4629.9,4639.7,4621,4627,5445
2026-05-06,14:15:00,1778057100,4633.2,4665.8,4627,4645,9556
2026-05-06,15:15:00,1778060700,4647.8,4655.7,4640,4649.8,11569
2026-05-07,09:15:00,1778125500,4687,4687,4652.2,4673,1334
2026-05-07,10:15:00,1778129100,4677.7,4680,4650.1,4655.8,3045
2026-05-07,11:15:00,1778132700,4655.7,4670,4640.2,4659.3,4844
2026-05-07,12:15:00,1778136300,4658.7,4663.3,4640,4642.5,6327
2026-05-07,13:15:00,1778139900,4642.8,4675.4,4640,4647.4,8357
2026-05-07,14:15:00,1778143500,4649.8,4649.9,4633,4642,9736
2026-05-07,15:15:00,1778147100,4635.1,4658.9,4630.1,4658.7,10957
2026-05-08,09:15:00,1778211900,4659,4667.7,4622.2,4630.4,2384
2026-05-08,10:15:00,1778215500,4631.2,4643.9,4602.5,4603.7,5116
2026-05-08,11:15:00,1778219100,4607.2,4617.2,4600.9,4610,6269
2026-05-08,12:15:00,1778222700,4613.2,4625.8,4606.8,4620.3,7004
2026-05-08,13:15:00,1778226300,4620.3,4625.1,4608,4608.4,8037
2026-05-08,14:15:00,1778229900,4608.4,4616.6,4600,4607.7,10466
2026-05-08,15:15:00,1778233500,4614.5,4617,4600.1,4600.1,11568
2026-05-11,09:15:00,1778471100,4609.1,4609.1,4511.5,4536,4196
2026-05-11,10:15:00,1778474700,4538,4548.4,4527.4,4529.8,6021
2026-05-11,11:15:00,1778478300,4528.9,4537.9,4510.8,4533.9,7102
2026-05-11,12:15:00,1778481900,4528.7,4543.2,4528,4535,7872
2026-05-11,13:15:00,1778485500,4535,4543.2,4522.9,4526,8713
2026-05-11,14:15:00,1778489100,4530.1,4540.7,4475,4483.3,13318
2026-05-11,15:15:00,1778492700,4488,4510,4484.3,4510,14621
