Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,4600,4640,4579,4606.2,20731
2025-12-03,00:00:00,1764700200,4610,4620.1,4500,4507.3,25766
2025-12-04,00:00:00,1764786600,4512,4598,4490.1,4506,29368
2025-12-05,00:00:00,1764873000,4506,4537,4467.3,4495.1,25290
2025-12-08,00:00:00,1765132200,4488,4501.1,4422,4435.6,33272
2025-12-09,00:00:00,1765218600,4435.6,4464.7,4385.5,4389.7,22152
2025-12-10,00:00:00,1765305000,4407,4487.1,4391.8,4401.6,33952
2025-12-11,00:00:00,1765391400,4395,4416.2,4385,4394.1,9584
2025-12-12,00:00:00,1765477800,4403,4434,4390,4408.8,12510
2025-12-15,00:00:00,1765737000,4424.8,4434,4380.1,4388.7,11926
2025-12-16,00:00:00,1765823400,4408.8,4418,4360.3,4374.9,11415
2025-12-17,00:00:00,1765909800,4375,4399,4330,4349.3,10076
2025-12-18,00:00:00,1765996200,4358.1,4358.1,4282,4289.7,16249
2025-12-19,00:00:00,1766082600,4292.1,4365,4275.2,4301.4,143667
2025-12-22,00:00:00,1766341800,4350,4375.9,4329,4364,99197
2025-12-23,00:00:00,1766428200,4387.8,4472,4372.4,4456.6,27068
2025-12-24,00:00:00,1766514600,4469,4550.6,4455.6,4526.9,25153
2025-12-26,00:00:00,1766687400,4546.9,4562,4390,4550.7,23427
2025-12-29,00:00:00,1766946600,4589,4619,4500,4537,51463
2025-12-30,00:00:00,1767033000,4515,4571,4464.9,4514.1,92192
2025-12-31,00:00:00,1767119400,4559.2,4573,4510.6,4558,17316
2026-01-01,00:00:00,1767205800,4558,4576.7,4525.1,4543.2,6730
2026-01-02,00:00:00,1767292200,4564,4585.6,4529.9,4546.7,24554
2026-01-05,00:00:00,1767551400,4535,4572,4521,4562.7,19666
2026-01-06,00:00:00,1767637800,4560.5,4560.5,4491,4508.1,18416
2026-01-07,00:00:00,1767724200,4501,4540,4500.9,4535.9,7830
2026-01-08,00:00:00,1767810600,4542.4,4557,4481,4495.7,17748
2026-01-09,00:00:00,1767897000,4495.7,4504,4457.6,4469,10809
2026-01-12,00:00:00,1768156200,4475,4485,4370.1,4425.5,18691
2026-01-13,00:00:00,1768242600,4425,4471.9,4410,4427.8,12318
2026-01-14,00:00:00,1768329000,4427.5,4451.1,4383.8,4412.3,18240
2026-01-16,00:00:00,1768501800,4448,4448,4381,4398.7,17599
2026-01-19,00:00:00,1768761000,4398.7,4417.8,4359.4,4386.3,12317
2026-01-20,00:00:00,1768847400,4385,4405,4273,4385,24228
2026-01-21,00:00:00,1768933800,4399.4,4408,4302,4399.8,19343
2026-01-22,00:00:00,1769020200,4410,4466.9,4351.2,4365.7,21182
2026-01-23,00:00:00,1769106600,4385,4400,4365,4385.2,11425
2026-01-27,00:00:00,1769452200,4385.2,4418.8,4319.1,4355.3,12868
2026-01-28,00:00:00,1769538600,4339,4398,4339,4374.7,13720
2026-01-29,00:00:00,1769625000,4394,4394,4327,4362.3,13549
2026-01-30,00:00:00,1769711400,4333.6,4484.4,4333.6,4466.2,23391
2026-02-01,00:00:00,1769884200,4485,4485,4350,4397.6,14085
2026-02-02,00:00:00,1769970600,4395,4444,4332.2,4424.7,20619
2026-02-03,00:00:00,1770057000,4500,4503.5,4400,4428,27696
2026-02-04,00:00:00,1770143400,4428,4496.7,4420,4489.3,10223
2026-02-05,00:00:00,1770229800,4459.3,4517,4440,4458.1,15513
2026-02-06,00:00:00,1770316200,4474,4499,4421,4489.9,15483
2026-02-09,00:00:00,1770575400,4489,4651.6,4481,4637,36170
2026-02-10,00:00:00,1770661800,4639.8,4748.6,4601,4696.4,45965
2026-02-11,00:00:00,1770748200,4712,4788.5,4670.9,4762.4,30183
