Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,308.25,308.25,305,307,495206
2026-05-26,09:20:00,1779767400,306.95,307.2,305.55,305.7,702465
2026-05-26,09:25:00,1779767700,305.6,305.8,305.2,305.5,834677
2026-05-26,09:30:00,1779768000,305.6,306.2,305.5,305.65,893926
2026-05-26,09:35:00,1779768300,305.6,306,305.25,306,1080393
2026-05-26,09:40:00,1779768600,305.9,306.1,304.7,305.5,1293195
2026-05-26,09:45:00,1779768900,305.65,305.75,305.35,305.5,1381989
2026-05-26,09:50:00,1779769200,305.55,305.85,305.35,305.45,1413796
2026-05-26,09:55:00,1779769500,305.4,306,305.05,305.65,1483467
2026-05-26,10:00:00,1779769800,305.55,305.85,305.25,305.5,1531598
2026-05-26,10:05:00,1779770100,305.7,305.7,305.2,305.5,1564377
2026-05-26,10:10:00,1779770400,305.55,305.75,305.4,305.55,1642820
2026-05-26,10:15:00,1779770700,305.7,305.7,305.1,305.3,1735162
2026-05-26,10:20:00,1779771000,305.25,305.3,304.85,305.1,1934565
2026-05-26,10:25:00,1779771300,305.25,305.95,305.1,305.9,2097923
2026-05-26,10:30:00,1779771600,305.85,305.95,305.55,305.65,2126669
2026-05-26,10:35:00,1779771900,305.6,305.75,305.5,305.7,2175649
2026-05-26,10:40:00,1779772200,305.65,305.8,305.2,305.2,2300469
2026-05-26,10:45:00,1779772500,305.25,305.25,304.85,305,2350590
2026-05-26,10:50:00,1779772800,305.05,305.8,304.9,305.6,2402788
2026-05-26,10:55:00,1779773100,305.55,305.8,305.4,305.65,2418220
2026-05-26,11:00:00,1779773400,305.6,305.85,305.5,305.5,2460642
2026-05-26,11:05:00,1779773700,305.55,305.55,305.15,305.25,2481457
2026-05-26,11:10:00,1779774000,305.15,305.25,304.8,304.8,2550104
2026-05-26,11:15:00,1779774300,304.85,305,304.55,304.75,2740025
2026-05-26,11:20:00,1779774600,304.65,304.75,304.2,304.35,2792128
2026-05-26,11:25:00,1779774900,304.3,304.75,304.2,304.6,2823165
2026-05-26,11:30:00,1779775200,304.7,304.7,304.25,304.4,2909723
2026-05-26,11:35:00,1779775500,304.45,304.5,304.3,304.35,2930229
2026-05-26,11:40:00,1779775800,304.45,304.65,304.2,304.2,2998636
2026-05-26,11:45:00,1779776100,304.3,304.3,303.4,303.65,3103342
2026-05-26,11:50:00,1779776400,303.7,304.1,303.55,304.1,3143956
2026-05-26,11:55:00,1779776700,304,304.95,303.8,304.25,3474944
2026-05-26,12:00:00,1779777000,304.3,304.3,304,304.1,3503596
2026-05-26,12:05:00,1779777300,304.15,304.7,303.95,304.65,3583717
2026-05-26,12:10:00,1779777600,304.6,304.65,304.5,304.55,3616835
2026-05-26,12:15:00,1779777900,304.5,304.8,304.5,304.65,3662175
2026-05-26,12:20:00,1779778200,304.75,304.8,304.5,304.5,3708614
2026-05-26,12:25:00,1779778500,304.55,304.6,304.4,304.5,3831307
2026-05-26,12:30:00,1779778800,304.55,304.6,304.5,304.5,3861369
2026-05-26,12:35:00,1779779100,304.55,304.55,303.95,304.05,3943809
2026-05-26,12:40:00,1779779400,303.95,304.4,303.8,304.4,4071373
2026-05-26,12:45:00,1779779700,304.45,304.5,303.9,303.95,4249478
2026-05-26,12:50:00,1779780000,304.05,304.05,303.5,303.65,4322456
2026-05-26,12:55:00,1779780300,303.55,303.65,303.2,303.4,4378320
2026-05-26,13:00:00,1779780600,303.45,303.65,303.1,303.2,4438330
2026-05-26,13:05:00,1779780900,303.15,303.8,303.05,303.1,4574727
2026-05-26,13:10:00,1779781200,303.3,303.3,303,303.1,4624050
2026-05-26,13:15:00,1779781500,303.15,303.15,302.75,303,4676576
2026-05-26,13:20:00,1779781800,303.15,303.3,302.95,303,4714519
2026-05-26,13:25:00,1779782100,303.05,303.05,302.75,302.85,4748733
2026-05-26,13:30:00,1779782400,302.9,303.3,302.75,302.8,4774030
2026-05-26,13:35:00,1779782700,302.75,303.05,302.7,302.7,4798457
2026-05-26,13:40:00,1779783000,302.8,302.8,302.5,302.55,4824026
2026-05-26,13:45:00,1779783300,302.6,302.9,302.55,302.75,4881740
2026-05-26,13:50:00,1779783600,302.65,302.65,302.25,302.5,4965597
