Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,1518,1528.9,1513.1,1514.9,11113
2026-05-04,10:15:00,1777869900,1515.2,1516.9,1504.2,1508.7,20117
2026-05-04,11:15:00,1777873500,1511,1511.7,1503.4,1504.3,30581
2026-05-04,12:15:00,1777877100,1503.4,1505.4,1498,1501,36013
2026-05-04,13:15:00,1777880700,1500,1502.4,1494,1496.4,40448
2026-05-04,14:15:00,1777884300,1497.2,1504.8,1491,1497.1,49777
2026-05-04,15:15:00,1777887900,1497.3,1500.3,1494.1,1496.1,57871
2026-05-05,09:15:00,1777952700,1493.5,1506.5,1489,1496.7,12416
2026-05-05,10:15:00,1777956300,1496.5,1501.8,1491,1501.8,18353
2026-05-05,11:15:00,1777959900,1503.5,1510,1481,1503.7,42008
2026-05-05,12:15:00,1777963500,1502.5,1504.9,1483.1,1490,79009
2026-05-05,13:15:00,1777967100,1489.9,1492.6,1477.5,1477.5,91787
2026-05-05,14:15:00,1777970700,1477.1,1486.5,1476,1485.7,101735
2026-05-05,15:15:00,1777974300,1485.9,1485.9,1480,1484.7,108747
2026-05-06,09:15:00,1778039100,1498.9,1498.9,1485.9,1492,17185
2026-05-06,10:15:00,1778042700,1492,1501.9,1488.2,1490.5,31105
2026-05-06,11:15:00,1778046300,1489.4,1505,1488.7,1495,57922
2026-05-06,12:15:00,1778049900,1495.1,1511,1494,1506.8,68579
2026-05-06,13:15:00,1778053500,1508.8,1511,1500,1510.3,76340
2026-05-06,14:15:00,1778057100,1512.1,1530,1506.5,1513.2,105550
2026-05-06,15:15:00,1778060700,1512.3,1517,1508,1516.6,114280
2026-05-07,09:15:00,1778125500,1523.5,1534.8,1503,1508.5,13814
2026-05-07,10:15:00,1778129100,1509.3,1516,1508.2,1512.6,16569
2026-05-07,11:15:00,1778132700,1512.6,1523,1506.4,1521.9,20882
2026-05-07,12:15:00,1778136300,1521.9,1522,1513.1,1517.5,24398
2026-05-07,13:15:00,1778139900,1516.2,1531.9,1510.7,1530,35049
2026-05-07,14:15:00,1778143500,1530.6,1543,1513,1516,91772
2026-05-07,15:15:00,1778147100,1515.7,1517.5,1509.4,1516,156046
2026-05-08,09:15:00,1778211900,1521.6,1521.6,1491.7,1493.9,30299
2026-05-08,10:15:00,1778215500,1494.7,1498.6,1490.1,1495.9,45905
2026-05-08,11:15:00,1778219100,1495.8,1495.8,1490,1494.8,52081
2026-05-08,12:15:00,1778222700,1494.1,1498.5,1494,1496.9,55788
2026-05-08,13:15:00,1778226300,1497,1502.8,1496.2,1500,63016
2026-05-08,14:15:00,1778229900,1499.5,1501.7,1498,1498.1,74863
2026-05-08,15:15:00,1778233500,1498.4,1499.9,1498,1499.9,102615
2026-05-11,09:15:00,1778471100,1499.9,1499.9,1465.7,1468.9,26384
