Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,36150,36320,36140,36320,199
2026-05-04,09:16:00,1777866360,36335,36430,36335,36380,310
2026-05-04,09:17:00,1777866420,36415,36445,36385,36440,429
2026-05-04,09:18:00,1777866480,36435,36435,36350,36350,683
2026-05-04,09:19:00,1777866540,36345,36395,36345,36390,740
2026-05-04,09:20:00,1777866600,36395,36405,36350,36405,831
2026-05-04,09:21:00,1777866660,36435,36490,36435,36445,987
2026-05-04,09:22:00,1777866720,36440,36480,36420,36420,1079
2026-05-04,09:23:00,1777866780,36445,36445,36380,36410,1095
2026-05-04,09:24:00,1777866840,36430,36430,36375,36375,1229
2026-05-04,09:25:00,1777866900,36380,36390,36360,36360,1284
2026-05-04,09:26:00,1777866960,36390,36400,36390,36400,1348
2026-05-04,09:27:00,1777867020,36380,36380,36375,36375,1351
2026-05-04,09:28:00,1777867080,36350,36410,36350,36405,1387
2026-05-04,09:29:00,1777867140,36400,36450,36400,36440,1424
2026-05-04,09:30:00,1777867200,36415,36430,36415,36425,1445
2026-05-04,09:31:00,1777867260,36450,36455,36415,36420,1576
2026-05-04,09:32:00,1777867320,36420,36420,36420,36420,1583
2026-05-04,09:33:00,1777867380,36420,36420,36420,36420,1596
2026-05-04,09:34:00,1777867440,36400,36430,36400,36430,1781
2026-05-04,09:35:00,1777867500,36420,36440,36415,36415,1883
2026-05-04,09:37:00,1777867620,36415,36415,36415,36415,1884
2026-05-04,09:38:00,1777867680,36420,36435,36420,36435,1887
2026-05-04,09:39:00,1777867740,36430,36430,36430,36430,1900
2026-05-04,09:40:00,1777867800,36420,36420,36405,36405,1929
2026-05-04,09:41:00,1777867860,36360,36370,36345,36345,3386
2026-05-04,09:42:00,1777867920,36360,36440,36360,36405,3428
2026-05-04,09:43:00,1777867980,36390,36395,36345,36350,3436
2026-05-04,09:44:00,1777868040,36365,36365,36360,36360,3476
2026-05-04,09:45:00,1777868100,36370,36370,36360,36360,3487
2026-05-04,09:46:00,1777868160,36385,36390,36360,36390,3502
2026-05-04,09:47:00,1777868220,36385,36385,36375,36380,3509
2026-05-04,09:48:00,1777868280,36360,36380,36360,36380,3513
2026-05-04,09:49:00,1777868340,36385,36385,36360,36360,3515
2026-05-04,09:50:00,1777868400,36385,36385,36360,36360,3538
2026-05-04,09:51:00,1777868460,36370,36395,36370,36395,3554
2026-05-04,09:52:00,1777868520,36385,36400,36375,36375,3563
2026-05-04,09:53:00,1777868580,36370,36385,36320,36320,3582
2026-05-04,09:54:00,1777868640,36315,36335,36310,36315,3629
2026-05-04,09:55:00,1777868700,36320,36350,36320,36350,3644
2026-05-04,09:56:00,1777868760,36335,36335,36320,36320,3682
2026-05-04,09:57:00,1777868820,36350,36350,36325,36325,3689
2026-05-04,09:58:00,1777868880,36350,36350,36345,36345,3692
2026-05-04,09:59:00,1777868940,36350,36350,36330,36330,3705
2026-05-04,10:00:00,1777869000,36345,36380,36345,36365,3736
2026-05-04,10:01:00,1777869060,36355,36355,36335,36350,3747
2026-05-04,10:02:00,1777869120,36360,36360,36335,36335,3783
2026-05-04,10:03:00,1777869180,36315,36340,36315,36340,3808
2026-05-04,10:04:00,1777869240,36345,36345,36330,36330,3825
2026-05-04,10:05:00,1777869300,36345,36345,36345,36345,3828
2026-05-04,10:06:00,1777869360,36365,36365,36330,36330,3844
2026-05-04,10:07:00,1777869420,36335,36335,36335,36335,3849
2026-05-04,10:08:00,1777869480,36330,36330,36315,36315,3851
2026-05-04,10:09:00,1777869540,36275,36290,36275,36290,4038
2026-05-04,10:11:00,1777869660,36300,36355,36300,36340,4057
2026-05-04,10:12:00,1777869720,36325,36340,36290,36300,4125
2026-05-04,10:13:00,1777869780,36290,36300,36290,36300,4134
