Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,5908,5908,5812,5824.5,308053
2025-12-04,00:00:00,1764786600,5840,5882.5,5824.5,5876.5,239085
2025-12-05,00:00:00,1764873000,5855,5974,5838.5,5961,244408
2025-12-08,00:00:00,1765132200,5961,5985,5825,5847.5,185407
2025-12-09,00:00:00,1765218600,5850,5893,5780,5884,174714
2025-12-10,00:00:00,1765305000,5904,5966,5812,5828.5,329466
2025-12-11,00:00:00,1765391400,5840,5895,5813,5847,115481
2025-12-12,00:00:00,1765477800,5848,5925.5,5830,5915.5,202721
2025-12-15,00:00:00,1765737000,5915.5,6055,5857,6038,244119
2025-12-16,00:00:00,1765823400,6059.5,6145,6032,6066,284337
2025-12-17,00:00:00,1765909800,6060,6116,6051,6096,298257
2025-12-18,00:00:00,1765996200,6132,6134.5,6012.5,6040.5,199067
2025-12-19,00:00:00,1766082600,6020,6116,5992.5,6103,179450
2025-12-22,00:00:00,1766341800,6102.5,6102.5,6066,6083,206588
2025-12-23,00:00:00,1766428200,6083,6119,6030,6061,216840
2025-12-24,00:00:00,1766514600,6065,6078,6004,6030,97580
2025-12-26,00:00:00,1766687400,6006.5,6069.5,6002,6032.5,65992
2025-12-29,00:00:00,1766946600,6039,6065.5,6005,6041.5,103209
2025-12-30,00:00:00,1767033000,6045,6045.5,5980,6013,205456
2025-12-31,00:00:00,1767119400,6013,6070,5995,6031,179577
2026-01-01,00:00:00,1767205800,6031,6063,5992,6009.5,138484
2026-01-02,00:00:00,1767292200,6009.5,6033,5941.5,5984.5,265702
2026-01-05,00:00:00,1767551400,5970,6092,5930.5,6026.5,468880
2026-01-06,00:00:00,1767637800,6040,6142.5,5948.5,6129.5,300112
2026-01-07,00:00:00,1767724200,6200,6271,6157.5,6185,437361
2026-01-08,00:00:00,1767810600,6155,6158.5,5945.5,6033.5,641813
2026-01-09,00:00:00,1767897000,6033.5,6106.5,5930,5977.5,139764
2026-01-12,00:00:00,1768156200,5977.5,6000.5,5905,5943.5,228799
2026-01-13,00:00:00,1768242600,5930,5970,5896,5918,327794
2026-01-14,00:00:00,1768329000,5893.5,5945.5,5868,5906.5,307200
2026-01-16,00:00:00,1768501800,5875,5944,5862,5898.5,453904
2026-01-19,00:00:00,1768761000,5898.5,5970,5879,5943.5,145915
2026-01-20,00:00:00,1768847400,5943.5,5994.5,5862,5884,350070
2026-01-21,00:00:00,1768933800,5870,5899,5787,5802.5,662863
2026-01-22,00:00:00,1769020200,5850,5975,5819,5932,435081
2026-01-23,00:00:00,1769106600,5950,5964,5813.5,5835,142248
2026-01-27,00:00:00,1769452200,5839,5925,5805,5886,1044402
2026-01-28,00:00:00,1769538600,5924,5924,5680,5748.5,442618
2026-01-29,00:00:00,1769625000,5711.5,5733,5693,5723,343244
2026-01-30,00:00:00,1769711400,5723,5887.5,5710.5,5860.5,806045
2026-02-01,00:00:00,1769884200,5886,5909,5710,5757.5,131755
2026-02-02,00:00:00,1769970600,5733,5899,5697.5,5888.5,279213
2026-02-03,00:00:00,1770057000,5920,5975.5,5821,5882,349825
2026-02-04,00:00:00,1770143400,5899.5,5965,5855,5879,160343
2026-02-05,00:00:00,1770229800,5855,5946.5,5844.5,5870.5,275290
2026-02-06,00:00:00,1770316200,5870,5917,5805,5911,186858
2026-02-09,00:00:00,1770575400,5900.5,5915.5,5792.5,5843,331118
2026-02-10,00:00:00,1770661800,5874,5893.5,5847,5873.5,276901
2026-02-11,00:00:00,1770748200,6000,6156,5973.5,6019,771051
2026-02-12,00:00:00,1770834600,6057,6148,6020,6102,455997
2026-02-13,00:00:00,1770921000,6080,6098.5,5968,5980.5,159821
2026-02-16,00:00:00,1771180200,5980,6134,5964.5,6106,255274
2026-02-17,00:00:00,1771266600,6106,6154.5,6066.5,6145.5,164220
2026-02-18,00:00:00,1771353000,6161,6190,6116,6176,193569
2026-02-19,00:00:00,1771439400,6170,6198,6093.5,6108.5,127940
2026-02-20,00:00:00,1771525800,6109,6137.5,6066.5,6098.5,388361
2026-02-23,00:00:00,1771785000,6136,6150,6042,6122.5,225252
2026-02-24,00:00:00,1771871400,6083,6173.5,6065.5,6162.5,193510
2026-02-25,00:00:00,1771957800,6170,6208.5,6140,6158,253773
2026-02-26,00:00:00,1772044200,6158,6187,6070,6137,245317
2026-02-27,00:00:00,1772130600,6135.5,6142.5,5975,6002.5,350612
2026-03-02,00:00:00,1772389800,5866,6001,5866,5959,185417
2026-03-04,00:00:00,1772562600,5901.5,5924,5845.5,5889.5,293377
2026-03-05,00:00:00,1772649000,5899,5997.5,5851,5963,211179
