Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,378.95,379.3,372.2,375.25,4650434
2025-12-04,00:00:00,1764786600,375,379.75,373.8,379.05,3135061
2025-12-05,00:00:00,1764873000,378.9,380.65,376.5,379.95,3154258
2025-12-08,00:00:00,1765132200,380.9,380.9,375.55,377.35,3911363
2025-12-09,00:00:00,1765218600,375.1,381.2,373.35,379.35,4242651
2025-12-10,00:00:00,1765305000,378.5,382.9,378.25,382.15,4752336
2025-12-11,00:00:00,1765391400,382.35,385.35,380.5,384,2695140
2025-12-12,00:00:00,1765477800,384.55,385.75,382.25,383.35,1410201
2025-12-15,00:00:00,1765737000,384,385,380.1,384.45,1870236
2025-12-16,00:00:00,1765823400,384,384.2,378.35,381.6,5109787
2025-12-17,00:00:00,1765909800,380.85,385.5,380.8,384.75,3651138
2025-12-18,00:00:00,1765996200,384.4,386.5,382.85,385.3,2379619
2025-12-19,00:00:00,1766082600,385,387.35,383.5,385.6,3611941
2025-12-22,00:00:00,1766341800,385.6,386.95,384.05,386.25,3112021
2025-12-23,00:00:00,1766428200,387.45,400.95,386.45,400.4,18487395
2025-12-24,00:00:00,1766514600,403.8,412.4,401.75,402.35,17624423
2025-12-26,00:00:00,1766687400,403.8,408.4,400.6,402.15,5435637
2025-12-29,00:00:00,1766946600,404,405.5,399,400.65,6105510
2025-12-30,00:00:00,1767033000,400,400.2,395.5,398,4418163
2025-12-31,00:00:00,1767119400,398.4,404,397.55,399,4644679
2026-01-01,00:00:00,1767205800,399,402.8,398.25,400.45,3161157
2026-01-02,00:00:00,1767292200,401.35,429.5,401,427.9,35090129
2026-01-05,00:00:00,1767551400,430.95,436.7,423.5,427.45,17258568
2026-01-06,00:00:00,1767637800,427,431.3,424.7,427.05,6308113
2026-01-07,00:00:00,1767724200,426.95,432.45,423.65,431.65,8920605
2026-01-08,00:00:00,1767810600,431.65,434,423.45,425.25,5991259
2026-01-09,00:00:00,1767897000,423.7,428.35,417.2,418.35,7306605
2026-01-12,00:00:00,1768156200,418.9,433.15,415.65,432.3,14407896
2026-01-13,00:00:00,1768242600,434,435.8,425.6,428.9,7104004
2026-01-14,00:00:00,1768329000,428,442,427.4,432.2,17125550
2026-01-16,00:00:00,1768501800,432.2,433.6,428,431,6410141
2026-01-19,00:00:00,1768761000,431,432.85,428.35,430.15,7105031
2026-01-20,00:00:00,1768847400,430.1,430.95,413.55,415.3,6768420
2026-01-21,00:00:00,1768933800,414.95,419.65,411.55,414.05,7312100
2026-01-22,00:00:00,1769020200,417.15,426.85,417.15,423.2,11497522
2026-01-23,00:00:00,1769106600,424,425.8,415.4,418.4,6520896
2026-01-27,00:00:00,1769452200,421,426.95,418.9,422.9,8749844
2026-01-28,00:00:00,1769538600,423.5,445.95,421.6,444.05,17496873
2026-01-29,00:00:00,1769625000,446,461.55,442.55,455.75,16915601
2026-01-30,00:00:00,1769711400,453.95,453.95,437,440.75,10191610
2026-02-01,00:00:00,1769884200,440,440.6,417.5,419.55,6197770
2026-02-02,00:00:00,1769970600,419,425.5,413,423.5,9618062
2026-02-03,00:00:00,1770057000,437,437,419.95,429.4,13955805
2026-02-04,00:00:00,1770143400,431.5,441.4,428.45,434.9,11476290
2026-02-05,00:00:00,1770229800,437,437.8,427.7,431.85,5252658
2026-02-06,00:00:00,1770316200,430.55,434.2,427.05,432.8,4738027
2026-02-09,00:00:00,1770575400,434,434.8,429.8,431.7,4512635
2026-02-10,00:00:00,1770661800,432,433.75,428.7,430.95,5103221
2026-02-11,00:00:00,1770748200,426.2,427.95,420.3,423.25,5715603
2026-02-12,00:00:00,1770834600,423.75,425.95,416.15,419.15,5987886
