Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,5300,5307.5,5296,5297.5,2445
2026-05-04,09:16:00,1777866360,5296,5326.5,5295.5,5323,4796
2026-05-04,09:17:00,1777866420,5323.5,5332,5320,5328.5,6955
2026-05-04,09:18:00,1777866480,5327.5,5331.5,5326,5331,8289
2026-05-04,09:19:00,1777866540,5337,5337,5327.5,5329,11397
2026-05-04,09:20:00,1777866600,5327.5,5334,5324.5,5334,13468
2026-05-04,09:21:00,1777866660,5337.5,5337.5,5328,5334,15816
2026-05-04,09:22:00,1777866720,5328,5341.5,5328,5338.5,18858
2026-05-04,09:23:00,1777866780,5337,5338.5,5331,5338.5,21323
2026-05-04,09:24:00,1777866840,5337,5337,5326,5331.5,25111
2026-05-04,09:25:00,1777866900,5329.5,5338.5,5329.5,5338.5,26068
2026-05-04,09:26:00,1777866960,5335.5,5341.5,5334,5340.5,26712
2026-05-04,09:27:00,1777867020,5339.5,5343.5,5334.5,5337,28603
2026-05-04,09:28:00,1777867080,5336,5340.5,5333,5340.5,29186
2026-05-04,09:29:00,1777867140,5340,5344.5,5340,5341.5,30477
2026-05-04,09:30:00,1777867200,5343.5,5346,5339,5343.5,33025
2026-05-04,09:31:00,1777867260,5345,5345.5,5342.5,5343,33288
2026-05-04,09:32:00,1777867320,5342.5,5343.5,5340,5343.5,33586
2026-05-04,09:33:00,1777867380,5344,5344,5330,5330,34861
2026-05-04,09:34:00,1777867440,5331,5333.5,5331,5333.5,35451
2026-05-04,09:35:00,1777867500,5335,5335,5327.5,5331.5,36187
2026-05-04,09:36:00,1777867560,5329.5,5332,5328.5,5328.5,36656
2026-05-04,09:37:00,1777867620,5330,5332,5330,5332,36774
2026-05-04,09:38:00,1777867680,5331.5,5334.5,5328.5,5330.5,37085
2026-05-04,09:39:00,1777867740,5332,5332,5329.5,5331,37243
2026-05-04,09:40:00,1777867800,5332.5,5335.5,5331,5335.5,37387
2026-05-04,09:41:00,1777867860,5335,5335,5330.5,5332,38184
2026-05-04,09:42:00,1777867920,5329.5,5330,5315.5,5319.5,43485
2026-05-04,09:43:00,1777867980,5316,5321,5316,5320,43601
2026-05-04,09:44:00,1777868040,5321,5322.5,5316.5,5318,44694
2026-05-04,09:45:00,1777868100,5320,5324.5,5319,5324,45101
2026-05-04,09:46:00,1777868160,5321.5,5323.5,5319.5,5320,45627
2026-05-04,09:47:00,1777868220,5322,5324.5,5320.5,5322,45809
2026-05-04,09:48:00,1777868280,5324.5,5325.5,5322.5,5323.5,46227
