Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,451.6,452.15,445.3,449.95,17661
2026-05-04,09:16:00,1777866360,450,455.8,449.6,455.8,31152
2026-05-04,09:17:00,1777866420,455.05,457,453.95,456.95,36589
2026-05-04,09:18:00,1777866480,457.2,457.95,455.55,455.55,39565
2026-05-04,09:19:00,1777866540,454.85,455.5,454.6,455.5,42677
2026-05-04,09:20:00,1777866600,456.45,458.3,456.2,458.3,49581
2026-05-04,09:21:00,1777866660,458,460,457.75,459.8,57312
2026-05-04,09:22:00,1777866720,459.3,459.3,458.6,458.6,60006
2026-05-04,09:23:00,1777866780,458.4,459.8,457.8,459.8,62605
2026-05-04,09:24:00,1777866840,459.7,459.7,459.05,459.1,68632
2026-05-04,09:25:00,1777866900,459,459.1,458.65,458.65,69612
2026-05-04,09:26:00,1777866960,458.15,460.6,458.15,460.1,76102
2026-05-04,09:27:00,1777867020,460.6,462.75,460.6,462.6,81246
2026-05-04,09:28:00,1777867080,463,463,461.55,461.85,88292
2026-05-04,09:29:00,1777867140,461.8,461.8,461,461.45,92496
2026-05-04,09:30:00,1777867200,462,462.6,461.75,462,97147
2026-05-04,09:31:00,1777867260,462.15,462.15,460.65,460.7,100472
2026-05-04,09:32:00,1777867320,461.55,461.55,460.5,460.9,104002
2026-05-04,09:33:00,1777867380,460.45,461.1,459.9,460.8,107822
2026-05-04,09:34:00,1777867440,460.65,461.3,460.6,460.8,110865
2026-05-04,09:35:00,1777867500,460.45,460.45,460.3,460.4,111596
2026-05-04,09:36:00,1777867560,460.25,460.4,458.9,458.9,115216
2026-05-04,09:37:00,1777867620,458.85,458.85,458.45,458.7,116189
2026-05-04,09:38:00,1777867680,458.95,458.95,457.9,457.9,118909
2026-05-04,09:39:00,1777867740,457.55,457.85,457.5,457.5,119663
2026-05-04,09:40:00,1777867800,457.65,457.7,457.05,457.65,121355
2026-05-04,09:41:00,1777867860,457.2,458.3,457,458.3,123640
2026-05-04,09:42:00,1777867920,457.85,458.2,457.8,457.8,124500
2026-05-04,09:43:00,1777867980,458.05,458.3,457.3,457.7,126270
2026-05-04,09:44:00,1777868040,457.7,457.7,457.7,457.7,126352
2026-05-04,09:45:00,1777868100,457.95,459.05,457.7,458.6,127572
2026-05-04,09:46:00,1777868160,458.5,459.55,458.5,459.55,132520
2026-05-04,09:47:00,1777868220,460,460.6,459.55,460.45,135703
2026-05-04,09:48:00,1777868280,459.95,460.1,459.2,459.75,137820
2026-05-04,09:49:00,1777868340,459.3,459.3,459.3,459.3,137939
2026-05-04,09:50:00,1777868400,458.5,459.05,458.1,458.25,139490
2026-05-04,09:51:00,1777868460,458.2,458.4,458.05,458.05,140072
2026-05-04,09:52:00,1777868520,458.15,462.15,457.75,460.6,157254
2026-05-04,09:53:00,1777868580,460.35,461.35,460.25,460.25,160201
