Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,5140,5155,4973.6,4979.8,55905
2026-05-29,09:16:00,1780026360,4974.2,5037,4974.2,5019.9,67203
2026-05-29,09:17:00,1780026420,5019.8,5031.9,5017.1,5031.9,73417
2026-05-29,09:18:00,1780026480,5036.1,5057,5036.1,5057,78373
2026-05-29,09:19:00,1780026540,5064,5066,5058,5064.9,85248
2026-05-29,09:20:00,1780026600,5062,5068.9,5034.2,5037.7,91482
2026-05-29,09:21:00,1780026660,5032.9,5047.4,5031.9,5043.6,99024
2026-05-29,09:22:00,1780026720,5043.5,5081.5,5035.4,5075.1,108036
2026-05-29,09:23:00,1780026780,5077.1,5078.9,5062.4,5065.3,112600
2026-05-29,09:24:00,1780026840,5062.6,5066.9,5061.4,5061.9,116127
2026-05-29,09:25:00,1780026900,5060.8,5062.2,5045,5057,121547
2026-05-29,09:26:00,1780026960,5059.4,5078.9,5057.9,5076.6,125220
2026-05-29,09:27:00,1780027020,5076.9,5076.9,5063.7,5070.1,127584
2026-05-29,09:28:00,1780027080,5070,5077,5070,5074.8,132083
2026-05-29,09:29:00,1780027140,5075,5076.2,5070,5071,135650
2026-05-29,09:30:00,1780027200,5070.8,5070.8,5059.5,5059.9,138077
2026-05-29,09:31:00,1780027260,5059.1,5059.1,5054.3,5055.5,141070
2026-05-29,09:32:00,1780027320,5052.8,5066.2,5052.8,5061.6,145902
2026-05-29,09:33:00,1780027380,5063.3,5072.6,5045,5047,153751
2026-05-29,09:34:00,1780027440,5048.3,5048.4,5022.1,5024.6,159254
2026-05-29,09:35:00,1780027500,5023.2,5024.8,5015.8,5024.8,163838
2026-05-29,09:36:00,1780027560,5024.9,5040.7,5024.9,5040.3,169950
2026-05-29,09:37:00,1780027620,5041.4,5042.3,5026.3,5026.3,173536
2026-05-29,09:38:00,1780027680,5023.1,5025.9,5018,5022,178510
2026-05-29,09:39:00,1780027740,5022.6,5032.5,5015,5015,182715
2026-05-29,09:40:00,1780027800,5015.7,5015.7,5008.8,5012,185713
2026-05-29,09:41:00,1780027860,5014.3,5014.6,4995.1,4996.7,190596
2026-05-29,09:42:00,1780027920,4991.2,4992.5,4973,4982,200982
2026-05-29,09:43:00,1780027980,4980.9,4995.2,4980.8,4988.4,204532
2026-05-29,09:44:00,1780028040,4990,4990.9,4983,4984.5,207164
2026-05-29,09:45:00,1780028100,4983,4993.4,4975.5,4993.3,210429
2026-05-29,09:46:00,1780028160,4993.4,5009.6,4986.3,5009.6,215054
2026-05-29,09:47:00,1780028220,5009.7,5017.4,4996.8,4997.2,220950
2026-05-29,09:48:00,1780028280,4999.3,5006.7,4997.1,5002.1,223393
2026-05-29,09:49:00,1780028340,4999,5002.5,4990,5000,228091
2026-05-29,09:50:00,1780028400,4999.3,5002.4,4991.4,4994,230032
2026-05-29,09:51:00,1780028460,4991.7,5004.1,4991.7,4998.4,233654
2026-05-29,09:52:00,1780028520,4997.1,4998.4,4987.9,4987.9,236992
2026-05-29,09:53:00,1780028580,4987.3,4987.3,4980,4981,239281
2026-05-29,09:54:00,1780028640,4980.9,4981.3,4964.8,4964.8,243744
2026-05-29,09:55:00,1780028700,4969,4969,4951.6,4957.3,259793
2026-05-29,09:56:00,1780028760,4959.1,4960.7,4951.3,4954.5,262166
