Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,292.95,318.7,268.8,279.55,2572351.0
2018-08-01,00:00:00,1533061800.0,280.5,294.3,269.35,275.35,1730636.0
2018-09-03,00:00:00,1535913000.0,276.05,285.85,233.15,235.75,638057.0
2018-10-01,00:00:00,1538332200.0,233.5,274.8,227.05,230.8,1639011.0
2018-11-01,00:00:00,1541010600.0,232.75,252.8,221.0,231.35,1406287.0
2018-12-03,00:00:00,1543775400.0,231.1,303.25,218.8,292.65,1139434.0
2019-01-01,00:00:00,1546281000.0,290.5,332.7,272.55,293.6,1294152.0
2019-02-01,00:00:00,1548959400.0,293.25,320.0,272.6,289.1,1079634.0
2019-03-01,00:00:00,1551378600.0,288.15,309.75,262.0,276.1,1373744.0
2019-04-01,00:00:00,1554057000.0,276.0,295.0,251.5,255.05,958310.0
2019-05-02,00:00:00,1556735400.0,256.3,290.0,223.6,261.15,1165853.0
2019-06-03,00:00:00,1559500200.0,260.9,267.0,229.0,237.05,466607.0
2019-07-01,00:00:00,1561919400.0,233.0,247.0,153.95,154.8,599371.0
2019-08-01,00:00:00,1564597800.0,154.1,166.8,137.6,150.55,1271811.0
2019-09-03,00:00:00,1567449000.0,149.75,194.0,146.2,190.1,2350252.0
2019-10-01,00:00:00,1569868200.0,191.0,214.4,163.95,205.45,611364.0
2019-11-01,00:00:00,1572546600.0,206.0,209.0,158.1,159.5,883643.0
2019-12-02,00:00:00,1575225000.0,159.85,166.1,142.0,147.2,585654.0
2020-01-01,00:00:00,1577817000.0,148.2,177.7,147.0,166.85,2145766.0
2020-02-03,00:00:00,1580668200.0,158.0,179.5,118.0,120.5,4507869.0
2020-03-02,00:00:00,1583087400.0,121.1,133.5,59.3,71.9,1357451.0
2020-04-01,00:00:00,1585679400.0,72.0,97.9,65.0,85.3,1245855.0
2020-05-04,00:00:00,1588530600.0,83.6,83.95,58.0,59.15,1520378.0
2020-06-01,00:00:00,1590949800.0,58.0,85.8,58.0,75.2,5793977.0
2020-07-01,00:00:00,1593541800.0,72.85,89.75,72.8,83.4,6787655.0
2020-08-03,00:00:00,1596393000.0,83.4,119.1,82.2,104.2,2925205.0
2020-09-01,00:00:00,1598898600.0,104.35,111.95,80.15,90.1,1153494.0
2020-10-01,00:00:00,1601490600.0,90.9,94.7,80.1,81.1,1912226.0
2020-11-02,00:00:00,1604255400.0,82.75,109.65,80.0,99.25,2034040.0
2020-12-01,00:00:00,1606761000.0,100.0,130.65,98.85,117.2,5747899.0
2021-01-01,00:00:00,1609439400.0,117.45,137.75,107.25,116.4,6386122.0
2021-02-01,00:00:00,1612117800.0,116.9,138.85,109.5,127.85,6205043.0
2021-03-01,00:00:00,1614537000.0,129.9,148.55,112.4,116.3,4254244.0
2021-04-01,00:00:00,1617215400.0,116.65,124.7,106.0,114.95,1774386.0
2021-05-03,00:00:00,1619980200.0,116.0,144.95,113.0,131.8,8920048.0
2021-06-01,00:00:00,1622485800.0,133.45,153.8,131.25,140.5,12447124.0
