Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,386.75,391.8,383.7,387.75,294490
2025-12-03,00:00:00,1764700200,386.05,388.45,382.35,386.3,361028
2025-12-04,00:00:00,1764786600,383.5,388.15,382.35,384.4,391851
2025-12-05,00:00:00,1764873000,384.4,386.55,380.55,381.85,272706
2025-12-08,00:00:00,1765132200,380.6,381.25,371.6,376.15,421344
2025-12-09,00:00:00,1765218600,376.95,380.4,368.05,378.1,438588
2025-12-10,00:00:00,1765305000,376.1,383.9,376.1,380.25,304945
2025-12-11,00:00:00,1765391400,378.75,380.85,369.8,375.1,734300
2025-12-12,00:00:00,1765477800,379,387,376.1,382.35,694903
2025-12-15,00:00:00,1765737000,383.35,385.2,377.5,382.1,407714
2025-12-16,00:00:00,1765823400,384.05,384.15,376.5,377.6,148065
2025-12-17,00:00:00,1765909800,377.5,378.4,367.35,368.2,280231
2025-12-18,00:00:00,1765996200,368.9,369.7,361.3,362.3,478748
2025-12-19,00:00:00,1766082600,365,371.35,362.15,365.45,707595
2025-12-22,00:00:00,1766341800,370.45,374.45,365.6,371.95,631181
2025-12-23,00:00:00,1766428200,372,374,368.05,368.55,308413
2025-12-24,00:00:00,1766514600,368.1,373.4,367.7,372.5,392548
2025-12-26,00:00:00,1766687400,375.05,379.15,369.8,371.3,499144
2025-12-29,00:00:00,1766946600,370.5,373,366.65,369.45,507455
2025-12-30,00:00:00,1767033000,367.05,394,367.05,384.4,1083284
2025-12-31,00:00:00,1767119400,384.55,387.2,377.85,380.8,740660
2026-01-01,00:00:00,1767205800,380.75,383.75,376.35,377.85,202794
2026-01-02,00:00:00,1767292200,378.7,382.5,377.45,379.55,361238
2026-01-05,00:00:00,1767551400,380.4,384.2,376.5,378.25,212419
2026-01-06,00:00:00,1767637800,380.05,380.15,371,371.6,298175
2026-01-07,00:00:00,1767724200,373,374.45,370.05,372.1,354317
2026-01-08,00:00:00,1767810600,372.85,373.45,366,369.85,422710
2026-01-09,00:00:00,1767897000,369,370.6,362.7,366.55,472519
2026-01-12,00:00:00,1768156200,368.7,371,361.3,369.2,354258
2026-01-13,00:00:00,1768242600,372.9,374.75,366,366.55,274802
