Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,355.95,356.25,344.75,346.45,372804
2025-12-03,00:00:00,1764700200,345.35,347.25,342.55,344.9,108757
2025-12-04,00:00:00,1764786600,344.9,347.8,344.3,346.25,98955
2025-12-05,00:00:00,1764873000,346.25,350,343.2,347.65,156246
2025-12-08,00:00:00,1765132200,347.6,348.45,339,346.25,143082
2025-12-09,00:00:00,1765218600,346.25,346.25,332.55,340.4,343746
2025-12-10,00:00:00,1765305000,340.05,346,336.85,344.45,112423
2025-12-11,00:00:00,1765391400,349,349,332.85,343.1,336393
2025-12-12,00:00:00,1765477800,344,344,337.1,342,454671
2025-12-15,00:00:00,1765737000,347.25,353.2,339.6,349.35,336909
2025-12-16,00:00:00,1765823400,349.85,350.5,343.55,345.4,221629
2025-12-17,00:00:00,1765909800,347.4,350,342.75,347.55,89582
2025-12-18,00:00:00,1765996200,347.55,347.55,340.45,342.55,127045
2025-12-19,00:00:00,1766082600,342.55,346.95,336.85,343.3,571412
2025-12-22,00:00:00,1766341800,347.85,347.85,339.75,340.8,161899
2025-12-23,00:00:00,1766428200,340.75,345,339.4,343.75,146283
2025-12-24,00:00:00,1766514600,349.95,350.95,341.2,347.85,433770
2025-12-26,00:00:00,1766687400,346,350.5,341.2,345.85,125113
2025-12-29,00:00:00,1766946600,344.05,346.1,340,342.95,95858
2025-12-30,00:00:00,1767033000,343.9,346.95,338.7,344.05,151967
2025-12-31,00:00:00,1767119400,344.05,346.25,341.35,344.6,99232
2026-01-01,00:00:00,1767205800,345.95,347.95,341.6,346.8,100445
2026-01-02,00:00:00,1767292200,345,348,343.5,346.35,76635
2026-01-05,00:00:00,1767551400,343.05,350.15,343.05,349.85,182250
2026-01-06,00:00:00,1767637800,349.95,350.05,339.45,342.85,305309
2026-01-07,00:00:00,1767724200,342.9,344.05,337.8,338.75,183577
2026-01-08,00:00:00,1767810600,340,341.8,333.05,335.9,198082
2026-01-09,00:00:00,1767897000,335,336.9,331.3,335.35,297869
2026-01-12,00:00:00,1768156200,335,339.9,327.45,331.65,169749
2026-01-13,00:00:00,1768242600,331.6,339.95,331.6,338.95,73307
2026-01-14,00:00:00,1768329000,340,340,321.8,328.7,2402361
2026-01-16,00:00:00,1768501800,325,329.85,316.65,326,587145
