Date,Time,Timestamp,Open,High,Low,Close,Volume
2024-06-03,00:00:00,1717353000.0,300.25,363.9,278.55,339.5,6343352.0
2024-06-10,00:00:00,1717957800.0,339.5,372.0,335.05,338.95,4829017.0
2024-06-18,00:00:00,1718649000.0,339.8,342.65,310.35,334.1,3945653.0
2024-06-24,00:00:00,1719167400.0,330.0,341.55,326.1,338.0,2452410.0
2024-07-01,00:00:00,1719772200.0,341.0,357.9,335.1,347.5,3942046.0
2024-07-08,00:00:00,1720377000.0,347.5,375.0,340.1,341.8,4767202.0
2024-07-15,00:00:00,1720981800.0,341.05,363.95,334.25,344.15,3009207.0
2024-07-22,00:00:00,1721586600.0,344.15,362.5,324.85,345.7,3449096.0
2024-07-29,00:00:00,1722191400.0,350.0,373.75,337.95,340.15,11175446.0
2024-08-05,00:00:00,1722796200.0,338.0,338.0,315.75,329.6,4581304.0
2024-08-12,00:00:00,1723401000.0,328.0,359.8,325.05,349.85,2223539.0
2024-08-19,00:00:00,1724005800.0,353.85,383.4,341.25,365.15,15008052.0
2024-08-26,00:00:00,1724610600.0,369.0,390.9,360.05,383.7,14187458.0
2024-09-02,00:00:00,1725215400.0,387.0,407.4,373.2,389.05,8453750.0
2024-09-09,00:00:00,1725820200.0,388.9,390.3,369.6,374.0,3300180.0
2024-09-16,00:00:00,1726425000.0,374.0,376.0,339.1,358.7,3782456.0
2024-09-23,00:00:00,1727029800.0,361.0,387.9,349.35,378.3,6158121.0
2024-09-30,00:00:00,1727634600.0,371.25,404.0,362.55,377.65,5493731.0
2024-10-07,00:00:00,1728239400.0,377.0,395.85,366.6,370.15,2341813.0
2024-10-14,00:00:00,1728844200.0,373.85,376.7,347.35,365.4,2575701.0
2024-10-21,00:00:00,1729449000.0,366.15,369.6,316.8,319.75,5435263.0
2024-10-28,00:00:00,1730053800.0,320.7,347.55,320.7,337.05,3500567.0
2024-11-04,00:00:00,1730658600.0,334.7,351.0,332.1,335.15,2007414.0
2024-11-11,00:00:00,1731263400.0,337.0,345.5,314.1,330.65,1926593.0
2024-11-18,00:00:00,1731868200.0,333.0,334.65,310.35,318.6,3642464.0
2024-11-25,00:00:00,1732473000.0,322.0,366.0,320.0,342.8,10048342.0
2024-12-02,00:00:00,1733077800.0,339.35,353.7,336.4,346.85,2179933.0
2024-12-09,00:00:00,1733682600.0,349.65,359.6,323.15,324.65,4216661.0
2024-12-16,00:00:00,1734287400.0,327.75,352.9,324.05,341.85,18738954.0
2024-12-23,00:00:00,1734892200.0,335.0,336.65,310.1,324.45,7323304.0
2024-12-30,00:00:00,1735497000.0,324.9,353.75,314.5,327.7,37406485.0
2025-01-06,00:00:00,1736101800.0,328.65,328.65,283.8,285.15,3902753.0
2025-01-13,00:00:00,1736706600.0,281.0,308.75,277.0,290.7,10208581.0
2025-01-20,00:00:00,1737311400.0,294.5,341.4,277.4,314.5,65143316.0
2025-01-27,00:00:00,1737916200.0,310.7,314.75,281.65,296.0,11892110.0
2025-02-03,00:00:00,1738521000.0,296.7,309.85,290.65,302.3,2832691.0
2025-02-10,00:00:00,1739125800.0,300.5,314.95,285.55,296.85,17466464.0
2025-02-17,00:00:00,1739730600.0,289.0,311.9,287.3,299.3,4198863.0
2025-02-24,00:00:00,1740335400.0,302.5,312.0,290.65,304.85,3091079.0
2025-03-03,00:00:00,1740940200.0,297.0,324.8,286.8,314.45,5947091.0
2025-03-10,00:00:00,1741545000.0,316.6,316.7,290.2,294.05,1898022.0
2025-03-17,00:00:00,1742149800.0,289.45,308.0,289.45,297.25,4514140.0
2025-03-24,00:00:00,1742754600.0,298.75,302.85,286.0,289.3,4359014.0
2025-04-01,00:00:00,1743445800.0,285.0,290.35,278.6,280.05,2344094.0
2025-04-07,00:00:00,1743964200.0,270.0,285.4,264.6,281.05,3469609.0
2025-04-15,00:00:00,1744655400.0,285.0,299.7,282.35,297.85,1010917.0
2025-04-21,00:00:00,1745173800.0,290.45,305.4,290.35,298.65,1692868.0
2025-04-28,00:00:00,1745778600.0,298.95,324.9,279.8,286.05,7191470.0
2025-05-05,00:00:00,1746383400.0,288.35,298.7,278.55,290.5,1622838.0
2025-05-12,00:00:00,1746988200.0,295.0,304.8,291.55,299.55,2577884.0
2025-05-19,00:00:00,1747593000.0,300.85,339.5,294.65,323.7,16661244.0
2025-05-26,00:00:00,1748197800.0,326.85,347.8,323.1,345.0,7317995.0
2025-06-02,00:00:00,1748802600.0,345.0,354.85,329.55,351.25,7905234.0
2025-06-09,00:00:00,1749407400.0,356.75,360.0,332.6,342.95,4611843.0
2025-06-16,00:00:00,1750012200.0,342.95,361.9,333.45,356.2,9033983.0
2025-06-23,00:00:00,1750617000.0,350.0,364.65,343.3,361.8,3238821.0
2025-06-30,00:00:00,1751221800.0,361.55,361.95,334.2,337.4,2836837.0
2025-07-07,00:00:00,1751826600.0,337.95,346.8,327.25,342.05,4696164.0
2025-07-14,00:00:00,1752431400.0,342.0,358.65,340.0,351.3,4243689.0
2025-07-21,00:00:00,1753036200.0,355.0,363.25,345.1,348.65,1490726.0
2025-07-28,00:00:00,1753641000.0,347.9,376.0,337.35,365.15,19533516.0
2025-08-04,00:00:00,1754245800.0,365.0,368.0,350.3,356.05,3040028.0
2025-08-11,00:00:00,1754850600.0,356.45,369.75,353.1,355.35,1152841.0
