Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,950,958,949.05,953.2,2480
2026-05-04,09:20:00,1777866600,954.55,958.8,954,957.55,3439
2026-05-04,09:25:00,1777866900,957.65,965.2,957.65,964.2,6284
2026-05-04,09:30:00,1777867200,965.15,968.3,964.15,964.55,7368
2026-05-04,09:35:00,1777867500,964.2,964.2,961.4,961.4,7467
2026-05-04,09:40:00,1777867800,961.35,963.6,960.75,963.6,8224
2026-05-04,09:45:00,1777868100,964.4,965.05,963.45,963.45,8942
2026-05-04,09:50:00,1777868400,962.75,962.75,960.35,962.25,9420
2026-05-04,09:55:00,1777868700,962.2,965.7,962.2,965.7,9689
2026-05-04,10:00:00,1777869000,965.15,965.15,960.1,960.1,10167
2026-05-04,10:05:00,1777869300,960.1,960.9,957.6,959.55,10829
2026-05-04,10:10:00,1777869600,959.6,959.9,957.15,957.15,12228
2026-05-04,10:15:00,1777869900,958.35,958.75,957.4,958,12548
2026-05-04,10:20:00,1777870200,958.7,958.85,956,956.25,13350
2026-05-04,10:25:00,1777870500,957.05,959.75,956.55,959.75,14193
2026-05-04,10:30:00,1777870800,960.45,969,960.45,968.6,18549
2026-05-04,10:35:00,1777871100,967.9,970.55,967.55,970.55,19663
2026-05-04,10:40:00,1777871400,970.7,973.7,969.95,972.6,20576
2026-05-04,10:45:00,1777871700,973,973,970.35,972.4,23073
2026-05-04,10:50:00,1777872000,971.7,972.5,970.1,972.5,24549
2026-05-04,10:55:00,1777872300,971.6,972.5,971.45,972.5,25327
2026-05-04,11:00:00,1777872600,972.2,976,972.2,976,27556
2026-05-04,11:05:00,1777872900,975.45,977.6,975.25,977.6,27909
2026-05-04,11:10:00,1777873200,977.4,978.65,975.85,977,29715
2026-05-04,11:15:00,1777873500,977.3,983.55,977.3,982.2,34450
2026-05-04,11:20:00,1777873800,982.95,983.35,981.05,981.8,35382
2026-05-04,11:25:00,1777874100,982.5,985.3,982.05,985.3,37127
2026-05-04,11:30:00,1777874400,984.9,985.3,983.9,985.1,37835
2026-05-04,11:35:00,1777874700,985.05,985.15,983.4,984.4,39443
2026-05-04,11:40:00,1777875000,984.75,984.95,981.15,982,40569
2026-05-04,11:45:00,1777875300,981.9,983.25,981,981.95,41315
2026-05-04,11:50:00,1777875600,982,999,980.95,985.6,53800
2026-05-04,11:55:00,1777875900,985.35,986.3,983.3,983.3,55164
2026-05-04,12:00:00,1777876200,982.4,985.8,978.75,978.75,61682
2026-05-04,12:05:00,1777876500,979,979.6,977.2,977.85,62634
2026-05-04,12:10:00,1777876800,977.05,977.05,972.75,972.75,63569
2026-05-04,12:15:00,1777877100,973.15,973.55,971.5,973.25,63830
2026-05-04,12:20:00,1777877400,973.55,975.6,972.8,975.1,65233
2026-05-04,12:25:00,1777877700,975.15,975.6,973.7,974.65,65469
2026-05-04,12:30:00,1777878000,974.6,975.65,973.55,974.5,65942
2026-05-04,12:35:00,1777878300,974.55,977.7,973,977.65,66842
2026-05-04,12:40:00,1777878600,977.7,977.7,973.5,975.1,67269
2026-05-04,12:45:00,1777878900,975,975.15,971.5,972.5,67862
2026-05-04,12:50:00,1777879200,972.45,974.05,970.5,973.95,68773
2026-05-04,12:55:00,1777879500,973.9,974.05,972.75,973.85,69034
2026-05-04,13:00:00,1777879800,973.9,974.4,968.65,969.25,70690
2026-05-04,13:05:00,1777880100,969.15,970.5,969.15,970.5,71128
2026-05-04,13:10:00,1777880400,970.4,970.4,969.15,969.15,71167
2026-05-04,13:15:00,1777880700,969.5,974.05,969,970.7,73274
2026-05-04,13:20:00,1777881000,971.15,971.15,967,967,73628
2026-05-04,13:25:00,1777881300,967.2,968.2,967,967,73893
2026-05-04,13:30:00,1777881600,967.55,967.55,965.45,967.3,74277
2026-05-04,13:35:00,1777881900,967.35,968.3,959.65,959.65,88799
2026-05-04,13:40:00,1777882200,960,966,960,966,90073
2026-05-04,13:45:00,1777882500,965.95,965.95,965.3,965.8,90142
2026-05-04,13:50:00,1777882800,966.25,967.75,965.55,965.55,91063
2026-05-04,13:55:00,1777883100,966.45,966.7,965.5,966.7,91195
2026-05-04,14:00:00,1777883400,966.55,966.65,965.5,966.65,91431
2026-05-04,14:05:00,1777883700,966.85,966.85,965.85,965.85,91448
2026-05-04,14:10:00,1777884000,966.6,968.5,966.6,967.15,91666
2026-05-04,14:15:00,1777884300,968.6,968.6,968.15,968.6,91696
2026-05-04,14:20:00,1777884600,967.5,968.8,967.45,968.8,92339
2026-05-04,14:25:00,1777884900,968.85,968.85,966.2,967.55,92393
