Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,1043.1,1044.5,1023,1037.3,59799
2025-12-04,00:00:00,1764786600,1035,1046,1000,1000.8,927630
2025-12-05,00:00:00,1764873000,1005,1018,995,1014,86063
2025-12-08,00:00:00,1765132200,1010,1019.9,996.9,1014.2,137244
2025-12-09,00:00:00,1765218600,1014,1021,1000.1,1018.3,45295
2025-12-10,00:00:00,1765305000,1024.9,1070,1018.3,1031.6,303726
2025-12-11,00:00:00,1765391400,1032,1032.6,1010,1012.9,106020
2025-12-12,00:00:00,1765477800,1010,1023.2,1005.4,1016.6,63724
2025-12-15,00:00:00,1765737000,1011.4,1022.4,1008.4,1018.8,30166
2025-12-16,00:00:00,1765823400,1019,1023,1011,1014.8,21485
2025-12-17,00:00:00,1765909800,1011.4,1019.9,1003.1,1012.7,35534
2025-12-18,00:00:00,1765996200,1008,1015.8,989.1,1010.2,63755
2025-12-19,00:00:00,1766082600,1011.5,1015.5,988.4,992.6,206281
2025-12-22,00:00:00,1766341800,992.1,1000,990.9,996,41671
2025-12-23,00:00:00,1766428200,996,1013,989.4,1006.8,52704
2025-12-24,00:00:00,1766514600,1006.8,1012.2,1002.4,1003.8,28539
2025-12-26,00:00:00,1766687400,1000.9,1012.4,997,1006.2,40163
2025-12-29,00:00:00,1766946600,1006,1006.2,992,995.5,17893
2025-12-30,00:00:00,1767033000,995.5,995.5,946.7,967.7,436076
2025-12-31,00:00:00,1767119400,968.1,1014.2,968.1,1002.4,116779
2026-01-01,00:00:00,1767205800,1002,1036,994.2,1030.1,143073
2026-01-02,00:00:00,1767292200,1039,1040.1,1010.6,1021.1,123208
2026-01-05,00:00:00,1767551400,1024.6,1030.9,999.2,1005.8,55757
2026-01-06,00:00:00,1767637800,1005.8,1022.9,997,1020.2,71472
2026-01-07,00:00:00,1767724200,1020.2,1059.2,1011.1,1054.2,96938
2026-01-08,00:00:00,1767810600,1054.2,1063.4,1011.2,1023.6,133180
2026-01-09,00:00:00,1767897000,1017,1029.5,1003.1,1024.2,65743
2026-01-12,00:00:00,1768156200,1022,1022,998.1,1012.2,54391
2026-01-13,00:00:00,1768242600,1012.2,1012.2,996,1000.8,81608
2026-01-14,00:00:00,1768329000,997.8,1011.4,990.6,1003.4,96454
