Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,2087.5,2109.7,2081.5,2097.7,392005
2025-12-03,00:00:00,1764700200,2091,2097.7,2057.7,2067.8,290444
2025-12-04,00:00:00,1764786600,2078.8,2103,2056,2079.6,361891
2025-12-05,00:00:00,1764873000,2080,2117,2062.8,2082.4,494250
2025-12-08,00:00:00,1765132200,2086,2092.7,1950.1,1975.1,1035902
2025-12-09,00:00:00,1765218600,1970,2051.4,1952,2043,1296198
2025-12-10,00:00:00,1765305000,2041,2049.2,2001,2014.3,359878
2025-12-11,00:00:00,1765391400,2013.9,2046.8,2000,2035.6,225728
2025-12-12,00:00:00,1765477800,2045,2081.5,2038.4,2075.1,481256
2025-12-15,00:00:00,1765737000,2079.8,2079.8,2041.5,2067.8,407293
2025-12-16,00:00:00,1765823400,2070,2077,2015.1,2023.6,237245
2025-12-17,00:00:00,1765909800,2024.9,2036.6,2004.9,2014.9,285130
2025-12-18,00:00:00,1765996200,2015,2026.8,1990.2,1999.8,593692
2025-12-19,00:00:00,1766082600,2001.3,2049.6,1998.8,2044.8,628062
2025-12-22,00:00:00,1766341800,2045,2061.5,2026,2030.4,231349
2025-12-23,00:00:00,1766428200,2030.4,2042.3,2014.2,2019.5,264149
2025-12-24,00:00:00,1766514600,2025,2044.9,2001.8,2006.1,296234
2025-12-26,00:00:00,1766687400,2006,2019.4,1995,2002.6,375373
2025-12-29,00:00:00,1766946600,2005,2014,1989.9,1997.8,197632
2025-12-30,00:00:00,1767033000,1995,1995.7,1971,1977.7,411451
2025-12-31,00:00:00,1767119400,1978.5,2016.7,1978.5,2004.4,397188
2026-01-01,00:00:00,1767205800,2010,2029.9,1996.6,2015.3,279220
2026-01-02,00:00:00,1767292200,2025,2071.9,2018,2068.5,308290
2026-01-05,00:00:00,1767551400,2070,2128.5,2057.7,2124.2,1387944
2026-01-06,00:00:00,1767637800,2130,2143,2107.1,2127.9,419219
2026-01-07,00:00:00,1767724200,2128.9,2153,2097.9,2138.2,566635
2026-01-08,00:00:00,1767810600,2126.7,2166.2,2088,2095.1,441294
2026-01-09,00:00:00,1767897000,2090,2090,1982.6,1991.5,1790853
2026-01-12,00:00:00,1768156200,1994.9,1996.2,1910,1930.8,1788932
2026-01-13,00:00:00,1768242600,1940,1954.7,1857.8,1878.8,2030980
2026-01-14,00:00:00,1768329000,1875,1876.4,1850.1,1871.4,918048
2026-01-16,00:00:00,1768501800,1882.3,1940.7,1875.2,1889,1215966
2026-01-19,00:00:00,1768761000,1889,1889,1784.1,1797.8,2029945
2026-01-20,00:00:00,1768847400,1800,1804.7,1684.1,1694.7,1605449
2026-01-21,00:00:00,1768933800,1694.7,1706.3,1625.2,1644.4,2824755
2026-01-22,00:00:00,1769020200,1655.9,1670,1603,1620.4,1490676
2026-01-23,00:00:00,1769106600,1638,1638,1532.6,1541.2,2461081
2026-01-27,00:00:00,1769452200,1548.9,1552.6,1476.2,1517.9,5007112
2026-01-28,00:00:00,1769538600,1515,1559.3,1509.5,1550.3,1957835
2026-01-29,00:00:00,1769625000,1567,1582.8,1537.3,1566.5,1223856
2026-01-30,00:00:00,1769711400,1568.1,1588.6,1550.1,1576.8,1924460
2026-02-01,00:00:00,1769884200,1580,1584.6,1475,1516.8,1045646
2026-02-02,00:00:00,1769970600,1507.9,1568.9,1486.4,1560.1,875047
2026-02-03,00:00:00,1770057000,1612,1743.1,1610.2,1699.4,3763783
2026-02-04,00:00:00,1770143400,1703,1721.3,1660.6,1711.7,1028678
2026-02-05,00:00:00,1770229800,1720,1722.2,1649.6,1689.8,1838089
2026-02-06,00:00:00,1770316200,1695,1727.8,1644.2,1699.8,1446287
2026-02-09,00:00:00,1770575400,1721,1821.4,1715.3,1801.4,3904447
2026-02-10,00:00:00,1770661800,1810,1834.9,1801.5,1820.8,1486492
2026-02-11,00:00:00,1770748200,1821,1855,1813.2,1852.1,1377672
2026-02-12,00:00:00,1770834600,1850,1854.6,1806.5,1821.7,1518515
2026-02-13,00:00:00,1770921000,1787.8,1817.1,1727.1,1806.6,2052670
2026-02-16,00:00:00,1771180200,1795.7,1841.9,1786,1832.7,1100804
2026-02-17,00:00:00,1771266600,1830,1851,1815.2,1845.1,746639
2026-02-18,00:00:00,1771353000,1850.1,1894.4,1840.7,1885.1,1207699
2026-02-19,00:00:00,1771439400,1880,1887,1806,1824.2,1845151
2026-02-20,00:00:00,1771525800,1812.2,1834.9,1789.2,1825.7,1044407
2026-02-23,00:00:00,1771785000,1835,1853.8,1793.4,1829.7,1419507
2026-02-24,00:00:00,1771871400,1825,1831.2,1749,1770.7,1923433
2026-02-25,00:00:00,1771957800,1789.4,1819,1780,1797.8,1078579
2026-02-26,00:00:00,1772044200,1800,1810,1772.4,1797.8,652717
2026-02-27,00:00:00,1772130600,1794,1800.8,1725,1731,1247988
2026-03-02,00:00:00,1772389800,1665.7,1740.2,1665.7,1733.5,2408197
2026-03-04,00:00:00,1772562600,1698,1710,1647,1693.7,2001315
2026-03-05,00:00:00,1772649000,1697.8,1751,1684.6,1743.8,1661321
2026-03-06,00:00:00,1772735400,1743.8,1743.8,1660.2,1667.3,2211721
2026-03-09,00:00:00,1772994600,1610.5,1652.4,1590.5,1645.6,2761673
2026-03-10,00:00:00,1773081000,1664,1689,1649.6,1675.4,1595426
2026-03-11,00:00:00,1773167400,1688,1698,1644.3,1651.1,1099518
2026-03-12,00:00:00,1773253800,1638.9,1649.6,1600.6,1616.3,762875
2026-03-13,00:00:00,1773340200,1601,1606,1567,1577.4,958388
2026-03-16,00:00:00,1773599400,1578,1593,1543,1560,841218
2026-03-17,00:00:00,1773685800,1556,1596.2,1547.5,1584.2,509336
2026-03-18,00:00:00,1773772200,1585,1666,1583,1643,824188
2026-03-19,00:00:00,1773858600,1612,1612.1,1540.3,1552.1,888321
2026-03-20,00:00:00,1773945000,1564.9,1604.5,1543.7,1549.5,966056
2026-03-23,00:00:00,1774204200,1527.7,1528,1486,1497.2,1991822
2026-03-24,00:00:00,1774290600,1525,1562,1518.3,1540.5,715587
