Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,384,391.1,383.05,390,148484
2026-05-04,10:15:00,1777869900,390.05,391.1,389.45,390.45,227064
2026-05-04,11:15:00,1777873500,390.25,391.5,389.15,389.75,271882
2026-05-04,12:15:00,1777877100,389.8,390.5,389.55,390.45,320756
2026-05-04,13:15:00,1777880700,390.6,390.85,385.05,389.95,402023
2026-05-04,14:15:00,1777884300,390,390.65,389.55,390.1,455451
2026-05-04,15:15:00,1777887900,390.15,391.45,389.8,391.45,480901
2026-05-05,09:15:00,1777952700,389.15,390.25,384.65,385.65,54756
2026-05-05,10:15:00,1777956300,385.75,386.1,382.3,383.45,87970
2026-05-05,11:15:00,1777959900,383.85,387.85,383.5,387.3,127525
2026-05-05,12:15:00,1777963500,387.2,388.2,386.8,387.05,147178
2026-05-05,13:15:00,1777967100,387.2,387.45,386,387.15,166838
2026-05-05,14:15:00,1777970700,387,388.7,387,388,215277
2026-05-05,15:15:00,1777974300,388.05,389.45,388,388.05,251545
2026-05-06,09:15:00,1778039100,391.4,392.25,389.05,390.2,100182
2026-05-06,10:15:00,1778042700,390.1,390.6,387.2,388.65,143974
2026-05-06,11:15:00,1778046300,388.75,398.6,388.65,396.5,337944
2026-05-06,12:15:00,1778049900,396.4,396.5,394.8,395.75,422608
2026-05-06,13:15:00,1778053500,395.55,397.1,395,396.45,484833
2026-05-06,14:15:00,1778057100,396.4,398.4,396.15,396.8,567389
2026-05-06,15:15:00,1778060700,396.65,399,396.6,398.5,633613
2026-05-07,09:15:00,1778125500,400,403,397.75,402.2,325263
2026-05-07,10:15:00,1778129100,402.5,404.35,399.2,404,505823
2026-05-07,11:15:00,1778132700,404.05,404.2,400.9,402.75,625260
2026-05-07,12:15:00,1778136300,403,405,402.7,404.95,725726
2026-05-07,13:15:00,1778139900,405,405.35,403.95,404.95,845811
2026-05-07,14:15:00,1778143500,405,409.85,404.6,408.3,1093921
2026-05-07,15:15:00,1778147100,408.1,409.6,407.4,407.4,1214431
2026-05-08,09:15:00,1778211900,408.9,408.9,400.95,404.25,81067
2026-05-08,10:15:00,1778215500,404.4,404.4,398.35,398.7,148388
2026-05-08,11:15:00,1778219100,398.75,398.8,396.05,396.2,184203
2026-05-08,12:15:00,1778222700,396.1,397.2,394.7,395.75,221923
2026-05-08,13:15:00,1778226300,395.75,396.25,393.7,394.35,251596
2026-05-08,14:15:00,1778229900,394.2,398.4,393.7,396.4,342190
