Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,1208,1213.1,1195.5,1196.7,731917
2026-05-04,10:15:00,1777869900,1196.6,1200.5,1195.2,1200.2,991509
2026-05-04,11:15:00,1777873500,1200,1200.3,1196.2,1196.3,1438022
2026-05-04,12:15:00,1777877100,1196.1,1201.6,1195.5,1196.6,1908146
2026-05-04,13:15:00,1777880700,1196.7,1201.9,1191.4,1201.1,2447216
2026-05-04,14:15:00,1777884300,1201.2,1202.1,1198.3,1200.8,3074150
2026-05-04,15:15:00,1777887900,1201,1201.9,1198.2,1200,3317866
2026-05-05,09:15:00,1777952700,1200,1204.8,1190,1197.3,584384
2026-05-05,10:15:00,1777956300,1197.4,1199.4,1194.4,1199.4,871256
2026-05-05,11:15:00,1777959900,1199.2,1200.8,1195.4,1200.1,1281777
2026-05-05,12:15:00,1777963500,1200.6,1202.4,1199,1200.7,1488872
2026-05-05,13:15:00,1777967100,1201.2,1204.8,1200.3,1201.5,1763275
2026-05-05,14:15:00,1777970700,1201.7,1205.3,1199.5,1200.4,2227552
2026-05-05,15:15:00,1777974300,1200.9,1201.3,1199.1,1200.3,2459254
2026-05-06,09:15:00,1778039100,1208,1211.3,1200.3,1204.4,587326
2026-05-06,10:15:00,1778042700,1204.6,1204.8,1195,1197.4,1087812
2026-05-06,11:15:00,1778046300,1197.1,1200.5,1193.3,1194.4,1511863
2026-05-06,12:15:00,1778049900,1194,1194.3,1189.1,1190.4,1942354
2026-05-06,13:15:00,1778053500,1190.5,1192.4,1188.1,1188.9,2250708
2026-05-06,14:15:00,1778057100,1189,1194.9,1188,1188.1,3065697
2026-05-06,15:15:00,1778060700,1188,1191,1186.5,1190.9,3539287
2026-05-07,09:15:00,1778125500,1195,1195.9,1181.3,1184.3,791731
2026-05-07,10:15:00,1778129100,1184.8,1186.3,1182.7,1182.8,1083619
2026-05-07,11:15:00,1778132700,1182.9,1188.5,1182.7,1186.5,1513823
2026-05-07,12:15:00,1778136300,1186.7,1193.3,1186.7,1188.9,1970773
2026-05-07,13:15:00,1778139900,1188.8,1190,1185.1,1185.1,2388104
2026-05-07,14:15:00,1778143500,1185,1187,1182.3,1183,3298081
2026-05-07,15:15:00,1778147100,1182.9,1183,1181.3,1182.3,3722511
2026-05-08,09:15:00,1778211900,1179.8,1193.5,1179.5,1192.2,698314
2026-05-08,10:15:00,1778215500,1192,1198.8,1190.8,1197.3,1034089
2026-05-08,11:15:00,1778219100,1197.4,1198.4,1192.4,1194.1,1567293
2026-05-08,12:15:00,1778222700,1194,1197.8,1191.3,1196.4,1814655
2026-05-08,13:15:00,1778226300,1196.3,1200.5,1194.6,1199.4,2142684
2026-05-08,14:15:00,1778229900,1199.2,1202.8,1197.5,1198.9,2592992
2026-05-08,15:15:00,1778233500,1198.8,1199.8,1197.4,1198,2813156
2026-05-11,09:15:00,1778471100,1196.9,1206.3,1191.7,1201,666540
2026-05-11,10:15:00,1778474700,1200.5,1206.3,1198.2,1203.9,985664
2026-05-11,11:15:00,1778478300,1203.3,1203.9,1197.1,1200,1334735
2026-05-11,12:15:00,1778481900,1199.6,1202.8,1198.2,1201,1530866
2026-05-11,13:15:00,1778485500,1201.1,1203.2,1199,1202.2,1792130
2026-05-11,14:15:00,1778489100,1202,1202.5,1193.8,1194.6,2302827
2026-05-11,15:15:00,1778492700,1195,1195.9,1193.1,1193.1,2505247
2026-05-12,09:15:00,1778557500,1183,1183,1160.5,1162.2,969327
2026-05-12,10:15:00,1778561100,1162.1,1162.4,1152.7,1153,1444931
2026-05-12,11:15:00,1778564700,1152.9,1156.9,1145,1145.7,1980767
2026-05-12,12:15:00,1778568300,1145.6,1150,1142.8,1150,2541663
2026-05-12,13:15:00,1778571900,1150.6,1151.3,1145.3,1146.7,2910517
2026-05-12,14:15:00,1778575500,1146.6,1150.4,1144.2,1144.6,3570205
2026-05-12,15:15:00,1778579100,1144.8,1147.5,1144.8,1147.4,3956820
2026-05-13,09:15:00,1778643900,1146.3,1153.5,1137.9,1149.3,666116
2026-05-13,10:15:00,1778647500,1149.2,1151.5,1145.4,1148.5,966210
2026-05-13,11:15:00,1778651100,1148.4,1151,1145.5,1150,1256997
2026-05-13,12:15:00,1778654700,1150.2,1150.3,1141.7,1146.5,1523484
2026-05-13,13:15:00,1778658300,1146.4,1146.8,1142.2,1144.4,1760903
2026-05-13,14:15:00,1778661900,1144.3,1145.2,1140.4,1143.3,2424340
2026-05-13,15:15:00,1778665500,1144,1146.4,1141.6,1145,2634187
2026-05-14,09:15:00,1778730300,1139,1141,1118,1119.5,1331547
2026-05-14,10:15:00,1778733900,1119.4,1121.1,1110.4,1112.5,2039282
2026-05-14,11:15:00,1778737500,1112.9,1117.7,1105,1107.4,2889569
2026-05-14,12:15:00,1778741100,1107.5,1118.5,1103.4,1117.4,3771128
2026-05-14,13:15:00,1778744700,1117.3,1131.3,1117,1129.4,4945493
2026-05-14,14:15:00,1778748300,1129.5,1130.6,1124,1124.1,5555687
2026-05-14,15:15:00,1778751900,1125,1125,1120.9,1124,5835181
2026-05-15,09:15:00,1778816700,1121.9,1151.8,1121.9,1139.5,1508086
