Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,925,925,922.8,922.8,95
2026-05-29,09:16:00,1780026360,923.95,923.95,923.95,923.95,145
2026-05-29,09:17:00,1780026420,921.65,921.65,921.65,921.65,150
2026-05-29,09:18:00,1780026480,924.95,924.95,921.05,921.05,305
2026-05-29,09:22:00,1780026720,921.1,921.1,921.1,921.1,
2026-05-29,09:23:00,1780026780,921.1,921.1,921.1,921.1,369
2026-05-29,09:25:00,1780026900,920.85,920.85,920.85,920.85,370
2026-05-29,09:26:00,1780026960,920,920,920,920,390
2026-05-29,09:28:00,1780027080,916,919.5,916,919.5,1440
2026-05-29,09:29:00,1780027140,919.3,919.3,919.3,919.3,1450
2026-05-29,09:30:00,1780027200,924.95,924.95,924.95,924.95,2101
2026-05-29,09:31:00,1780027260,921.6,921.8,921.6,921.8,2109
2026-05-29,09:35:00,1780027500,924.35,924.35,924.35,924.35,2179
2026-05-29,09:36:00,1780027560,924.7,924.7,924.7,924.7,2180
2026-05-29,09:37:00,1780027620,922.9,922.9,922.9,922.9,2183
2026-05-29,09:38:00,1780027680,925,925,918.6,918.6,2385
2026-05-29,09:39:00,1780027740,917.55,917.55,916,916.2,3010
2026-05-29,09:42:00,1780027920,917,917.15,917,917.15,3440
2026-05-29,09:43:00,1780027980,916.2,916.2,916.2,916.2,3441
2026-05-29,09:44:00,1780028040,916.6,916.6,915,915,3476
2026-05-29,09:45:00,1780028100,915.75,915.75,915.75,915.75,3484
2026-05-29,09:47:00,1780028220,915,915.2,915,915.15,3497
2026-05-29,09:48:00,1780028280,915.25,915.25,915.25,915.25,3501
2026-05-29,09:49:00,1780028340,915.45,915.45,915.45,915.45,3518
2026-05-29,09:51:00,1780028460,915.45,915.45,915.45,915.45,3519
2026-05-29,09:52:00,1780028520,914.35,914.35,914.35,914.35,3523
2026-05-29,09:53:00,1780028580,918.95,925.5,918.95,923.75,5502
2026-05-29,09:54:00,1780028640,922.25,922.25,921.6,921.6,5525
2026-05-29,09:55:00,1780028700,920.8,921,918.75,918.75,6093
2026-05-29,09:56:00,1780028760,918.75,918.75,918.75,918.75,6117
2026-05-29,09:57:00,1780028820,917.05,917.05,917.05,917.05,6190
2026-05-29,10:00:00,1780029000,918.25,918.25,918.25,918.25,6390
2026-05-29,10:01:00,1780029060,916.1,916.1,916.1,916.1,6579
2026-05-29,10:02:00,1780029120,916.25,917,916.25,917,6780
2026-05-29,10:08:00,1780029480,917.6,917.6,917.6,917.6,6880
2026-05-29,10:09:00,1780029540,918,918,918,918,6900
2026-05-29,10:10:00,1780029600,916.6,916.6,916.6,916.6,6921
2026-05-29,10:13:00,1780029780,916.8,916.8,916.8,916.8,6937
2026-05-29,10:21:00,1780030260,918.2,918.2,918.2,918.2,6942
2026-05-29,10:22:00,1780030320,916.65,918.1,916.65,918.1,7008
2026-05-29,10:23:00,1780030380,918.2,918.2,918.2,918.2,7009
2026-05-29,10:25:00,1780030500,918.5,920.3,918.5,920.3,7041
2026-05-29,10:31:00,1780030860,920.4,920.4,920.4,920.4,7049
2026-05-29,10:32:00,1780030920,919.85,920.35,919.85,920.3,7070
2026-05-29,10:33:00,1780030980,920.2,920.2,920.2,920.2,
2026-05-29,10:34:00,1780031040,920.2,920.2,920.2,920.2,7071
2026-05-29,10:35:00,1780031100,920.4,920.4,920.4,920.4,7101
2026-05-29,10:36:00,1780031160,918.2,918.2,918.2,918.2,7246
2026-05-29,10:39:00,1780031340,920.4,920.4,920.4,920.4,7303
2026-05-29,10:40:00,1780031400,921,921,921,921,7403
2026-05-29,10:41:00,1780031460,919.55,919.55,919.55,919.55,7458
2026-05-29,10:44:00,1780031640,921,921,921,921,7481
2026-05-29,10:45:00,1780031700,919.5,919.5,919.45,919.45,7635
2026-05-29,10:48:00,1780031880,920.45,920.45,920.25,920.25,7653
2026-05-29,10:49:00,1780031940,918.9,918.9,918.9,918.9,7670
2026-05-29,10:50:00,1780032000,920.35,920.35,920.35,920.35,7685
2026-05-29,10:53:00,1780032180,920.1,920.1,920.1,920.1,7705
2026-05-29,10:56:00,1780032360,920.1,920.1,920.1,920.1,7723
2026-05-29,11:01:00,1780032660,920.05,920.05,920.05,920.05,7724
2026-05-29,11:04:00,1780032840,919.1,919.1,919.1,919.1,7866
2026-05-29,11:05:00,1780032900,921,921,921,921,7949
2026-05-29,11:09:00,1780033140,920.95,920.95,919.9,919.9,8031
2026-05-29,11:10:00,1780033200,921,921,921,921,8032
2026-05-29,11:14:00,1780033440,920.85,920.85,920.85,920.85,8035
2026-05-29,11:15:00,1780033500,920.95,920.95,920.95,920.95,8042
2026-05-29,11:21:00,1780033860,919.4,919.4,919.4,919.4,8044
2026-05-29,11:22:00,1780033920,920.95,920.95,919.4,919.4,8059
2026-05-29,11:23:00,1780033980,921,921,921,921,8104
2026-05-29,11:24:00,1780034040,920,920,920,920,8139
2026-05-29,11:25:00,1780034100,919.3,919.3,919.3,919.3,8141
2026-05-29,11:28:00,1780034280,919.75,919.75,919.75,919.75,8142
2026-05-29,11:34:00,1780034640,920.85,920.85,920.85,920.85,8143
2026-05-29,11:35:00,1780034700,921,921,921,921,8168
2026-05-29,11:41:00,1780035060,920.85,920.85,920.85,920.85,8170
2026-05-29,11:45:00,1780035300,919.65,919.65,919.65,919.65,8776
2026-05-29,11:48:00,1780035480,921,921,921,921,8858
2026-05-29,11:49:00,1780035540,919.75,919.75,919.75,919.75,
2026-05-29,11:50:00,1780035600,919.8,919.8,919.8,919.8,8864
2026-05-29,11:57:00,1780036020,919.4,919.4,919.4,919.4,8891
2026-05-29,11:59:00,1780036140,920.75,920.75,920.75,920.75,8893
2026-05-29,12:00:00,1780036200,920.75,920.75,920.75,920.75,8894
2026-05-29,12:01:00,1780036260,920.8,920.8,920.8,920.8,8900
2026-05-29,12:11:00,1780036860,920,920,920,920,8915
2026-05-29,12:13:00,1780036980,918.4,918.4,918.4,918.4,8917
2026-05-29,12:19:00,1780037340,919.95,919.95,919.95,919.95,8918
2026-05-29,12:22:00,1780037520,919.95,919.95,919.95,919.95,8919
2026-05-29,12:23:00,1780037580,920.4,920.4,920.4,920.4,8929
2026-05-29,12:28:00,1780037880,920.8,920.8,920.8,920.8,8979
2026-05-29,12:37:00,1780038420,920.5,920.5,920.5,920.5,8980
2026-05-29,12:39:00,1780038540,919.25,919.25,919.25,919.25,8991
2026-05-29,12:59:00,1780039740,919,919,919,919,9141
2026-05-29,13:05:00,1780040100,919.05,919.05,918,918,9596
2026-05-29,13:07:00,1780040220,918.1,918.1,918.05,918.05,9627
2026-05-29,13:08:00,1780040280,919,920,919,919.85,10810
2026-05-29,13:09:00,1780040340,919.75,919.75,919.75,919.75,10813
2026-05-29,13:15:00,1780040700,918.35,918.35,918.35,918.35,10814
2026-05-29,13:16:00,1780040760,918.6,918.6,918.35,918.35,10882
2026-05-29,13:20:00,1780041000,919.3,919.3,919.3,919.3,10887
2026-05-29,13:23:00,1780041180,918.25,918.25,918.25,918.25,10889
2026-05-29,13:26:00,1780041360,915.05,915.05,915.05,915.05,11571
2026-05-29,13:31:00,1780041660,916,916,916,916,11588
2026-05-29,13:32:00,1780041720,915.95,915.95,915.95,915.95,11603
2026-05-29,13:33:00,1780041780,916,916,916,916,11633
2026-05-29,13:37:00,1780042020,915.85,915.85,915.85,915.85,11683
2026-05-29,13:43:00,1780042380,915.85,915.85,915.85,915.85,11694
2026-05-29,13:45:00,1780042500,915.1,915.1,914.1,914.1,13771
2026-05-29,13:46:00,1780042560,912,913.75,910,911,17974
2026-05-29,13:47:00,1780042620,909.85,909.85,909,909,18190
2026-05-29,13:48:00,1780042680,909.2,909.2,909.2,909.2,18191
2026-05-29,13:49:00,1780042740,909.2,909.2,909.2,909.2,18194
2026-05-29,13:50:00,1780042800,909.2,909.2,909.2,909.2,18244
2026-05-29,13:53:00,1780042980,909.2,909.2,909.2,909.2,18245
2026-05-29,13:54:00,1780043040,909.2,909.2,909.2,909.2,18253
2026-05-29,13:55:00,1780043100,909.2,909.2,909.2,909.2,18256
2026-05-29,13:56:00,1780043160,909.15,910,909.15,910,18303
2026-05-29,14:01:00,1780043460,910.9,911.35,910.9,911.35,18405
2026-05-29,14:02:00,1780043520,911.3,911.3,911.3,911.3,18413
2026-05-29,14:04:00,1780043640,911.2,911.2,911.2,911.2,18915
2026-05-29,14:07:00,1780043820,910.75,910.75,910.75,910.75,18916
2026-05-29,14:08:00,1780043880,908.95,909.35,908.95,909.35,19271
2026-05-29,14:09:00,1780043940,908.9,909.4,907.55,909.4,19407
2026-05-29,14:10:00,1780044000,908.75,908.75,908.75,908.75,19408
2026-05-29,14:11:00,1780044060,908.6,908.6,908.6,908.6,19409
2026-05-29,14:13:00,1780044180,909.65,909.65,909.65,909.65,19509
2026-05-29,14:16:00,1780044360,909,909,909,909,19529
2026-05-29,14:18:00,1780044480,909,909,909,909,19545
2026-05-29,14:21:00,1780044660,908.95,908.95,908.95,908.95,19548
2026-05-29,14:22:00,1780044720,908.95,908.95,908.95,908.95,19549
2026-05-29,14:23:00,1780044780,908.9,908.9,908.9,908.9,19552
2026-05-29,14:24:00,1780044840,909.2,909.2,909.2,909.2,19554
2026-05-29,14:25:00,1780044900,908.95,908.95,908,908,19614
2026-05-29,14:26:00,1780044960,907.55,907.55,907.55,907.55,19630
2026-05-29,14:27:00,1780045020,907.45,907.45,906.6,906.6,19810
2026-05-29,14:28:00,1780045080,906.6,906.6,906.6,906.6,19811
2026-05-29,14:30:00,1780045200,906.45,906.45,906.45,906.45,19813
2026-05-29,14:31:00,1780045260,906.45,906.45,906.45,906.45,19814
2026-05-29,14:32:00,1780045320,906.45,906.45,906.45,906.45,19843
2026-05-29,14:33:00,1780045380,906.45,906.45,906.45,906.45,19872
2026-05-29,14:35:00,1780045500,907.55,907.55,907.55,907.55,19882
