Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,1214.4,1214.4,1205.3,1206.8,9211
2026-05-29,09:16:00,1780026360,1206.6,1206.9,1200,1201.3,17176
2026-05-29,09:17:00,1780026420,1201.8,1207.1,1201.8,1207.1,25675
2026-05-29,09:18:00,1780026480,1207.3,1207.9,1206.8,1207.9,26875
2026-05-29,09:19:00,1780026540,1208.3,1209.4,1207.9,1208.8,30651
2026-05-29,09:20:00,1780026600,1209.6,1211.4,1209.6,1210.8,33170
2026-05-29,09:21:00,1780026660,1211.4,1211.5,1210,1210.4,35453
2026-05-29,09:22:00,1780026720,1211.2,1211.2,1209.3,1209.4,41747
2026-05-29,09:23:00,1780026780,1209,1209.4,1207.8,1208.3,43364
2026-05-29,09:24:00,1780026840,1207.4,1208.3,1206.7,1207.6,44876
2026-05-29,09:25:00,1780026900,1207.2,1207.6,1207.2,1207.4,46154
2026-05-29,09:26:00,1780026960,1206.5,1208.8,1206.5,1208.8,47380
2026-05-29,09:27:00,1780027020,1208.4,1208.4,1205.2,1205.6,56009
2026-05-29,09:28:00,1780027080,1206.4,1206.6,1204.2,1204.2,63484
2026-05-29,09:29:00,1780027140,1205.3,1205.7,1204.6,1204.6,67691
2026-05-29,09:30:00,1780027200,1203.9,1205.3,1203.9,1205.1,70471
2026-05-29,09:31:00,1780027260,1205.3,1206.4,1204.9,1205.3,73132
2026-05-29,09:32:00,1780027320,1205.5,1205.8,1204.6,1204.6,74006
2026-05-29,09:33:00,1780027380,1205.2,1205.2,1203.5,1204.5,79950
2026-05-29,09:34:00,1780027440,1204.1,1204.4,1203.1,1203.7,80896
2026-05-29,09:35:00,1780027500,1205.5,1205.8,1204.7,1205.8,81866
2026-05-29,09:36:00,1780027560,1206,1207.8,1206,1207.6,82847
2026-05-29,09:37:00,1780027620,1207.2,1209,1207.2,1208.7,84767
2026-05-29,09:38:00,1780027680,1208.2,1208.6,1207.1,1207.7,87914
2026-05-29,09:39:00,1780027740,1207.8,1209.2,1207.7,1209.2,88804
2026-05-29,09:40:00,1780027800,1208.6,1209.2,1207.2,1207.2,91094
2026-05-29,09:41:00,1780027860,1207,1207,1206,1206,91735
2026-05-29,09:42:00,1780027920,1206.5,1206.5,1204.6,1205.4,94967
2026-05-29,09:43:00,1780027980,1205.5,1205.9,1203.2,1203.9,96441
2026-05-29,09:44:00,1780028040,1203.4,1203.8,1202.8,1203.3,101885
2026-05-29,09:45:00,1780028100,1202.7,1202.7,1201.6,1202.5,106277
2026-05-29,09:46:00,1780028160,1202.9,1204.2,1202.9,1204.2,106801
2026-05-29,09:47:00,1780028220,1204.5,1205.3,1204.3,1204.3,111012
2026-05-29,09:48:00,1780028280,1204.9,1205.5,1204.5,1205.5,111598
2026-05-29,09:49:00,1780028340,1205,1206.5,1205,1206.5,112219
2026-05-29,09:50:00,1780028400,1207,1207.5,1206,1207.5,113602
2026-05-29,09:51:00,1780028460,1207.1,1208.1,1207.1,1207.5,114809
2026-05-29,09:52:00,1780028520,1207.4,1207.8,1207.4,1207.4,115366
2026-05-29,09:53:00,1780028580,1207.3,1207.8,1207,1207.8,116150
2026-05-29,09:54:00,1780028640,1207.1,1207.7,1207,1207.5,117887
2026-05-29,09:55:00,1780028700,1206.7,1206.7,1204.8,1204.8,119954
2026-05-29,09:56:00,1780028760,1204.3,1205,1204.3,1205,120278
2026-05-29,09:57:00,1780028820,1204.6,1205.4,1204.6,1204.8,121224
2026-05-29,09:58:00,1780028880,1204.6,1205,1204.6,1204.6,121654
2026-05-29,09:59:00,1780028940,1204.8,1205,1204.8,1205,122101
2026-05-29,10:00:00,1780029000,1205.5,1205.5,1205,1205.3,122963
2026-05-29,10:01:00,1780029060,1205,1205.6,1205,1205.2,123189
2026-05-29,10:02:00,1780029120,1204.5,1204.5,1203.2,1203.7,124009
2026-05-29,10:03:00,1780029180,1203.5,1203.7,1203.3,1203.3,124428
2026-05-29,10:04:00,1780029240,1203.4,1203.7,1203.3,1203.6,125014
2026-05-29,10:05:00,1780029300,1204.1,1204.8,1204.1,1204.8,125450
2026-05-29,10:06:00,1780029360,1204.7,1204.8,1204,1204.6,125919
2026-05-29,10:07:00,1780029420,1204,1205.5,1204,1204.7,127172
2026-05-29,10:08:00,1780029480,1204.5,1205.1,1204.2,1204.8,128579
2026-05-29,10:09:00,1780029540,1204.4,1204.8,1204.4,1204.8,129012
2026-05-29,10:10:00,1780029600,1205,1205,1204.3,1204.3,129499
2026-05-29,10:11:00,1780029660,1204.2,1205,1204.2,1205,129918
2026-05-29,10:12:00,1780029720,1204.6,1205.5,1204.6,1204.9,131100
2026-05-29,10:13:00,1780029780,1204.8,1205.2,1204.7,1204.7,132751
2026-05-29,10:14:00,1780029840,1204.8,1204.8,1204.2,1204.7,133248
2026-05-29,10:15:00,1780029900,1204.4,1204.8,1204.4,1204.7,133980
2026-05-29,10:16:00,1780029960,1204.4,1204.4,1204.1,1204.1,134681
2026-05-29,10:17:00,1780030020,1204.2,1204.2,1203.5,1203.5,135623
2026-05-29,10:18:00,1780030080,1203.3,1203.7,1203,1203.4,136567
2026-05-29,10:19:00,1780030140,1203.1,1203.4,1203.1,1203.3,136977
2026-05-29,10:20:00,1780030200,1203.1,1203.3,1203,1203.3,137168
2026-05-29,10:21:00,1780030260,1203,1203.5,1203,1203.3,138137
2026-05-29,10:22:00,1780030320,1203,1203.7,1203,1203.7,138954
2026-05-29,10:23:00,1780030380,1203.6,1204.3,1203.6,1204.3,140343
2026-05-29,10:24:00,1780030440,1204,1204.4,1203.8,1203.8,140867
2026-05-29,10:25:00,1780030500,1204.3,1204.3,1203.6,1203.8,142613
2026-05-29,10:26:00,1780030560,1203.4,1203.4,1203,1203.2,143155
2026-05-29,10:27:00,1780030620,1203.3,1203.3,1203,1203.1,143348
2026-05-29,10:28:00,1780030680,1203.3,1203.3,1203,1203,145310
2026-05-29,10:29:00,1780030740,1202.7,1203,1202.2,1202.7,146094
2026-05-29,10:30:00,1780030800,1202.8,1202.8,1202.2,1202.8,146845
2026-05-29,10:31:00,1780030860,1202.9,1202.9,1202.5,1202.9,147019
2026-05-29,10:32:00,1780030920,1202.6,1203.6,1202.6,1203.6,148081
2026-05-29,10:33:00,1780030980,1203.4,1203.9,1203,1203.7,150988
2026-05-29,10:34:00,1780031040,1203.2,1204.2,1203.2,1204.2,151462
2026-05-29,10:35:00,1780031100,1203.8,1204,1203.8,1204,151467
2026-05-29,10:36:00,1780031160,1204.3,1204.3,1203.4,1203.4,152360
2026-05-29,10:37:00,1780031220,1203.5,1204.1,1203.5,1204.1,152750
2026-05-29,10:38:00,1780031280,1203.7,1204,1203.2,1203.6,153065
2026-05-29,10:39:00,1780031340,1203.4,1203.9,1203.4,1203.9,153747
2026-05-29,10:40:00,1780031400,1203.6,1204,1203,1203,154505
2026-05-29,10:41:00,1780031460,1202.5,1203.1,1202.5,1202.5,155324
2026-05-29,10:42:00,1780031520,1202.6,1203.4,1202.6,1203,155977
2026-05-29,10:43:00,1780031580,1203.1,1203.1,1202.6,1203,156448
