Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,33880,34015,33795,33980,3492
2026-05-04,09:16:00,1777866360,34030,34100,33980,34085,5397
2026-05-04,09:17:00,1777866420,34070,34345,34070,34150,8547
2026-05-04,09:18:00,1777866480,34200,34220,34140,34220,10663
2026-05-04,09:19:00,1777866540,34230,34230,34035,34035,12379
2026-05-04,09:20:00,1777866600,34060,34065,34015,34030,14744
2026-05-04,09:21:00,1777866660,34010,34045,33970,34025,15226
2026-05-04,09:22:00,1777866720,34005,34075,34000,34025,15644
2026-05-04,09:23:00,1777866780,34020,34025,33940,33980,16740
2026-05-04,09:24:00,1777866840,33890,33890,33650,33715,20528
2026-05-04,09:25:00,1777866900,33725,33725,33540,33560,22482
2026-05-04,09:26:00,1777866960,33530,33695,33490,33660,24089
2026-05-04,09:27:00,1777867020,33655,33675,33570,33575,25555
2026-05-04,09:28:00,1777867080,33585,33620,33535,33615,26594
2026-05-04,09:29:00,1777867140,33585,33605,33555,33575,27357
2026-05-04,09:30:00,1777867200,33580,33685,33580,33625,28049
2026-05-04,09:31:00,1777867260,33645,33695,33645,33695,28897
2026-05-04,09:32:00,1777867320,33685,33710,33685,33710,29550
2026-05-04,09:33:00,1777867380,33725,33745,33635,33650,30372
2026-05-04,09:34:00,1777867440,33595,33610,33505,33505,31752
2026-05-04,09:35:00,1777867500,33530,33530,33425,33460,33298
2026-05-04,09:36:00,1777867560,33450,33460,33275,33315,34946
2026-05-04,09:37:00,1777867620,33310,33395,33310,33365,35432
2026-05-04,09:38:00,1777867680,33375,33395,33325,33395,36072
2026-05-04,09:39:00,1777867740,33400,33450,33385,33430,37123
2026-05-04,09:40:00,1777867800,33400,33440,33400,33420,37455
2026-05-04,09:41:00,1777867860,33425,33445,33365,33390,38246
2026-05-04,09:42:00,1777867920,33395,33400,33380,33400,38394
2026-05-04,09:43:00,1777867980,33410,33440,33395,33425,40533
2026-05-04,09:44:00,1777868040,33480,33480,33420,33435,41109
2026-05-04,09:45:00,1777868100,33440,33450,33430,33440,41354
2026-05-04,09:46:00,1777868160,33430,33430,33400,33420,41587
2026-05-04,09:47:00,1777868220,33405,33450,33400,33450,41896
