Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,206.24,207.03,206.06,206.72,24317
2026-05-29,09:16:00,1780026360,206.63,206.69,206.04,206.26,30242
2026-05-29,09:17:00,1780026420,206.19,206.36,206.02,206.05,43362
2026-05-29,09:18:00,1780026480,206.31,206.31,206.1,206.1,53431
2026-05-29,09:19:00,1780026540,205.76,206.32,205.75,206.32,66116
2026-05-29,09:20:00,1780026600,206.43,206.9,206.37,206.5,75860
2026-05-29,09:21:00,1780026660,206.58,206.82,206.5,206.53,79784
2026-05-29,09:22:00,1780026720,206.65,207.4,206.52,207,101328
2026-05-29,09:23:00,1780026780,207.1,207.1,206.3,206.46,103040
2026-05-29,09:24:00,1780026840,206.55,206.81,206.52,206.58,112699
2026-05-29,09:25:00,1780026900,206.57,206.65,206.42,206.63,114506
2026-05-29,09:26:00,1780026960,206.49,206.58,206.35,206.44,123654
2026-05-29,09:27:00,1780027020,206.35,206.35,206.03,206.16,140408
2026-05-29,09:28:00,1780027080,206.05,206.33,205.8,206.07,150902
2026-05-29,09:29:00,1780027140,205.8,205.95,205.61,205.7,157319
2026-05-29,09:30:00,1780027200,205.61,205.74,205.6,205.74,169735
2026-05-29,09:31:00,1780027260,205.8,205.89,205.6,205.73,173912
2026-05-29,09:32:00,1780027320,205.74,205.85,205.63,205.64,174927
2026-05-29,09:33:00,1780027380,205.7,205.71,205.55,205.63,181027
2026-05-29,09:34:00,1780027440,205.7,205.75,205.2,205.29,189673
2026-05-29,09:35:00,1780027500,205.39,206,205.26,205.88,197544
2026-05-29,09:36:00,1780027560,205.75,205.86,205.6,205.6,198809
2026-05-29,09:37:00,1780027620,205.65,205.65,205.51,205.52,201299
2026-05-29,09:38:00,1780027680,205.53,205.58,205.3,205.32,209814
2026-05-29,09:39:00,1780027740,205.42,205.6,205.35,205.6,212340
2026-05-29,09:40:00,1780027800,205.5,205.65,205.38,205.38,214817
2026-05-29,09:41:00,1780027860,205.35,205.38,205.2,205.2,219110
2026-05-29,09:42:00,1780027920,205.23,205.23,204.94,204.96,229114
2026-05-29,09:43:00,1780027980,204.91,204.96,204.72,204.72,243380
2026-05-29,09:44:00,1780028040,204.87,204.87,204.62,204.62,248050
2026-05-29,09:45:00,1780028100,204.77,204.86,204.39,204.86,259127
2026-05-29,09:46:00,1780028160,204.96,205.03,204.86,204.9,264387
2026-05-29,09:47:00,1780028220,204.99,205.05,204.9,204.91,265289
2026-05-29,09:48:00,1780028280,204.9,205.25,204.9,205.21,271460
2026-05-29,09:49:00,1780028340,205.11,205.15,204.82,205,274545
