Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,57.0,57.5,51.0,56.1,16766498.0
2018-08-01,00:00:00,1533061800.0,56.1,58.8,54.05,55.3,15578227.0
2018-09-03,00:00:00,1535913000.0,56.0,63.0,45.5,46.15,36300773.0
2018-10-01,00:00:00,1538332200.0,46.15,46.55,40.05,43.5,21032663.0
2018-11-01,00:00:00,1541010600.0,43.8,46.7,42.4,43.0,14610854.0
2018-12-03,00:00:00,1543775400.0,43.0,45.35,40.0,42.95,12609221.0
2019-01-01,00:00:00,1546281000.0,43.0,47.5,40.6,41.9,25764635.0
2019-02-01,00:00:00,1548959400.0,42.7,43.5,37.5,40.4,15177501.0
2019-03-01,00:00:00,1551378600.0,40.7,47.8,40.6,44.9,24613953.0
2019-04-01,00:00:00,1554057000.0,45.3,46.75,41.2,41.4,11342856.0
2019-05-02,00:00:00,1556735400.0,41.6,46.5,37.5,42.8,21053586.0
2019-06-03,00:00:00,1559500200.0,42.95,43.9,38.0,40.15,12168040.0
2019-07-01,00:00:00,1561919400.0,40.2,43.3,33.1,34.05,17575381.0
2019-08-01,00:00:00,1564597800.0,33.85,39.0,29.8,36.35,24510641.0
2019-09-03,00:00:00,1567449000.0,35.35,39.9,33.9,34.9,19732753.0
2019-10-01,00:00:00,1569868200.0,34.75,43.6,32.1,41.15,24142064.0
2019-11-01,00:00:00,1572546600.0,41.15,45.8,39.5,41.7,39761023.0
2019-12-02,00:00:00,1575225000.0,41.8,41.8,34.9,36.05,18478551.0
2020-01-01,00:00:00,1577817000.0,36.25,45.2,36.15,41.3,44199025.0
2020-02-03,00:00:00,1580668200.0,38.95,40.4,29.5,29.75,19199584.0
2020-03-02,00:00:00,1583087400.0,30.9,31.85,18.0,20.0,27395282.0
2020-04-01,00:00:00,1585679400.0,19.85,25.7,18.75,25.35,34982200.0
2020-05-04,00:00:00,1588530600.0,24.5,25.6,20.65,22.95,28856847.0
2020-06-01,00:00:00,1590949800.0,23.3,36.6,23.05,34.75,93404875.0
2020-07-01,00:00:00,1593541800.0,34.9,38.9,32.7,33.7,72031188.0
2020-08-03,00:00:00,1596393000.0,33.65,39.55,33.4,35.15,36626836.0
2020-09-01,00:00:00,1598898600.0,35.15,38.4,29.85,32.4,28901131.0
2020-10-01,00:00:00,1601490600.0,32.7,34.35,31.0,31.65,13644913.0
2020-11-02,00:00:00,1604255400.0,31.7,35.95,30.5,35.3,24973605.0
2020-12-01,00:00:00,1606761000.0,35.55,42.4,35.2,39.7,68677718.0
2021-01-01,00:00:00,1609439400.0,39.9,51.2,39.7,42.8,107571249.0
2021-02-01,00:00:00,1612117800.0,43.5,51.6,42.3,49.0,86124373.0
2021-03-01,00:00:00,1614537000.0,49.65,54.9,43.5,43.85,90521691.0
2021-04-01,00:00:00,1617215400.0,44.1,46.85,39.5,41.7,37397550.0
2021-05-03,00:00:00,1619980200.0,40.9,51.2,40.9,49.35,68345687.0
2021-06-01,00:00:00,1622485800.0,49.8,58.25,48.05,53.05,171447800.0
2021-07-01,00:00:00,1625077800.0,53.5,55.2,44.8,45.25,79601983.0
2021-08-02,00:00:00,1627842600.0,45.4,45.8,39.4,43.05,46873087.0
2021-09-01,00:00:00,1630434600.0,43.3,47.2,42.1,45.05,52981359.0
2021-10-01,00:00:00,1633026600.0,44.6,46.75,42.5,42.85,64187873.0
2021-11-01,00:00:00,1635705000.0,42.85,45.7,38.55,39.1,28605896.0
2021-12-01,00:00:00,1638297000.0,39.65,41.95,37.85,38.9,27371329.0
2022-01-03,00:00:00,1641148200.0,39.15,44.1,38.75,41.0,45317156.0
2022-02-01,00:00:00,1643653800.0,41.35,42.2,30.6,33.75,31387819.0
2022-03-02,00:00:00,1646159400.0,33.7,35.8,32.55,32.75,28249899.0
2022-04-01,00:00:00,1648751400.0,32.9,38.8,32.7,35.25,36796180.0
2022-05-02,00:00:00,1651429800.0,35.0,36.35,30.6,35.95,29814708.0
2022-06-01,00:00:00,1654021800.0,36.5,36.85,32.25,34.8,18394989.0
2022-07-01,00:00:00,1656613800.0,34.8,37.1,34.55,36.7,12449754.0
2022-08-01,00:00:00,1659292200.0,36.9,40.85,36.5,40.55,32185311.0
2022-09-01,00:00:00,1661970600.0,40.6,43.05,34.35,35.25,42508903.0
2022-10-03,00:00:00,1664735400.0,35.5,37.3,34.8,36.3,26136414.0
2022-11-01,00:00:00,1667241000.0,36.5,55.2,36.35,53.3,432375217.0
2022-12-01,00:00:00,1669833000.0,53.65,58.85,45.3,52.1,352767005.0
2023-01-02,00:00:00,1672597800.0,52.0,54.85,44.7,48.5,96431303.0
2023-02-01,00:00:00,1675189800.0,48.9,49.65,42.65,43.5,57984976.0
2023-03-01,00:00:00,1677609000.0,43.75,49.8,40.4,43.25,58499136.0
2023-04-03,00:00:00,1680460200.0,43.45,49.7,43.45,49.15,52922220.0
2023-05-02,00:00:00,1682965800.0,49.5,60.35,49.3,57.15,285444703.0
2023-06-01,00:00:00,1685557800.0,57.5,62.8,56.9,57.05,201065589.0
2023-07-03,00:00:00,1688322600.0,57.4,65.55,57.15,64.2,160615304.0
2023-08-01,00:00:00,1690828200.0,64.7,77.2,60.75,74.9,322170280.0
2023-09-01,00:00:00,1693506600.0,74.75,93.8,67.65,91.8,477505757.0
2023-10-03,00:00:00,1696271400.0,91.5,95.9,70.5,75.25,395525370.0
2023-11-01,00:00:00,1698777000.0,75.35,87.3,74.05,85.75,222871677.0
2023-12-01,00:00:00,1701369000.0,86.7,136.8,85.3,125.95,978523656.0
2024-01-01,00:00:00,1704047400.0,126.0,178.3,122.7,172.35,787122344.0
2024-02-01,00:00:00,1706725800.0,173.55,226.45,164.55,191.15,725227237.0
2024-03-01,00:00:00,1709231400.0,192.9,205.6,152.55,187.25,247585809.0
2024-04-01,00:00:00,1711909800.0,188.05,242.7,188.05,224.5,379651392.0
2024-05-02,00:00:00,1714588200.0,225.75,277.9,203.45,273.8,478162377.0
2024-06-03,00:00:00,1717353000.0,299.5,300.0,203.3,281.2,453584132.0
2024-07-01,00:00:00,1719772200.0,281.35,353.7,271.15,312.25,711249454.0
2024-08-01,00:00:00,1722450600.0,315.0,316.1,277.0,280.65,256360970.0
2024-09-02,00:00:00,1725215400.0,279.95,281.8,228.05,241.8,190398748.0
2024-10-01,00:00:00,1727721000.0,240.71,241.38,192.11,217.23,116847623.0
2024-11-01,00:00:00,1730399400.0,218.38,242.5,198.01,238.61,113175882.0
2024-12-02,00:00:00,1733077800.0,240.0,262.7,224.5,234.71,143118847.0
2025-01-01,00:00:00,1735669800.0,234.8,254.29,200.85,229.7,207694063.0
2025-02-01,00:00:00,1738348200.0,232.0,240.8,163.7,165.14,214427544.0
2025-03-03,00:00:00,1740940200.0,164.99,212.4,158.85,199.45,156429755.0
2025-04-01,00:00:00,1743445800.0,198.0,243.46,184.0,223.46,157732889.0
2025-05-02,00:00:00,1746124200.0,223.0,246.2,204.52,241.24,191559244.0
2025-06-02,00:00:00,1748802600.0,241.24,253.73,216.3,237.56,154179217.0
2025-07-01,00:00:00,1751308200.0,241.0,242.56,211.0,212.27,73961513.0
2025-08-01,00:00:00,1753986600.0,211.42,219.9,202.56,204.49,61879474.0
2025-09-01,00:00:00,1756665000.0,205.0,240.6,204.45,223.63,85798468.0
2025-10-01,00:00:00,1759257000.0,225.0,241.95,223.38,237.0,85669747.0
2025-11-03,00:00:00,1762108200.0,236.9,246.85,222.21,239.28,96534859.0
2025-12-01,00:00:00,1764527400.0,239.86,240.9,204.05,228.13,77812428.0
2026-01-01,00:00:00,1767205800.0,229.75,232.34,188.63,191.65,85023420.0
2026-02-01,00:00:00,1769884200.0,193.4,202.94,178.0,186.75,116178551.0
2026-03-02,00:00:00,1772389800.0,175.0,184.36,159.0,159.58,76464912.0
2026-04-01,00:00:00,1774981800.0,166.5,224.24,161.0,220.87,123666179.0
2026-05-04,00:00:00,1777833000.0,221.58,235.5,197.11,203.51,81751578.0
