Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,378.0,423.25,347.25,418.55,45404338.0
2018-08-01,00:00:00,1533061800.0,417.0,428.0,372.7,375.35,20011181.0
2018-09-03,00:00:00,1535913000.0,375.5,385.85,325.65,333.75,30201544.0
2018-10-01,00:00:00,1538332200.0,331.0,341.9,309.5,332.75,27825908.0
2018-11-01,00:00:00,1541010600.0,334.0,363.9,315.1,325.25,27053261.0
2018-12-03,00:00:00,1543775400.0,327.25,332.35,301.2,324.5,20378747.0
2019-01-01,00:00:00,1546281000.0,324.5,359.65,283.4,285.85,54704565.0
2019-02-01,00:00:00,1548959400.0,288.0,328.3,277.35,319.6,28113788.0
2019-03-01,00:00:00,1551378600.0,320.25,355.55,312.15,350.25,90693043.0
2019-04-01,00:00:00,1554057000.0,350.25,380.25,346.75,369.3,40218174.0
2019-05-02,00:00:00,1556735400.0,369.0,396.5,322.65,387.75,40541809.0
2019-06-03,00:00:00,1559500200.0,395.0,403.65,351.3,388.65,32288977.0
2019-07-01,00:00:00,1561919400.0,391.0,408.35,368.1,401.75,50216687.0
2019-08-01,00:00:00,1564597800.0,402.0,427.3,365.9,424.6,52432749.0
2019-09-03,00:00:00,1567449000.0,421.95,471.7,411.05,463.5,57041208.0
2019-10-01,00:00:00,1569868200.0,466.6,516.65,435.7,510.45,45386620.0
2019-11-01,00:00:00,1572546600.0,512.9,537.3,487.5,502.45,86579942.0
2019-12-02,00:00:00,1575225000.0,499.0,507.3,480.8,482.45,37774028.0
2020-01-01,00:00:00,1577817000.0,482.5,533.9,471.0,510.95,45135256.0
2020-02-03,00:00:00,1580668200.0,451.0,505.15,437.0,471.4,44180712.0
2020-03-02,00:00:00,1583087400.0,476.0,484.55,226.1,355.7,70131435.0
2020-04-01,00:00:00,1585679400.0,351.0,416.1,317.0,411.95,81192545.0
2020-05-04,00:00:00,1588530600.0,391.25,413.0,336.7,393.1,59278170.0
2020-06-01,00:00:00,1590949800.0,396.0,441.45,379.05,425.8,71574532.0
2020-07-01,00:00:00,1593541800.0,426.0,463.9,415.8,452.25,59848433.0
2020-08-03,00:00:00,1596393000.0,450.0,487.0,418.6,422.65,41081556.0
2020-09-01,00:00:00,1598898600.0,423.0,452.7,397.55,420.9,43592918.0
2020-10-01,00:00:00,1601490600.0,422.7,442.55,398.2,403.35,39346509.0
2020-11-02,00:00:00,1604255400.0,406.9,460.45,399.35,441.7,42446255.0
2020-12-01,00:00:00,1606761000.0,449.0,508.0,442.75,498.85,48612489.0
2021-01-01,00:00:00,1609439400.0,501.0,537.9,477.7,481.0,43875126.0
2021-02-01,00:00:00,1612117800.0,482.35,510.45,457.85,461.55,68344920.0
2021-03-01,00:00:00,1614537000.0,464.05,501.0,418.5,445.6,64923320.0
2021-04-01,00:00:00,1617215400.0,447.45,547.0,431.3,521.95,84927165.0
2021-05-03,00:00:00,1619980200.0,521.95,577.85,520.1,554.25,61623366.0
2021-06-01,00:00:00,1622485800.0,554.5,625.6,550.2,612.7,41736559.0
2021-07-01,00:00:00,1625077800.0,612.5,661.0,601.6,632.95,32036713.0
2021-08-02,00:00:00,1627842600.0,640.8,694.5,631.0,659.1,41936866.0
2021-09-01,00:00:00,1630434600.0,659.1,724.3,651.0,671.85,38964573.0
2021-10-01,00:00:00,1633026600.0,673.75,692.55,609.5,618.4,26451164.0
2021-11-01,00:00:00,1635705000.0,622.0,679.95,567.8,593.05,26198062.0
2021-12-01,00:00:00,1638297000.0,594.05,612.55,533.65,560.8,22135266.0
2022-01-03,00:00:00,1641148200.0,560.8,648.85,537.0,560.45,26672564.0
2022-02-01,00:00:00,1643653800.0,563.1,569.9,461.75,479.15,39281987.0
2022-03-02,00:00:00,1646159400.0,468.35,505.5,430.0,500.9,34828589.0
