Date,Time,Timestamp,Open,High,Low,Close,Volume
2024-06-03,00:00:00,1717353000.0,93.0,93.7,76.2,85.55,95380905.0
2024-06-10,00:00:00,1717957800.0,90.0,90.0,85.87,86.58,47377449.0
2024-06-18,00:00:00,1718649000.0,86.65,88.5,85.23,85.74,28250014.0
2024-06-24,00:00:00,1719167400.0,85.2,86.59,83.0,83.97,23989382.0
2024-07-01,00:00:00,1719772200.0,84.0,85.0,83.31,84.82,18419953.0
2024-07-08,00:00:00,1720377000.0,85.0,88.1,84.01,86.01,38564917.0
2024-07-15,00:00:00,1720981800.0,87.51,94.9,86.44,88.86,170262550.0
2024-07-22,00:00:00,1721586600.0,88.98,106.6,83.46,104.22,424776563.0
2024-07-29,00:00:00,1722191400.0,105.0,107.9,97.47,100.75,170827213.0
2024-08-05,00:00:00,1722796200.0,98.0,98.89,91.1,98.17,110416800.0
2024-08-12,00:00:00,1723401000.0,97.75,98.98,92.15,94.3,38314868.0
2024-08-19,00:00:00,1724005800.0,94.9,101.75,94.8,98.62,71027815.0
2024-08-26,00:00:00,1724610600.0,99.1,99.2,94.15,94.75,30294957.0
2024-09-02,00:00:00,1725215400.0,95.0,95.62,87.36,88.33,32937342.0
2024-09-09,00:00:00,1725820200.0,88.4,95.99,85.86,94.92,101174174.0
2024-09-16,00:00:00,1726425000.0,94.92,95.0,86.8,89.15,45175826.0
2024-09-23,00:00:00,1727029800.0,90.3,92.59,87.31,88.64,29064795.0
2024-09-30,00:00:00,1727634600.0,88.64,88.64,82.5,83.81,22349712.0
2024-10-07,00:00:00,1728239400.0,85.06,85.33,79.05,83.28,35059639.0
2024-10-14,00:00:00,1728844200.0,83.75,83.96,80.4,83.36,19902230.0
2024-10-21,00:00:00,1729449000.0,83.65,84.17,75.3,82.66,66534729.0
2024-10-28,00:00:00,1730053800.0,83.0,84.82,80.93,84.33,33679354.0
2024-11-04,00:00:00,1730658600.0,83.33,87.45,80.97,82.34,35083011.0
2024-11-11,00:00:00,1731263400.0,81.97,83.19,76.51,77.06,19473411.0
2024-11-18,00:00:00,1731868200.0,77.96,80.5,74.9,76.78,22367690.0
2024-11-25,00:00:00,1732473000.0,80.0,84.35,78.91,81.99,36316454.0
2024-12-02,00:00:00,1733077800.0,81.99,87.68,81.0,85.12,44268369.0
2024-12-09,00:00:00,1733682600.0,85.1,86.28,79.8,81.44,25743709.0
2024-12-16,00:00:00,1734287400.0,82.02,82.76,75.8,76.03,21959726.0
2024-12-23,00:00:00,1734892200.0,76.8,79.07,75.27,76.49,17021009.0
2024-12-30,00:00:00,1735497000.0,76.49,78.58,75.39,77.52,19012844.0
2025-01-06,00:00:00,1736101800.0,78.0,78.1,68.85,69.43,26909462.0
2025-01-13,00:00:00,1736706600.0,68.65,85.0,65.89,84.01,132088247.0
2025-01-20,00:00:00,1737311400.0,84.14,87.48,76.3,76.79,59882097.0
2025-01-27,00:00:00,1737916200.0,76.76,82.35,73.66,79.26,42636758.0
2025-02-03,00:00:00,1738521000.0,78.68,83.38,77.51,79.54,20692153.0
2025-02-10,00:00:00,1739125800.0,79.2,79.65,71.36,72.12,21050919.0
2025-02-17,00:00:00,1739730600.0,71.6,76.14,70.01,73.09,19946809.0
2025-02-24,00:00:00,1740335400.0,72.5,73.8,68.7,69.24,12792334.0
2025-03-03,00:00:00,1740940200.0,69.74,73.4,66.5,72.79,27244966.0
2025-03-10,00:00:00,1741545000.0,72.74,75.19,70.89,72.1,25851115.0
2025-03-17,00:00:00,1742149800.0,72.49,81.79,72.06,81.37,34294297.0
2025-03-24,00:00:00,1742754600.0,82.0,82.12,76.8,77.7,33290766.0
2025-04-01,00:00:00,1743445800.0,78.0,81.27,76.49,78.39,23005055.0
2025-04-07,00:00:00,1743964200.0,74.25,80.68,72.0,79.49,34296020.0
2025-04-15,00:00:00,1744655400.0,80.0,83.18,79.55,82.1,20275411.0
2025-04-21,00:00:00,1745173800.0,82.4,88.12,80.05,80.43,38564641.0
2025-04-28,00:00:00,1745778600.0,81.0,84.49,79.25,79.87,32877787.0
2025-05-05,00:00:00,1746383400.0,80.05,81.94,75.0,76.3,22578162.0
2025-05-12,00:00:00,1746988200.0,80.95,87.7,79.61,86.0,41533761.0
2025-05-19,00:00:00,1747593000.0,86.05,96.5,85.73,93.94,108952090.0
2025-05-26,00:00:00,1748197800.0,94.25,98.7,90.51,96.81,78229086.0
2025-06-02,00:00:00,1748802600.0,96.9,104.4,95.87,100.93,109703544.0
2025-06-09,00:00:00,1749407400.0,101.05,103.0,94.19,94.82,59831983.0
2025-06-16,00:00:00,1750012200.0,94.82,96.26,88.98,91.0,39881675.0
2025-06-23,00:00:00,1750617000.0,90.0,101.85,89.9,101.32,81276449.0
2025-06-30,00:00:00,1751221800.0,102.05,106.32,100.7,101.12,90484774.0
2025-07-07,00:00:00,1751826600.0,101.24,102.79,98.58,99.0,43746589.0
2025-07-14,00:00:00,1752431400.0,99.1,102.14,98.0,98.57,35657208.0
2025-07-21,00:00:00,1753036200.0,98.75,98.89,92.77,93.23,33681692.0
2025-07-28,00:00:00,1753641000.0,93.24,95.1,89.5,90.19,21799477.0
2025-08-04,00:00:00,1754245800.0,90.98,92.15,86.81,90.29,21778337.0
2025-08-11,00:00:00,1754850600.0,90.4,90.96,87.08,87.35,14729975.0
2025-08-18,00:00:00,1755455400.0,88.3,99.0,87.55,95.0,72754598.0
2025-08-25,00:00:00,1756060200.0,96.5,97.22,84.11,85.67,38767867.0
2025-09-01,00:00:00,1756665000.0,86.1,91.5,86.09,88.87,29810430.0
2025-09-08,00:00:00,1757269800.0,89.8,96.2,89.61,93.01,58213961.0
2025-09-15,00:00:00,1757874600.0,93.34,94.86,91.81,93.76,30732447.0
2025-09-22,00:00:00,1758479400.0,93.75,94.96,88.93,89.57,26577070.0
2025-09-29,00:00:00,1759084200.0,89.2,93.54,88.57,92.6,25979576.0
2025-10-06,00:00:00,1759689000.0,93.2,94.65,90.86,93.46,22749490.0
2025-10-13,00:00:00,1760293800.0,93.62,94.85,91.2,91.72,25109536.0
2025-10-20,00:00:00,1760898600.0,93.4,97.9,91.43,93.93,51097525.0
2025-10-27,00:00:00,1761503400.0,94.4,106.97,94.08,103.8,223649169.0
2025-11-03,00:00:00,1762108200.0,104.2,104.49,95.83,100.42,53792888.0
2025-11-10,00:00:00,1762713000.0,100.85,102.11,97.58,101.04,50260943.0
2025-11-17,00:00:00,1763317800.0,101.5,105.94,100.0,100.24,94149183.0
2025-11-24,00:00:00,1763922600.0,100.5,103.57,98.7,100.38,42304650.0
2025-12-01,00:00:00,1764527400.0,100.8,102.24,96.89,97.4,36388238.0
2025-12-08,00:00:00,1765132200.0,97.44,100.2,92.52,99.78,45284675.0
2025-12-15,00:00:00,1765737000.0,99.3,99.78,96.3,98.13,25323410.0
2025-12-22,00:00:00,1766341800.0,98.54,103.0,98.27,101.37,35949785.0
2025-12-29,00:00:00,1766946600.0,101.64,115.7,100.81,114.73,174725071.0
2026-01-05,00:00:00,1767551400.0,115.46,118.38,102.92,103.43,108472622.0
2026-01-12,00:00:00,1768156200.0,103.29,106.9,101.05,104.55,48267575.0
2026-01-19,00:00:00,1768761000.0,101.15,102.05,94.15,97.42,86042094.0
2026-01-27,00:00:00,1769452200.0,97.79,103.89,95.53,98.36,48569035.0
2026-02-02,00:00:00,1769970600.0,99.99,113.5,96.7,106.86,169850607.0
2026-02-09,00:00:00,1770575400.0,108.76,112.75,102.91,110.75,142615186.0
2026-02-16,00:00:00,1771180200.0,110.5,116.4,108.91,112.83,90941010.0
2026-02-23,00:00:00,1771785000.0,113.85,117.55,112.01,116.01,96554631.0
2026-03-02,00:00:00,1772389800.0,112.6,116.1,108.26,108.89,68582504.0
2026-03-09,00:00:00,1772994600.0,104.2,105.95,91.56,92.18,106405667.0
2026-03-16,00:00:00,1773599400.0,82.12,82.84,69.9,73.07,275784175.0
2026-03-23,00:00:00,1774204200.0,71.3,71.3,63.7,64.01,107685699.0
2026-03-30,00:00:00,1774809000.0,62.97,69.99,61.01,69.55,64228481.0
2026-04-06,00:00:00,1775413800.0,69.39,76.21,67.51,74.01,102260560.0
2026-04-13,00:00:00,1776018600.0,72.0,75.75,70.9,75.06,40707535.0
2026-04-20,00:00:00,1776623400.0,75.06,79.9,72.33,76.17,88333054.0
2026-04-27,00:00:00,1777228200.0,77.0,79.06,75.41,75.88,44688375.0
2026-05-04,00:00:00,1777833000.0,76.1,77.25,73.76,74.72,27629109.0
2026-05-11,00:00:00,1778437800.0,73.73,74.0,70.2,70.38,22922630.0
2026-05-18,00:00:00,1779042600.0,70.25,75.1,68.2,72.65,46734585.0
2026-05-25,00:00:00,1779647400.0,72.95,76.19,72.55,73.83,27101163.0
