Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,1439.8,1454.7,1415.3,1443.8,148078
2025-12-04,00:00:00,1764786600,1435,1470.1,1433,1454.6,825619
2025-12-05,00:00:00,1764873000,1449.9,1463.5,1416,1459.1,237723
2025-12-08,00:00:00,1765132200,1457,1460,1426,1447.7,152080
2025-12-09,00:00:00,1765218600,1430,1469.9,1395,1451,196937
2025-12-10,00:00:00,1765305000,1450.1,1484.8,1428.7,1466,213881
2025-12-11,00:00:00,1765391400,1470,1481,1430,1471.9,219440
2025-12-12,00:00:00,1765477800,1478.3,1487.9,1458.9,1465.9,98690
2025-12-15,00:00:00,1765737000,1460.3,1464.7,1435,1440.2,81169
2025-12-16,00:00:00,1765823400,1440,1453.9,1425,1431.1,109669
2025-12-17,00:00:00,1765909800,1427,1438,1384.4,1395.3,145513
2025-12-18,00:00:00,1765996200,1399.1,1430,1377.7,1405.7,95493
2025-12-19,00:00:00,1766082600,1418.3,1435,1393.1,1424.8,169772
2025-12-22,00:00:00,1766341800,1427.9,1449.8,1421.1,1427.9,80833
2025-12-23,00:00:00,1766428200,1429.8,1446.8,1418,1435.2,79812
2025-12-24,00:00:00,1766514600,1422.5,1434.5,1411.1,1414.7,49771
2025-12-26,00:00:00,1766687400,1420.4,1446,1398.1,1439.8,99953
2025-12-29,00:00:00,1766946600,1432.6,1449.2,1404,1434.6,146230
2025-12-30,00:00:00,1767033000,1440,1453.2,1361.7,1386.2,595590
2025-12-31,00:00:00,1767119400,1386.1,1452.6,1386,1418.9,337075
2026-01-01,00:00:00,1767205800,1420,1436.6,1391.1,1398.2,104562
2026-01-02,00:00:00,1767292200,1403.9,1415,1393.1,1404,70796
2026-01-05,00:00:00,1767551400,1407,1418,1394,1413,118954
2026-01-06,00:00:00,1767637800,1419.5,1475,1406.4,1469.6,647078
2026-01-07,00:00:00,1767724200,1475.5,1521.5,1446.1,1514.2,425525
2026-01-08,00:00:00,1767810600,1523.5,1550,1501,1544,407694
2026-01-09,00:00:00,1767897000,1545,1582.6,1521.3,1575,726762
