Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,301.4,303.7,301.4,302.95,14005
2026-05-04,09:16:00,1777866360,302,302.5,301.25,301.85,24931
2026-05-04,09:17:00,1777866420,301.6,302.25,301.45,301.75,34602
2026-05-04,09:18:00,1777866480,301.7,301.7,300,300.25,40304
2026-05-04,09:19:00,1777866540,299.8,300.35,299.2,300.35,44149
2026-05-04,09:20:00,1777866600,299.95,300.3,299.75,300.3,53666
2026-05-04,09:21:00,1777866660,300.05,300.65,299.85,300.45,67055
2026-05-04,09:22:00,1777866720,300.05,301,300.05,300.95,69646
2026-05-04,09:23:00,1777866780,300.5,301.4,300.5,300.6,75642
2026-05-04,09:24:00,1777866840,300.5,300.9,300.1,300.5,77935
2026-05-04,09:25:00,1777866900,300.8,301.5,300.55,301.1,83114
2026-05-04,09:26:00,1777866960,301.25,301.55,301,301,83210
2026-05-04,09:27:00,1777867020,301.25,301.55,301.05,301.2,86023
2026-05-04,09:28:00,1777867080,301.05,302.15,301.05,302.05,95833
2026-05-04,09:29:00,1777867140,301.7,302,301.5,301.95,100968
2026-05-04,09:30:00,1777867200,302.05,302.8,302.05,302.8,107797
2026-05-04,09:31:00,1777867260,302.85,302.85,302.05,302.55,112181
2026-05-04,09:32:00,1777867320,302.45,302.45,301.55,301.55,116897
2026-05-04,09:33:00,1777867380,301.5,301.5,301.2,301.2,117913
2026-05-04,09:34:00,1777867440,301.1,301.45,301.1,301.45,123535
2026-05-04,09:35:00,1777867500,301.5,301.55,301.25,301.25,124577
2026-05-04,09:36:00,1777867560,301.05,301.55,301.05,301.1,126348
2026-05-04,09:37:00,1777867620,301.3,301.7,301.2,301.6,128075
2026-05-04,09:38:00,1777867680,301.35,301.7,301.25,301.35,131747
2026-05-04,09:39:00,1777867740,301.45,301.55,301.15,301.15,134174
2026-05-04,09:40:00,1777867800,301.4,301.4,300.5,300.5,138280
2026-05-04,09:41:00,1777867860,300.55,300.75,300.55,300.6,139116
2026-05-04,09:42:00,1777867920,300.9,300.9,300.9,300.9,140329
2026-05-04,09:43:00,1777867980,300.6,300.85,300.55,300.55,143170
