Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,309,309.6,304.65,305.95,409365
2025-12-03,00:00:00,1764700200,307.8,308.8,303,305.05,363876
2025-12-04,00:00:00,1764786600,305.2,307.25,302.2,303,289139
2025-12-05,00:00:00,1764873000,303.95,305.2,298.2,301.6,328884
2025-12-08,00:00:00,1765132200,304.5,317.55,301.75,306,3210923
2025-12-09,00:00:00,1765218600,304.5,306,296,304.8,800474
2025-12-10,00:00:00,1765305000,307.9,311.2,300.3,301.35,501778
2025-12-11,00:00:00,1765391400,303,303.75,299.5,302.55,290040
2025-12-12,00:00:00,1765477800,303.95,306.7,302.5,305.1,359037
2025-12-15,00:00:00,1765737000,306.95,306.95,302.4,303.6,216061
2025-12-16,00:00:00,1765823400,304.2,304.4,300.5,301.85,256384
2025-12-17,00:00:00,1765909800,301.95,303.95,298.15,299.5,260950
2025-12-18,00:00:00,1765996200,299.4,299.7,293.4,294.25,242009
2025-12-19,00:00:00,1766082600,312.95,331.75,308.2,313.8,32273744
2025-12-22,00:00:00,1766341800,313.9,317.5,308.35,312.6,1593951
2025-12-23,00:00:00,1766428200,313,313.9,308.4,310.35,520665
2025-12-24,00:00:00,1766514600,311.7,317.55,310.1,313.1,1354456
2025-12-26,00:00:00,1766687400,314.2,328,310.25,313.95,2700046
2025-12-29,00:00:00,1766946600,314.35,314.35,306.05,312.55,796799
2025-12-30,00:00:00,1767033000,313.35,315,307.2,310.25,509591
2025-12-31,00:00:00,1767119400,311.75,316.95,308.15,309.85,582173
2026-01-01,00:00:00,1767205800,312.4,314.85,310.1,310.85,419012
2026-01-02,00:00:00,1767292200,311.95,314.4,310.35,312.05,422132
2026-01-05,00:00:00,1767551400,313,321.45,311.3,312.25,530592
2026-01-06,00:00:00,1767637800,313.45,314.25,308.15,309.45,305608
2026-01-07,00:00:00,1767724200,310,310.95,307.2,310.1,278370
2026-01-08,00:00:00,1767810600,310.1,311.35,301.1,303.6,338433
2026-01-09,00:00:00,1767897000,303,304.35,296.5,298.55,419831
2026-01-12,00:00:00,1768156200,300.5,300.5,289.3,296.1,531006
2026-01-13,00:00:00,1768242600,298.8,317.85,298.35,305,15723808
2026-01-14,00:00:00,1768329000,305,305,300.1,301.05,640265
2026-01-16,00:00:00,1768501800,302.35,304.9,300.5,301.95,507557
2026-01-19,00:00:00,1768761000,299.1,300,296.2,297.6,286699
2026-01-20,00:00:00,1768847400,297,300.7,289,290.55,617105
2026-01-21,00:00:00,1768933800,290.55,291.75,281.25,286.6,605205
2026-01-22,00:00:00,1769020200,291.9,293.8,288,290.7,340402
2026-01-23,00:00:00,1769106600,292,292,277,279.65,302733
2026-01-27,00:00:00,1769452200,280,283.5,271,279.05,470325
2026-01-28,00:00:00,1769538600,282,302,281.8,292.9,2246016
2026-01-29,00:00:00,1769625000,295,296,286.05,291.35,541792
2026-01-30,00:00:00,1769711400,288.5,295.8,285.7,288.95,567610
2026-02-01,00:00:00,1769884200,290.7,298.85,281.3,282.8,656217
2026-02-02,00:00:00,1769970600,284.5,287.9,276.5,283.45,406319
2026-02-03,00:00:00,1770057000,295,295.95,285.9,289.3,317971
2026-02-04,00:00:00,1770143400,289.5,292,287,290.75,288425
2026-02-05,00:00:00,1770229800,290.8,300.8,288.8,293.35,940925
2026-02-06,00:00:00,1770316200,291.9,291.9,287.6,289.9,281882
2026-02-09,00:00:00,1770575400,290.25,295.35,290.25,294,447703
2026-02-10,00:00:00,1770661800,296,305.6,294.5,296,737642
2026-02-11,00:00:00,1770748200,297.8,298,291.4,293.5,231689
2026-02-12,00:00:00,1770834600,293,296.55,288.75,293.6,360751
2026-02-13,00:00:00,1770921000,291.95,291.95,285.8,289.1,243309
2026-02-16,00:00:00,1771180200,289.8,289.8,281.55,282.75,352116
2026-02-17,00:00:00,1771266600,283.5,287,282.85,283.85,188239
2026-02-18,00:00:00,1771353000,286.9,289.9,284.9,285.8,223911
2026-02-19,00:00:00,1771439400,288,288,280,281.75,180101
2026-02-20,00:00:00,1771525800,283,283.35,278.5,280.6,185673
2026-02-23,00:00:00,1771785000,280.9,282.75,276.5,278.45,155455
2026-02-24,00:00:00,1771871400,276,278.35,272.15,273.5,191152
2026-02-25,00:00:00,1771957800,274.9,278.2,270,270.8,203931
2026-02-26,00:00:00,1772044200,272,277.6,272,273.6,245016
2026-02-27,00:00:00,1772130600,273,274.65,268,270.3,114609
2026-03-02,00:00:00,1772389800,251.1,267,251.1,260.5,379240
2026-03-04,00:00:00,1772562600,255.3,257.05,250.55,253.3,278853
2026-03-05,00:00:00,1772649000,255,262.55,252.5,256.7,377816
2026-03-06,00:00:00,1772735400,258.05,268.2,256.1,259.15,441526
2026-03-09,00:00:00,1772994600,253,253.9,246.1,250.8,245110
2026-03-10,00:00:00,1773081000,254,257.7,251.25,256.8,198775
2026-03-11,00:00:00,1773167400,256.8,263.9,252.1,253.4,249594
2026-03-12,00:00:00,1773253800,253.35,262.6,246.35,258.95,428538
2026-03-13,00:00:00,1773340200,261,261,240.45,242.3,488634
2026-03-16,00:00:00,1773599400,243.05,289.8,240,277.15,87087971
2026-03-17,00:00:00,1773685800,293.15,297.7,270,275.25,40480691
2026-03-18,00:00:00,1773772200,275,276.55,261.35,264.4,7475145
2026-03-19,00:00:00,1773858600,261.6,285.7,257.5,274.55,30474771
2026-03-20,00:00:00,1773945000,272.55,274.4,267.1,270.6,2147397
