Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,684,685.5,679,679.95,606817
2025-12-03,00:00:00,1764700200,678.1,682.6,671.2,674.5,750515
2025-12-04,00:00:00,1764786600,674,680.7,670.5,673.85,1352801
2025-12-05,00:00:00,1764873000,675,677,670.45,675.2,755102
2025-12-08,00:00:00,1765132200,675.2,678.5,660,661.3,978991
2025-12-09,00:00:00,1765218600,661.3,671.5,658.3,669.95,711148
2025-12-10,00:00:00,1765305000,670,674,665.7,667.85,511568
2025-12-11,00:00:00,1765391400,667.85,671.75,665.2,669.85,533337
2025-12-12,00:00:00,1765477800,671.1,675.4,669.05,674.25,390768
2025-12-15,00:00:00,1765737000,673,673.95,670.5,672.5,286537
2025-12-16,00:00:00,1765823400,672.5,672.95,668.5,671.05,255392
2025-12-17,00:00:00,1765909800,669.95,672.45,664.2,666.1,386764
2025-12-18,00:00:00,1765996200,666,668.15,661.65,663.85,291111
2025-12-19,00:00:00,1766082600,667,675.75,666,674,678900
2025-12-22,00:00:00,1766341800,679.95,683.4,676.3,681.65,1058473
2025-12-23,00:00:00,1766428200,686.55,688.7,678.2,680.85,1897510
2025-12-24,00:00:00,1766514600,680.85,684.8,678.5,679.65,1143972
2025-12-26,00:00:00,1766687400,679.65,712.55,678.8,705.5,7180874
2025-12-29,00:00:00,1766946600,709,711.05,695.55,699.2,1819431
2025-12-30,00:00:00,1767033000,696.5,696.8,678.35,682.45,2182868
2025-12-31,00:00:00,1767119400,682.45,690.6,682.45,684.6,1078861
2026-01-01,00:00:00,1767205800,683.5,687.4,679.25,685.65,620303
2026-01-02,00:00:00,1767292200,685.65,696.9,684.1,694.85,1547440
2026-01-05,00:00:00,1767551400,694.9,701.65,673.75,675.55,2135762
2026-01-06,00:00:00,1767637800,675.55,676.5,667.5,671.2,1414363
2026-01-07,00:00:00,1767724200,671.2,674.5,667.15,672.8,980520
2026-01-08,00:00:00,1767810600,672.8,673.7,653.5,656.45,1877565
2026-01-09,00:00:00,1767897000,656.4,658.15,635.2,637.65,2561891
2026-01-12,00:00:00,1768156200,638.05,639.3,627.85,634.85,1714290
2026-01-13,00:00:00,1768242600,638,640.7,626,630.2,1878574
