Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,100.5,100.82,99.59,100.07,810240
2026-05-26,09:20:00,1779767400,100.06,100.14,99.79,100.08,1275581
2026-05-26,09:25:00,1779767700,100.09,100.14,99.98,100.01,1439197
2026-05-26,09:30:00,1779768000,100.04,100.06,99.86,99.93,1656681
2026-05-26,09:35:00,1779768300,99.94,99.99,99.7,99.86,1894462
2026-05-26,09:40:00,1779768600,99.84,99.94,99.82,99.88,2034710
2026-05-26,09:45:00,1779768900,99.86,99.97,99.83,99.93,2117294
2026-05-26,09:50:00,1779769200,99.97,100.12,99.8,99.86,2329551
2026-05-26,09:55:00,1779769500,99.84,99.88,99.7,99.78,2490703
2026-05-26,10:00:00,1779769800,99.84,99.9,99.7,99.85,2643474
2026-05-26,10:05:00,1779770100,99.87,99.95,99.85,99.91,2706609
2026-05-26,10:10:00,1779770400,99.9,100.09,99.9,100.09,2797100
2026-05-26,10:15:00,1779770700,100.05,100.19,100.05,100.18,2968556
2026-05-26,10:20:00,1779771000,100.17,100.29,100.15,100.26,3075417
2026-05-26,10:25:00,1779771300,100.25,100.28,100.16,100.21,3155263
2026-05-26,10:30:00,1779771600,100.24,100.26,100.17,100.23,3239986
2026-05-26,10:35:00,1779771900,100.18,100.23,100.13,100.19,3295134
2026-05-26,10:40:00,1779772200,100.18,100.18,100.01,100.05,3380256
2026-05-26,10:45:00,1779772500,100.08,100.12,100.03,100.06,3434712
2026-05-26,10:50:00,1779772800,100.1,100.1,100.04,100.1,3494995
2026-05-26,10:55:00,1779773100,100.07,100.16,100.05,100.11,3559425
2026-05-26,11:00:00,1779773400,100.14,100.19,100.11,100.17,3610725
2026-05-26,11:05:00,1779773700,100.13,100.17,100.04,100.09,3635931
2026-05-26,11:10:00,1779774000,100.04,100.08,100,100.01,3690457
2026-05-26,11:15:00,1779774300,100.07,100.1,100.01,100.07,3750489
2026-05-26,11:20:00,1779774600,100.02,100.07,99.92,99.92,3851473
2026-05-26,11:25:00,1779774900,99.97,99.99,99.92,99.95,3897378
2026-05-26,11:30:00,1779775200,99.92,100,99.92,99.99,3920796
2026-05-26,11:35:00,1779775500,99.98,100,99.93,100,3959824
