Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,116.91,117,116.1,116.42,4302586
2025-12-03,00:00:00,1764700200,117.13,117.6,114.22,114.71,9455659
2025-12-04,00:00:00,1764786600,114.71,115.9,114.4,114.85,5895759
2025-12-05,00:00:00,1764873000,115.19,115.19,113.75,114.6,5063577
2025-12-08,00:00:00,1765132200,114.6,114.94,110.5,111.36,8555323
2025-12-09,00:00:00,1765218600,111.4,113.87,109.9,113.64,9736504
2025-12-10,00:00:00,1765305000,113.63,115.13,112,112.2,4960130
2025-12-11,00:00:00,1765391400,112.2,113.6,111.53,113.29,5799050
2025-12-12,00:00:00,1765477800,113.29,114.1,112.63,113.82,5141588
2025-12-15,00:00:00,1765737000,113.05,113.61,112.5,113.25,4518917
2025-12-16,00:00:00,1765823400,113,113.27,111.5,112.01,4101452
2025-12-17,00:00:00,1765909800,112,112.5,110.72,111.08,4984147
2025-12-18,00:00:00,1765996200,111,112.2,109.7,110.81,6400519
2025-12-19,00:00:00,1766082600,111.09,114.49,110.85,113.98,8954745
2025-12-22,00:00:00,1766341800,114.53,117.8,114.09,117,16841326
2025-12-23,00:00:00,1766428200,117.8,124.48,116.81,121.4,55006061
2025-12-24,00:00:00,1766514600,122.5,123.84,120.54,121.49,27580407
2025-12-26,00:00:00,1766687400,122.14,134.59,121.86,133.64,163985127
2025-12-29,00:00:00,1766946600,135,137.17,125.75,126.35,80360842
2025-12-30,00:00:00,1767033000,126.35,126.67,123.66,124.59,29253088
2025-12-31,00:00:00,1767119400,124.95,127.5,124.39,124.62,27013969
2026-01-01,00:00:00,1767205800,125.31,126.22,124.01,125.79,16340819
2026-01-02,00:00:00,1767292200,126.45,128.95,125.59,128.48,25385604
2026-01-05,00:00:00,1767551400,129,129.32,126.55,127.6,15730837
2026-01-06,00:00:00,1767637800,128,129.75,126,127.22,14799487
2026-01-07,00:00:00,1767724200,127.5,128.63,126.79,128.04,10932461
2026-01-08,00:00:00,1767810600,128.04,129,123.81,124.27,13165701
2026-01-09,00:00:00,1767897000,124.23,124.98,120.6,121.25,14904914
2026-01-12,00:00:00,1768156200,121.25,123.09,119.25,122.63,16531719
2026-01-13,00:00:00,1768242600,123.1,123.84,120.28,121.33,11459758
2026-01-14,00:00:00,1768329000,121.33,123.29,120.65,122.01,11544717
2026-01-16,00:00:00,1768501800,122.39,123.89,121.59,122.19,11686581
2026-01-19,00:00:00,1768761000,122.22,122.65,119.75,120.9,19879572
2026-01-20,00:00:00,1768847400,121.45,121.45,115.49,116.13,33802202
2026-01-21,00:00:00,1768933800,116.13,117.16,113.9,115.14,23802894
2026-01-22,00:00:00,1769020200,116.5,119.34,115.61,117.02,17626259
2026-01-23,00:00:00,1769106600,117.55,118.29,113.72,114.15,15938677
2026-01-27,00:00:00,1769452200,114.95,115.4,112.61,114.61,18230496
2026-01-28,00:00:00,1769538600,115.18,120.89,115.18,120.15,23452463
2026-01-29,00:00:00,1769625000,121,121.59,118.3,120.06,19681289
2026-01-30,00:00:00,1769711400,119.9,121.25,118.25,120.1,19011603
2026-02-01,00:00:00,1769884200,121.3,123.9,112.01,113.54,69512247
2026-02-02,00:00:00,1769970600,114.99,115.8,111.53,114.93,26935344
2026-02-03,00:00:00,1770057000,119.79,119.79,114.85,115.12,17141510
2026-02-04,00:00:00,1770143400,115.6,116.65,114.51,116,14878650
2026-02-05,00:00:00,1770229800,116,116.5,114.26,114.71,10242128
2026-02-06,00:00:00,1770316200,114.5,114.97,112.59,114.53,13107658
2026-02-09,00:00:00,1770575400,114.99,116,114.7,115.07,9623210
2026-02-10,00:00:00,1770661800,115.45,116.7,114.91,115.46,12744272
2026-02-11,00:00:00,1770748200,115.46,115.8,113.62,114.33,10515387
2026-02-12,00:00:00,1770834600,114.2,114.2,112.8,113.53,10863707
2026-02-13,00:00:00,1770921000,112.8,112.85,111.05,111.44,13084758
2026-02-16,00:00:00,1771180200,111.44,113.42,110.57,113.18,13966955
2026-02-17,00:00:00,1771266600,113,113.46,112.31,112.99,8157349
2026-02-18,00:00:00,1771353000,112.98,113.75,112.03,113.31,8573114
2026-02-19,00:00:00,1771439400,113.31,113.81,110.75,111.38,9987523
2026-02-20,00:00:00,1771525800,111.19,112.8,110.57,111.88,11560506
2026-02-23,00:00:00,1771785000,112,112.5,110.8,111.89,9897270
2026-02-24,00:00:00,1771871400,111.34,111.56,109.05,109.44,13884700
2026-02-25,00:00:00,1771957800,105.99,105.99,104.4,104.56,56904412
2026-02-26,00:00:00,1772044200,104.4,105.29,102.54,103.23,22825499
2026-02-27,00:00:00,1772130600,103,104.56,101.73,103.55,19027229
2026-03-02,00:00:00,1772389800,97.5,101.35,97.2,99.34,27730177
2026-03-04,00:00:00,1772562600,98.16,98.63,96.01,97.74,32963143
2026-03-05,00:00:00,1772649000,98.21,99.25,97,98.85,16588277
2026-03-06,00:00:00,1772735400,99.31,103.1,98.76,99.47,35489993
2026-03-09,00:00:00,1772994600,97.11,97.95,95.27,97.57,16395706
2026-03-10,00:00:00,1773081000,99.4,101.12,98.11,100.71,14800530
