Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,441.4,442.8,439.1,440,412579
2026-05-26,09:20:00,1779767400,440.2,440.2,438.4,439,689169
2026-05-26,09:25:00,1779767700,438.9,442.5,438.9,440.75,825619
2026-05-26,09:30:00,1779768000,441.25,442.8,441.1,441.1,1086039
2026-05-26,09:35:00,1779768300,440.85,442.75,440.4,442.7,1169951
2026-05-26,09:40:00,1779768600,442.3,442.5,440.8,441.25,1214077
2026-05-26,09:45:00,1779768900,441.05,441.4,440.1,440.55,1298575
2026-05-26,09:50:00,1779769200,440.5,440.75,439.6,440.2,1344837
2026-05-26,09:55:00,1779769500,440,440.95,439.75,439.75,1494213
2026-05-26,10:00:00,1779769800,439.9,440,438.25,438.35,1615915
2026-05-26,10:05:00,1779770100,437.5,438.2,435.6,435.7,1800653
2026-05-26,10:10:00,1779770400,435.65,436.1,435.35,435.6,1919132
2026-05-26,10:15:00,1779770700,435.65,435.65,435,435.2,2032572
2026-05-26,10:20:00,1779771000,435.25,436.1,434.8,436.1,2232257
2026-05-26,10:25:00,1779771300,435.85,436.85,435.3,435.65,2446556
2026-05-26,10:30:00,1779771600,436.1,438.05,435.8,437.3,2615843
2026-05-26,10:35:00,1779771900,437.5,439.3,437.5,438.05,3001952
2026-05-26,10:40:00,1779772200,437.85,438.7,437.5,437.95,3167299
2026-05-26,10:45:00,1779772500,437.75,438.05,437.25,437.5,3253756
2026-05-26,10:50:00,1779772800,437.4,437.8,437,437.6,3351112
2026-05-26,10:55:00,1779773100,437.2,437.65,436.2,436.4,3455882
2026-05-26,11:00:00,1779773400,436.25,437.35,436.25,436.8,3622581
2026-05-26,11:05:00,1779773700,436.55,436.55,434.75,434.9,3802498
2026-05-26,11:10:00,1779774000,434.8,435.6,434.7,435.15,3907839
2026-05-26,11:15:00,1779774300,435.25,435.55,434.85,434.9,3983122
2026-05-26,11:20:00,1779774600,435,435.1,434,434,4064520
2026-05-26,11:25:00,1779774900,434.05,434.35,433.3,434.1,4169945
2026-05-26,11:30:00,1779775200,434,435,433.6,434.3,4241163
2026-05-26,11:35:00,1779775500,434.05,434.25,433.55,434.1,4373985
2026-05-26,11:40:00,1779775800,433.95,434.1,433.2,433.3,4466377
2026-05-26,11:45:00,1779776100,433.2,435.1,433.2,434.9,4590894
2026-05-26,11:50:00,1779776400,435,435.35,434.2,434.6,4676558
2026-05-26,11:55:00,1779776700,435,435.25,434.2,434.4,4773103
2026-05-26,12:00:00,1779777000,434.5,434.75,433.65,433.65,4836126
2026-05-26,12:05:00,1779777300,433.7,433.95,433.3,433.3,4913288
2026-05-26,12:10:00,1779777600,433.45,433.75,433.1,433.25,4985712
2026-05-26,12:15:00,1779777900,433.1,434.2,432.9,433.5,5070914
2026-05-26,12:20:00,1779778200,433.45,433.55,432.9,433,5144691
2026-05-26,12:25:00,1779778500,432.95,433.9,432.9,433.6,5230981
2026-05-26,12:30:00,1779778800,433.55,434.4,433.3,433.7,5317614
2026-05-26,12:35:00,1779779100,433.65,434.65,433.2,433.5,5391895
2026-05-26,12:40:00,1779779400,433.75,434,432.9,433,5461232
2026-05-26,12:45:00,1779779700,433.1,433.1,432.5,432.55,5538791
2026-05-26,12:50:00,1779780000,432.6,433.05,432.15,432.35,5647617
2026-05-26,12:55:00,1779780300,432.4,432.65,432.1,432.45,5802933
2026-05-26,13:00:00,1779780600,432.4,432.7,432,432.2,5900795
2026-05-26,13:05:00,1779780900,432.25,433.25,432.15,432.2,6027930
2026-05-26,13:10:00,1779781200,432.25,433,432,432.75,6102060
2026-05-26,13:15:00,1779781500,432.8,433.25,432.55,432.65,6156025
2026-05-26,13:20:00,1779781800,432.75,432.75,432.1,432.3,6204992
2026-05-26,13:25:00,1779782100,432.25,433.1,432.15,432.65,6255090
2026-05-26,13:30:00,1779782400,432.7,433.05,432.35,432.95,6307475
2026-05-26,13:35:00,1779782700,432.85,433.2,432.55,432.95,6354714
2026-05-26,13:40:00,1779783000,432.85,432.9,432.15,432.25,6423657
2026-05-26,13:45:00,1779783300,432.35,432.75,432.15,432.25,6484278
2026-05-26,13:50:00,1779783600,432.35,432.35,431.25,431.9,6830575
2026-05-26,13:55:00,1779783900,431.85,432.3,431.35,432,7021818
2026-05-26,14:00:00,1779784200,431.95,432.15,430.9,431.05,7281977
2026-05-26,14:05:00,1779784500,431.15,431.7,430.6,431.6,7630410
2026-05-26,14:10:00,1779784800,431.4,432.45,431.35,432.1,7939598
2026-05-26,14:15:00,1779785100,432.15,432.15,431.35,431.5,8149596
2026-05-26,14:20:00,1779785400,431.65,433.8,431.5,433.8,8364642
2026-05-26,14:25:00,1779785700,433.75,435.5,433.65,434.8,8546623
2026-05-26,14:30:00,1779786000,434.75,435,434,434.8,8648114
2026-05-26,14:35:00,1779786300,434.9,436.35,434.4,435.35,8828879
2026-05-26,14:40:00,1779786600,435.5,435.5,434.75,434.9,8937698
2026-05-26,14:45:00,1779786900,434.8,435.15,434.25,434.7,9026738
2026-05-26,14:50:00,1779787200,434.9,435.15,433.6,433.8,9181786
2026-05-26,14:55:00,1779787500,433.9,434.15,433.6,433.75,9265753
2026-05-26,15:00:00,1779787800,434,434.5,433.2,433.25,9368920
2026-05-26,15:05:00,1779788100,433.2,433.2,432.65,432.9,9559587
2026-05-26,15:10:00,1779788400,432.95,433,432.05,432.5,9765409
2026-05-26,15:15:00,1779788700,432.25,433.35,431.75,433.3,10016211
2026-05-26,15:20:00,1779789000,433.35,434.25,433.25,433.8,10199613
2026-05-26,15:25:00,1779789300,433.75,434.95,433.75,434.05,10394526
2026-05-27,09:15:00,1779853500,433.85,435.95,433.15,434.1,133648
2026-05-27,09:20:00,1779853800,434.05,434.9,433.6,434.45,226781
2026-05-27,09:25:00,1779854100,434.35,434.35,432.5,432.6,272617
2026-05-27,09:30:00,1779854400,432.8,434.2,432.5,433.95,375424
2026-05-27,09:35:00,1779854700,433.8,434,433.5,433.7,403136
2026-05-27,09:40:00,1779855000,433.8,434.35,433.55,434.35,442313
2026-05-27,09:45:00,1779855300,434.4,435,433.6,434.8,496939
2026-05-27,09:50:00,1779855600,434.6,436.2,434.5,435.35,580804
2026-05-27,09:55:00,1779855900,435.25,437.6,435.25,437,675378
2026-05-27,10:00:00,1779856200,437.05,439.3,437,438.95,831884
2026-05-27,10:05:00,1779856500,438.9,438.9,437.35,437.5,906843
2026-05-27,10:10:00,1779856800,437.25,437.4,436.45,436.5,976930
2026-05-27,10:15:00,1779857100,436.95,437,436.4,436.95,1020374
2026-05-27,10:20:00,1779857400,437.05,437.3,436.6,436.9,1061913
2026-05-27,10:25:00,1779857700,436.8,436.9,436.25,436.55,1078006
2026-05-27,10:30:00,1779858000,436.5,436.9,436.4,436.75,1107458
2026-05-27,10:35:00,1779858300,436.8,437,436.5,436.7,1132929
