Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,847.15,860.5,845.4,850.3,2674933
2025-12-03,00:00:00,1764700200,854,856.3,841.35,846.9,2063761
2025-12-04,00:00:00,1764786600,846,873,842.9,863,4259999
2025-12-05,00:00:00,1764873000,863.65,874.4,856.1,870.1,3377823
2025-12-08,00:00:00,1765132200,870.1,873.6,834.5,841.4,2015558
2025-12-09,00:00:00,1765218600,841.45,848.7,832.15,844.35,3015385
2025-12-10,00:00:00,1765305000,847.8,851.6,828.15,833.85,2623610
2025-12-11,00:00:00,1765391400,834.45,842.8,827.5,835.55,2810755
2025-12-12,00:00:00,1765477800,840.05,851.2,839,846.15,3492109
2025-12-15,00:00:00,1765737000,845.95,853.5,835.4,851.25,2458486
2025-12-16,00:00:00,1765823400,854,856.8,841.85,845.05,2811166
2025-12-17,00:00:00,1765909800,838.2,846.1,827.8,833.85,3107473
2025-12-18,00:00:00,1765996200,830.8,842.5,826,834.9,1537403
2025-12-19,00:00:00,1766082600,834.9,847.9,831,844.7,7000947
2025-12-22,00:00:00,1766341800,845,862.8,840.9,856.4,2387606
2025-12-23,00:00:00,1766428200,856.4,859.7,846.2,849.9,1628642
2025-12-24,00:00:00,1766514600,850,858.85,844.2,848.05,1947886
2025-12-26,00:00:00,1766687400,841.05,858.9,837.1,849.85,4257972
2025-12-29,00:00:00,1766946600,849.8,854.55,836.6,839.6,1907670
2025-12-30,00:00:00,1767033000,839.6,844.1,833.25,841.5,4409838
2025-12-31,00:00:00,1767119400,841.5,869.6,836.55,864.2,2887744
2026-01-01,00:00:00,1767205800,865.45,891.6,863.5,890.2,4244931
2026-01-02,00:00:00,1767292200,896,909.75,890.25,902.45,6250730
2026-01-05,00:00:00,1767551400,905,910,892.5,899.95,2521435
2026-01-06,00:00:00,1767637800,898,924,886.5,914.25,8308942
2026-01-07,00:00:00,1767724200,914.5,924.7,892.85,897.85,2952528
2026-01-08,00:00:00,1767810600,897,902.75,876.1,883.45,3567518
2026-01-09,00:00:00,1767897000,878.05,892,878.05,882.25,2515780
2026-01-12,00:00:00,1768156200,880.2,907.95,879.1,905.45,4015935
2026-01-13,00:00:00,1768242600,909,913.7,897.5,910.55,3958844
2026-01-14,00:00:00,1768329000,913,948.9,905,944.5,11559313
2026-01-16,00:00:00,1768501800,945,960.2,938.05,953.85,10345071
2026-01-19,00:00:00,1768761000,947.95,961.9,941.45,949.8,5455304
2026-01-20,00:00:00,1768847400,946,948,899.05,905.15,6701234
2026-01-21,00:00:00,1768933800,908,919.15,891.45,907.15,3567143
