Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,5373.5,5373.5,5298.5,5307,4703
2026-05-04,09:20:00,1777866600,5302,5328.5,5300.5,5314.5,6618
2026-05-04,09:25:00,1777866900,5316.5,5353,5289,5349,9189
2026-05-04,09:30:00,1777867200,5351,5352.5,5333,5340,10055
2026-05-04,09:35:00,1777867500,5339.5,5345,5336,5345,11476
2026-05-04,09:40:00,1777867800,5342,5347.5,5340,5345,11812
2026-05-04,09:45:00,1777868100,5343.5,5353,5343.5,5350.5,12608
2026-05-04,09:50:00,1777868400,5345.5,5351.5,5344.5,5350,13117
2026-05-04,09:55:00,1777868700,5347.5,5389,5345,5389,15479
2026-05-04,10:00:00,1777869000,5388.5,5392.5,5380,5384,17255
2026-05-04,10:05:00,1777869300,5381.5,5398,5381.5,5390.5,22251
2026-05-04,10:10:00,1777869600,5389,5391.5,5370,5370,23026
2026-05-04,10:15:00,1777869900,5370.5,5383,5365.5,5382.5,24060
2026-05-04,10:20:00,1777870200,5384,5386.5,5373,5382.5,24746
2026-05-04,10:25:00,1777870500,5387,5398.5,5382.5,5395,26205
2026-05-04,10:30:00,1777870800,5395.5,5419,5395.5,5410,27790
2026-05-04,10:35:00,1777871100,5410.5,5461,5405,5453,35356
2026-05-04,10:40:00,1777871400,5452,5502,5450,5476,40360
2026-05-04,10:45:00,1777871700,5479.5,5479.5,5455,5463.5,43204
2026-05-04,10:50:00,1777872000,5460.5,5492,5460.5,5486,44484
2026-05-04,10:55:00,1777872300,5483.5,5504,5480,5503,46415
2026-05-04,11:00:00,1777872600,5503.5,5503.5,5490,5490,47001
2026-05-04,11:05:00,1777872900,5495,5495,5472.5,5477,50714
2026-05-04,11:10:00,1777873200,5476,5476,5450.5,5468,51773
2026-05-04,11:15:00,1777873500,5464.5,5479.5,5461,5470.5,52315
2026-05-04,11:20:00,1777873800,5470,5470,5445,5452,53846
2026-05-04,11:25:00,1777874100,5450.5,5463,5450.5,5460,54312
2026-05-04,11:30:00,1777874400,5462,5468.5,5445,5450,56462
2026-05-04,11:35:00,1777874700,5452,5460,5450,5458.5,56794
2026-05-04,11:40:00,1777875000,5462,5462,5450,5453.5,57163
2026-05-04,11:45:00,1777875300,5451.5,5466.5,5451.5,5460,57806
2026-05-04,11:50:00,1777875600,5460,5464.5,5452.5,5460,58286
2026-05-04,11:55:00,1777875900,5461.5,5461.5,5450,5450,59288
2026-05-04,12:00:00,1777876200,5453,5460,5450,5450,60005
2026-05-04,12:05:00,1777876500,5440,5485,5440,5474,73766
2026-05-04,12:10:00,1777876800,5471.5,5472,5455,5457,74989
2026-05-04,12:15:00,1777877100,5455.5,5458.5,5445,5450.5,76064
2026-05-04,12:20:00,1777877400,5450,5450.5,5414,5419.5,78590
2026-05-04,12:25:00,1777877700,5415.5,5421.5,5402,5406,79210
2026-05-04,12:30:00,1777878000,5402.5,5405.5,5390,5390,79647
2026-05-04,12:35:00,1777878300,5388.5,5394.5,5385,5388.5,79991
2026-05-04,12:40:00,1777878600,5385,5390.5,5376.5,5378,80387
2026-05-04,12:45:00,1777878900,5376.5,5393,5375,5380,80904
2026-05-04,12:50:00,1777879200,5377.5,5389,5359.5,5370,82366
2026-05-04,12:55:00,1777879500,5368,5369,5353,5357,83055
2026-05-04,13:00:00,1777879800,5355.5,5363,5351,5356.5,83536
2026-05-04,13:05:00,1777880100,5355,5370,5355,5368,83897
2026-05-04,13:10:00,1777880400,5365.5,5380,5365,5378.5,84308
2026-05-04,13:15:00,1777880700,5379,5385.5,5374,5382,84916
2026-05-04,13:20:00,1777881000,5378.5,5386,5373.5,5378.5,85605
2026-05-04,13:25:00,1777881300,5375,5379,5369.5,5373,86070
2026-05-04,13:30:00,1777881600,5374,5377.5,5365,5377,86803
2026-05-04,13:35:00,1777881900,5373,5375.5,5367.5,5373.5,87535
2026-05-04,13:40:00,1777882200,5370,5380.5,5370,5380,87881
2026-05-04,13:45:00,1777882500,5377,5380,5374.5,5380,88141
2026-05-04,13:50:00,1777882800,5375.5,5382,5370,5374,88562
2026-05-04,13:55:00,1777883100,5374.5,5377.5,5368,5375.5,89108
2026-05-04,14:00:00,1777883400,5377,5390.5,5375,5380,119512
2026-05-04,14:05:00,1777883700,5377.5,5382,5367,5368,120593
2026-05-04,14:10:00,1777884000,5373,5384,5373,5379.5,121018
2026-05-04,14:15:00,1777884300,5381,5388.5,5376.5,5378.5,125522
2026-05-04,14:20:00,1777884600,5380,5384,5376.5,5380,127258
2026-05-04,14:25:00,1777884900,5376.5,5380.5,5370.5,5378,128328
2026-05-04,14:30:00,1777885200,5380,5381,5375.5,5380,129190
2026-05-04,14:35:00,1777885500,5376.5,5381.5,5374,5380,130185
2026-05-04,14:40:00,1777885800,5381.5,5381.5,5375.5,5380,131118
2026-05-04,14:45:00,1777886100,5376,5379.5,5367.5,5369,132123
2026-05-04,14:50:00,1777886400,5371,5383,5368,5378.5,133403
2026-05-04,14:55:00,1777886700,5377.5,5381.5,5367.5,5367.5,134287
