Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,12476,12657,12476,12511,123
2026-05-26,09:20:00,1779767400,12546,12582,12510,12545,206
2026-05-26,09:25:00,1779767700,12519,12570,12498,12546,329
2026-05-26,09:30:00,1779768000,12550,12579,12509,12546,446
2026-05-26,09:35:00,1779768300,12546,12546,12506,12544,482
2026-05-26,09:40:00,1779768600,12557,12570,12544,12566,519
2026-05-26,09:45:00,1779768900,12544,12560,12521,12521,553
2026-05-26,09:50:00,1779769200,12558,12558,12511,12547,593
2026-05-26,09:55:00,1779769500,12548,12556,12495,12507,765
2026-05-26,10:00:00,1779769800,12484,12545,12484,12545,792
2026-05-26,10:05:00,1779770100,12546,12553,12528,12553,802
2026-05-26,10:10:00,1779770400,12549,12549,12528,12529,807
2026-05-26,10:20:00,1779771000,12550,12553,12486,12553,951
2026-05-26,10:25:00,1779771300,12528,12548,12528,12548,958
2026-05-26,10:30:00,1779771600,12515,12515,12485,12485,1193
2026-05-26,10:35:00,1779771900,12492,12507,12492,12505,1242
2026-05-26,10:40:00,1779772200,12443,12481,12443,12481,1366
2026-05-26,10:45:00,1779772500,12460,12490,12460,12490,1380
2026-05-26,10:50:00,1779772800,12490,12493,12490,12493,1383
2026-05-26,10:55:00,1779773100,12475,12476,12475,12476,1385
2026-05-26,11:00:00,1779773400,12495,12496,12470,12481,1551
2026-05-26,11:05:00,1779773700,12495,12495,12493,12493,1556
2026-05-26,11:10:00,1779774000,12500,12500,12461,12479,1640
2026-05-26,11:15:00,1779774300,12508,12508,12483,12483,1658
2026-05-26,11:20:00,1779774600,12486,12486,12486,12486,1674
2026-05-26,11:25:00,1779774900,12465,12465,12465,12465,1675
2026-05-26,11:30:00,1779775200,12450,12452,12450,12452,1711
2026-05-26,11:35:00,1779775500,12475,12475,12444,12444,1756
2026-05-26,11:40:00,1779775800,12475,12475,12450,12450,1771
2026-05-26,11:45:00,1779776100,12440,12455,12413,12455,1807
2026-05-26,11:50:00,1779776400,12422,12449,12422,12449,1817
2026-05-26,11:55:00,1779776700,12441,12441,12429,12441,1936
2026-05-26,12:00:00,1779777000,12428,12459,12422,12459,1972
2026-05-26,12:05:00,1779777300,12438,12438,12438,12438,1975
2026-05-26,12:10:00,1779777600,12440,12440,12440,12440,2083
2026-05-26,12:15:00,1779777900,12440,12440,12438,12438,2087
2026-05-26,12:20:00,1779778200,12445,12446,12445,12446,2100
2026-05-26,12:25:00,1779778500,12386,12386,12386,12386,2208
2026-05-26,12:30:00,1779778800,12421,12474,12400,12455,2431
2026-05-26,12:35:00,1779779100,12455,12552,12450,12521,2677
2026-05-26,12:40:00,1779779400,12548,12587,12523,12556,2782
2026-05-26,12:45:00,1779779700,12575,12620,12575,12594,2919
2026-05-26,12:50:00,1779780000,12544,12577,12544,12568,2949
2026-05-26,12:55:00,1779780300,12568,12594,12568,12571,2985
2026-05-26,13:00:00,1779780600,12638,12638,12591,12594,3060
2026-05-26,13:05:00,1779780900,12590,12590,12565,12570,3070
2026-05-26,13:10:00,1779781200,12585,12592,12574,12574,3091
2026-05-26,13:15:00,1779781500,12598,12598,12552,12570,3109
2026-05-26,13:20:00,1779781800,12580,12580,12580,12580,3114
2026-05-26,13:25:00,1779782100,12548,12548,12548,12548,3115
2026-05-26,13:30:00,1779782400,12565,12565,12565,12565,3119
2026-05-26,13:35:00,1779782700,12595,12599,12595,12595,3122
2026-05-26,13:40:00,1779783000,12598,12598,12557,12558,3139
2026-05-26,13:45:00,1779783300,12579,12579,12546,12546,3181
2026-05-26,13:50:00,1779783600,12571,12571,12571,12571,3182
2026-05-26,13:55:00,1779783900,12544,12557,12544,12557,3190
2026-05-26,14:00:00,1779784200,12567,12567,12501,12526,3210
2026-05-26,14:05:00,1779784500,12520,12558,12520,12558,3254
2026-05-26,14:10:00,1779784800,12560,12571,12560,12571,3260
