Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,272.8,275,272.45,273,166582
2026-05-04,10:15:00,1777869900,272.75,275.05,271.8,274.25,300295
2026-05-04,11:15:00,1777873500,274.45,276.45,273.65,273.7,503908
2026-05-04,12:15:00,1777877100,273.55,274.05,272.6,273.2,573033
2026-05-04,13:15:00,1777880700,273.4,274.55,272.8,274.3,666388
2026-05-04,14:15:00,1777884300,274.25,274.55,273.35,273.65,781569
2026-05-04,15:15:00,1777887900,273.8,275.15,273.6,274.95,878737
2026-05-05,09:15:00,1777952700,273,277.4,272.8,273.85,271580
2026-05-05,10:15:00,1777956300,273.95,273.95,272.2,272.55,348687
2026-05-05,11:15:00,1777959900,272.5,273.6,272.25,272.7,433597
2026-05-05,12:15:00,1777963500,272.9,273.65,272.2,273.45,506411
2026-05-05,13:15:00,1777967100,273.6,273.6,272.15,272.15,574277
2026-05-05,14:15:00,1777970700,272.2,273.45,272.2,272.4,651335
2026-05-05,15:15:00,1777974300,272.45,273.1,272.2,272.8,713075
2026-05-06,09:15:00,1778039100,274,275.9,272,274.15,414437
2026-05-06,10:15:00,1778042700,274.1,274.4,272,272.65,568578
2026-05-06,11:15:00,1778046300,272.6,273,272.15,272.75,687033
2026-05-06,12:15:00,1778049900,272.85,272.95,270.05,270.55,859577
2026-05-06,13:15:00,1778053500,270.7,272.6,270.5,272.35,1106998
2026-05-06,14:15:00,1778057100,272.5,274.3,272.15,272.85,1442717
2026-05-06,15:15:00,1778060700,272.8,274,272.65,273.65,1574648
2026-05-07,09:15:00,1778125500,274.4,278.45,274,277.5,549309
2026-05-07,10:15:00,1778129100,277.55,278.85,277.35,277.8,757760
2026-05-07,11:15:00,1778132700,277.85,278.15,275.2,275.7,886584
2026-05-07,12:15:00,1778136300,275.65,277.2,275.25,276.4,983018
2026-05-07,13:15:00,1778139900,276.25,282.5,275.6,281.85,4211528
2026-05-07,14:15:00,1778143500,281.65,281.7,279.95,281.1,4692429
2026-05-07,15:15:00,1778147100,281,282.95,280.75,282.55,4893942
2026-05-08,09:15:00,1778211900,282.45,282.5,279.7,280.4,397303
2026-05-08,10:15:00,1778215500,280.45,284,280,283,742805
2026-05-08,11:15:00,1778219100,283.2,284.75,282,284,1073307
2026-05-08,12:15:00,1778222700,284.15,284.4,282,282.4,1223488
2026-05-08,13:15:00,1778226300,282.5,283.3,281.55,282.25,1343423
2026-05-08,14:15:00,1778229900,282.45,284.05,282.25,283.7,1643355
2026-05-08,15:15:00,1778233500,283.6,284.6,283.15,284.6,1853220
2026-05-11,09:15:00,1778471100,277.1,286.7,277.1,286.1,1431386
2026-05-11,10:15:00,1778474700,286.15,286.2,280.8,282.6,1856741
2026-05-11,11:15:00,1778478300,282.75,285.85,281.7,284.5,2194613
2026-05-11,12:15:00,1778481900,284.45,293.95,284.35,292.7,3636752
2026-05-11,13:15:00,1778485500,292.75,295.8,291.2,292,4591024
2026-05-11,14:15:00,1778489100,292.05,292.5,286.55,286.7,5203540
2026-05-11,15:15:00,1778492700,286.8,287.95,286.8,286.9,5438217
2026-05-12,09:15:00,1778557500,286.95,286.95,274.5,276.15,1369722
2026-05-12,10:15:00,1778561100,275.9,277,273.55,274.4,1612356
2026-05-12,11:15:00,1778564700,274.35,274.85,273.4,273.6,1766229
2026-05-12,12:15:00,1778568300,273.5,273.8,271.75,272.25,2008743
2026-05-12,13:15:00,1778571900,272.4,273.15,270.05,270.15,2222643
2026-05-12,14:15:00,1778575500,269.9,271.35,268.6,271,2972898
2026-05-12,15:15:00,1778579100,271.1,275.8,271,275.4,3497804
2026-05-13,09:15:00,1778643900,272.05,273.9,267.2,270.8,579583
2026-05-13,10:15:00,1778647500,270.7,272.8,270.5,271.95,739315
2026-05-13,11:15:00,1778651100,272.05,272.35,270.4,271.6,810902
2026-05-13,12:15:00,1778654700,271.65,271.7,269.35,270.5,894585
2026-05-13,13:15:00,1778658300,270.25,270.65,268.85,269.5,954391
