Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,4900.9,4911.2,4794.4,4892.8,153351
2026-05-04,10:15:00,1777869900,4896.1,4953.2,4882.1,4946.7,260285
2026-05-04,11:15:00,1777873500,4948,4977,4926.5,4927.1,338762
2026-05-04,12:15:00,1777877100,4928.3,4984,4923,4980.6,403688
2026-05-04,13:15:00,1777880700,4979.5,5048.3,4967.1,5040,481685
2026-05-04,14:15:00,1777884300,5042,5068.6,5024,5057,608520
2026-05-04,15:15:00,1777887900,5056.9,5070,5036,5036,662568
2026-05-05,09:15:00,1777952700,4950,4980.8,4724.7,4862.7,822226
2026-05-05,10:15:00,1777956300,4862.3,4935.3,4862,4931.7,958110
2026-05-05,11:15:00,1777959900,4931.6,5007.1,4910,5000,1135644
2026-05-05,12:15:00,1777963500,4998.5,5134.1,4975.7,5035.5,1509173
2026-05-05,13:15:00,1777967100,5037.6,5049.8,5001,5028.9,1644367
2026-05-05,14:15:00,1777970700,5029,5064.7,5013.1,5016,1804121
2026-05-05,15:15:00,1777974300,5016.4,5035,4997.3,5029,1875631
2026-05-06,09:15:00,1778039100,5049.8,5145.5,5049.8,5128,157851
2026-05-06,10:15:00,1778042700,5126,5201,5105.8,5190,290863
2026-05-06,11:15:00,1778046300,5191.6,5223,5174.1,5197.4,392964
2026-05-06,12:15:00,1778049900,5195.5,5204.8,5157.2,5182.9,462346
2026-05-06,13:15:00,1778053500,5184,5191.5,5143.7,5153.2,498654
2026-05-06,14:15:00,1778057100,5159.1,5183.5,5136.1,5154.9,561440
2026-05-06,15:15:00,1778060700,5152.6,5161.5,5138.1,5138.7,587043
2026-05-07,09:15:00,1778125500,5127.9,5242.6,4956.7,5022.9,509972
2026-05-07,10:15:00,1778129100,5022,5081.7,5005,5051.8,657677
2026-05-07,11:15:00,1778132700,5054.6,5067,5026,5063,707634
2026-05-07,12:15:00,1778136300,5062,5124.9,5061.4,5121.3,808229
2026-05-07,13:15:00,1778139900,5122.5,5123.9,5077.2,5088.1,869408
2026-05-07,14:15:00,1778143500,5089,5130,5075.4,5122,1021695
2026-05-07,15:15:00,1778147100,5118.9,5140,5106.2,5139,1118986
2026-05-08,09:15:00,1778211900,5126,5179.9,5064.3,5085,102548
2026-05-08,10:15:00,1778215500,5085.4,5127,5081.3,5120,133866
2026-05-08,11:15:00,1778219100,5120.1,5154.3,5118.7,5146.2,180943
2026-05-08,12:15:00,1778222700,5144.8,5144.9,5095.5,5100,202614
2026-05-08,13:15:00,1778226300,5100.1,5108.6,5077.2,5090.3,226787
2026-05-08,14:15:00,1778229900,5091.5,5125,5085,5089.4,287574
2026-05-08,15:15:00,1778233500,5087.5,5117,5087,5117,361623
2026-05-11,09:15:00,1778471100,5050,5188.5,5024.1,5176.9,171099
2026-05-11,10:15:00,1778474700,5175.7,5220.7,5156.6,5190,256844
2026-05-11,11:15:00,1778478300,5190.5,5192.4,5135.1,5147.3,300293
2026-05-11,12:15:00,1778481900,5149.7,5150.7,5106.2,5119,331360
2026-05-11,13:15:00,1778485500,5119.9,5137,5100,5121.1,349482
2026-05-11,14:15:00,1778489100,5121.2,5160.1,5121.1,5129.5,395515
2026-05-11,15:15:00,1778492700,5139.2,5139.2,5090,5110,442842
2026-05-12,09:15:00,1778557500,5120,5175.5,5102.8,5156.3,66242
2026-05-12,10:15:00,1778561100,5158.1,5173.1,5085.6,5085.6,103735
2026-05-12,11:15:00,1778564700,5085.5,5097.8,5067.1,5086.6,132594
2026-05-12,12:15:00,1778568300,5086.8,5095.7,5061.8,5084.8,149309
2026-05-12,13:15:00,1778571900,5082.9,5087.4,5052,5061,164395
2026-05-12,14:15:00,1778575500,5058.4,5079,4988.5,5000.3,203407
2026-05-12,15:15:00,1778579100,5002.1,5019.8,4983.7,4995,235973
2026-05-13,09:15:00,1778643900,4991.1,5006.6,4824,4901.7,338611
2026-05-13,10:15:00,1778647500,4901.6,4967.7,4901.6,4926.7,405220
2026-05-13,11:15:00,1778651100,4925,4962,4905.3,4950.1,450628
2026-05-13,12:15:00,1778654700,4951,4957.8,4921.4,4944.4,479086
2026-05-13,13:15:00,1778658300,4945.8,4996.4,4933.4,4979.5,516943
2026-05-13,14:15:00,1778661900,4980.3,4983.6,4918.3,4926.1,564607
2026-05-13,15:15:00,1778665500,4928.7,4930,4899.9,4907.4,593721
2026-05-14,09:15:00,1778730300,4942.8,4958.6,4871,4888.6,51051
2026-05-14,10:15:00,1778733900,4891.2,4930.8,4879.6,4915,70501
2026-05-14,11:15:00,1778737500,4913.7,4982.9,4911.5,4972.5,119471
2026-05-14,12:15:00,1778741100,4971.9,5029,4971.4,5010.4,184708
2026-05-14,13:15:00,1778744700,5012.9,5124,5010.5,5121.1,275569
2026-05-14,14:15:00,1778748300,5123.9,5146.8,5112,5134.9,344014
2026-05-14,15:15:00,1778751900,5134.2,5180,5134.2,5160.1,387861
2026-05-15,09:15:00,1778816700,5228.9,5245.5,5090.5,5103.2,127203
2026-05-15,10:15:00,1778820300,5104.1,5124.9,5090.6,5112.9,153367
2026-05-15,11:15:00,1778823900,5111.6,5124.5,5073.4,5113,178823
2026-05-15,12:15:00,1778827500,5113.1,5124.2,5100.4,5115.2,190561
2026-05-15,13:15:00,1778831100,5115.1,5142,5089.8,5131.1,281344
2026-05-15,14:15:00,1778834700,5130.5,5153,5105.9,5127.1,329017
2026-05-15,15:15:00,1778838300,5126.5,5129.8,5088.1,5092,357684
2026-05-18,09:15:00,1779075900,5074.9,5074.9,4961.1,4985,133044
2026-05-18,10:15:00,1779079500,4986.5,5033.9,4980,5019.9,169533
2026-05-18,11:15:00,1779083100,5020,5029,5000,5029,207217
2026-05-18,12:15:00,1779086700,5027,5110,5015,5072.5,252344
2026-05-18,13:15:00,1779090300,5076.1,5089.5,5065.6,5076.3,277115
2026-05-18,14:15:00,1779093900,5077.7,5115.7,5061.1,5083,343893
2026-05-18,15:15:00,1779097500,5082.7,5095,5068.3,5080,374316
2026-05-19,09:15:00,1779162300,5080,5139.3,5032,5127.5,97446
2026-05-19,10:15:00,1779165900,5127,5180,5085.6,5157.5,152376
2026-05-19,11:15:00,1779169500,5157.4,5160.2,5125.1,5144.5,184924
2026-05-19,12:15:00,1779173100,5146,5160,5100,5103.4,215984
2026-05-19,13:15:00,1779176700,5102,5125,5100,5119.9,236155
2026-05-19,14:15:00,1779180300,5119.4,5124,5075,5083.5,286523
2026-05-19,15:15:00,1779183900,5081.9,5100.4,5072.8,5097,324889
2026-05-20,09:15:00,1779248700,5050,5119.5,5046.3,5090.1,52452
2026-05-20,10:15:00,1779252300,5089.5,5116,5088,5091.8,103215
2026-05-20,11:15:00,1779255900,5091.7,5120,5091,5099.9,148291
2026-05-20,12:15:00,1779259500,5098.6,5138.9,5095.1,5097.2,186341
2026-05-20,13:15:00,1779263100,5096,5104.2,5077.7,5096.7,206524
2026-05-20,14:15:00,1779266700,5096.2,5128.1,5092.1,5125.5,236009
2026-05-20,15:15:00,1779270300,5124.8,5128,5113.1,5115,266503
2026-05-21,09:15:00,1779335100,5146.2,5240,5146.2,5216.2,100750
2026-05-21,10:15:00,1779338700,5214.4,5224.8,5186.2,5190.5,125644
2026-05-21,11:15:00,1779342300,5191.8,5216,5164,5201.3,159146
2026-05-21,12:15:00,1779345900,5201.4,5226.8,5190,5207.3,251530
2026-05-21,13:15:00,1779349500,5209.1,5295,5206.5,5271.4,391120
2026-05-21,14:15:00,1779353100,5268,5286.5,5226.2,5232.2,505136
2026-05-21,15:15:00,1779356700,5235.6,5249,5210,5220,550017
2026-05-22,09:15:00,1779421500,5262.5,5318,5236.8,5314.8,101874
2026-05-22,10:15:00,1779425100,5315,5325,5280,5286.5,188419
2026-05-22,11:15:00,1779428700,5289.4,5322,5271.8,5304,259276
2026-05-22,12:15:00,1779432300,5305.4,5305.8,5258.4,5275.7,309541
2026-05-22,13:15:00,1779435900,5277,5282.4,5250.1,5263,334543
2026-05-22,14:15:00,1779439500,5262.5,5274.1,5237.3,5251.6,371830
2026-05-22,15:15:00,1779443100,5254.5,5285,5249.6,5285,410013
2026-05-25,09:15:00,1779680700,5325,5345,5264.4,5302.1,73412
2026-05-25,10:15:00,1779684300,5303.3,5304.2,5285,5285,96092
2026-05-25,11:15:00,1779687900,5286.6,5295,5267,5286,115981
2026-05-25,12:15:00,1779691500,5286.3,5327,5284.3,5315.2,154635
2026-05-25,13:15:00,1779695100,5317.4,5325,5295,5309.5,195466
2026-05-25,14:15:00,1779698700,5309.3,5318,5285,5286.9,221900
2026-05-25,15:15:00,1779702300,5285.5,5296.8,5270.1,5289,239037
2026-05-26,09:15:00,1779767100,5289.6,5320,5267.2,5314.2,44160
2026-05-26,10:15:00,1779770700,5314,5324.5,5300,5300.5,72377
2026-05-26,11:15:00,1779774300,5300.7,5318.4,5294,5301,90528
2026-05-26,12:15:00,1779777900,5300.1,5328.9,5282.2,5288.2,151988
2026-05-26,13:15:00,1779781500,5287.2,5299.9,5282.1,5288.4,179304
2026-05-26,14:15:00,1779785100,5287.4,5313,5284.9,5301.6,220447
2026-05-26,15:15:00,1779788700,5301.8,5320,5299.9,5320,239480
2026-05-27,09:15:00,1779853500,5320,5420,5310,5398.2,104377
2026-05-27,10:15:00,1779857100,5398.1,5435.3,5390.4,5427.8,142968
2026-05-27,11:15:00,1779860700,5429.3,5454,5392.5,5414.7,204118
2026-05-27,12:15:00,1779864300,5412.1,5440,5407.6,5428.4,221954
2026-05-27,13:15:00,1779867900,5427.9,5444.4,5411.1,5435.4,255004
2026-05-27,14:15:00,1779871500,5433.3,5454,5425,5454,302367
2026-05-27,15:15:00,1779875100,5452.3,5452.8,5435.2,5448,328145
2026-05-29,09:15:00,1780026300,5474.9,5474.9,5316.7,5328.7,94378
2026-05-29,10:15:00,1780029900,5329.1,5387,5315.2,5375.2,145628
2026-05-29,11:15:00,1780033500,5373.6,5394.8,5370,5372,167079
2026-05-29,12:15:00,1780037100,5374.7,5390,5341.7,5342.4,183774
2026-05-29,13:15:00,1780040700,5341.7,5369.6,5330.3,5363.5,208544
2026-05-29,14:15:00,1780044300,5363.2,5377,5243.3,5258.2,293221
2026-05-29,15:15:00,1780047900,5258.5,5309.6,5236,5290,348712
