Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,778,791.1,778,789.9,47462
2026-05-29,09:16:00,1780026360,790.65,790.65,788.1,788.6,59781
2026-05-29,09:17:00,1780026420,788.4,790.8,788.4,790.05,76063
2026-05-29,09:18:00,1780026480,791.6,792.05,786.65,787.25,94865
2026-05-29,09:19:00,1780026540,787,787.7,786,787,106807
2026-05-29,09:20:00,1780026600,787.45,788.05,786.7,786.85,112732
2026-05-29,09:21:00,1780026660,786.8,786.8,781.75,781.75,130748
2026-05-29,09:22:00,1780026720,781,781.9,780.3,781.9,136143
2026-05-29,09:23:00,1780026780,780.3,781.15,780.3,781.15,142369
2026-05-29,09:24:00,1780026840,781.5,782.65,781.5,782.45,151985
2026-05-29,09:25:00,1780026900,783.1,783.55,779.45,779.45,159274
2026-05-29,09:26:00,1780026960,779.65,779.65,776.9,778,172794
2026-05-29,09:27:00,1780027020,778.05,778.75,777.65,777.7,178123
2026-05-29,09:28:00,1780027080,777.65,777.85,775.65,776.05,182157
2026-05-29,09:29:00,1780027140,775.2,775.2,773.55,774.45,195907
2026-05-29,09:30:00,1780027200,773.6,773.9,772.2,772.6,202879
2026-05-29,09:31:00,1780027260,772.95,773.45,772.2,772.5,207742
2026-05-29,09:32:00,1780027320,772.75,772.8,771.05,771.35,218448
2026-05-29,09:33:00,1780027380,771.7,773.95,771.25,773.95,232618
2026-05-29,09:34:00,1780027440,773.4,774.2,773.15,773.7,235040
2026-05-29,09:35:00,1780027500,773.95,775.6,773.95,775.6,241009
2026-05-29,09:36:00,1780027560,775.8,777,775.5,776.9,247271
2026-05-29,09:37:00,1780027620,777,777.6,777,777.5,251853
2026-05-29,09:38:00,1780027680,778.5,778.65,777.35,778.05,262065
2026-05-29,09:39:00,1780027740,778.45,778.65,777.4,777.4,267097
2026-05-29,09:40:00,1780027800,777.65,778.4,777.3,777.85,268552
2026-05-29,09:41:00,1780027860,777.55,778.95,777.55,778.15,271375
2026-05-29,09:42:00,1780027920,777.75,778.95,777.35,778.65,277687
2026-05-29,09:43:00,1780027980,778.9,778.9,777.3,777.3,279291
2026-05-29,09:44:00,1780028040,777.05,778,775.75,776.2,285444
2026-05-29,09:45:00,1780028100,775.75,777.3,775.2,777.3,289068
2026-05-29,09:46:00,1780028160,777.35,777.65,776.35,777.45,290873
2026-05-29,09:47:00,1780028220,777.3,777.85,777.2,777.2,291924
2026-05-29,09:48:00,1780028280,777.3,778.35,776.8,778,296386
2026-05-29,09:49:00,1780028340,777.5,778.4,776.85,778.4,297375
2026-05-29,09:50:00,1780028400,778.5,778.85,777.95,778.85,300545
2026-05-29,09:51:00,1780028460,779.1,779.45,778,778.2,303520
2026-05-29,09:52:00,1780028520,777.8,777.8,776.6,776.9,304793
2026-05-29,09:53:00,1780028580,776.85,779,776.85,778.95,308856
2026-05-29,09:54:00,1780028640,778.6,778.75,777.55,777.6,309977
2026-05-29,09:55:00,1780028700,777.8,778,776.75,777.55,314540
2026-05-29,09:56:00,1780028760,777.85,778,777.35,777.75,316820
2026-05-29,09:57:00,1780028820,777.6,778.4,777.2,777.55,318300
2026-05-29,09:58:00,1780028880,777.4,778.4,777.4,778.4,319797
2026-05-29,09:59:00,1780028940,778.3,778.3,777.4,777.65,321306
2026-05-29,10:00:00,1780029000,778.05,778.95,778,778.1,324291
2026-05-29,10:01:00,1780029060,778.05,778.9,777.6,778.9,325572
2026-05-29,10:02:00,1780029120,778.7,779.9,778.5,779.4,328427
2026-05-29,10:03:00,1780029180,779.5,780,779.3,779.5,330024
2026-05-29,10:04:00,1780029240,779.7,780.7,779.7,780.45,331640
2026-05-29,10:05:00,1780029300,780.25,781.25,780.25,780.6,335067
2026-05-29,10:06:00,1780029360,781.1,781.3,779.7,780.55,338254
2026-05-29,10:07:00,1780029420,780.35,781.55,780.1,781.05,342023
2026-05-29,10:08:00,1780029480,781.45,782.25,781.45,782.2,345006
2026-05-29,10:09:00,1780029540,782,782.2,780.9,781.5,348675
2026-05-29,10:10:00,1780029600,781.7,782.7,781.05,782.7,358173
2026-05-29,10:11:00,1780029660,781.85,782.05,780.6,781.05,362197
2026-05-29,10:12:00,1780029720,781,781.8,780.5,780.75,363419
2026-05-29,10:13:00,1780029780,780.4,780.75,779.15,779.8,366809
2026-05-29,10:14:00,1780029840,779.9,780.7,779.8,780.5,369329
2026-05-29,10:15:00,1780029900,780.4,780.5,780.15,780.5,369905
2026-05-29,10:16:00,1780029960,780.2,780.5,780.15,780.35,371014
2026-05-29,10:17:00,1780030020,780.65,781.55,780.65,781.5,372297
2026-05-29,10:18:00,1780030080,781.45,782.35,781.05,782,375837
2026-05-29,10:19:00,1780030140,782.15,782.2,781.15,781.35,380256
2026-05-29,10:20:00,1780030200,781,781.35,780.35,780.65,384055
2026-05-29,10:21:00,1780030260,780.75,781.1,780,780,387047
2026-05-29,10:22:00,1780030320,780.15,780.15,779.3,779.85,390731
2026-05-29,10:23:00,1780030380,779.65,780.75,779.35,780.35,391718
2026-05-29,10:24:00,1780030440,780.8,780.8,779.25,779.7,393131
2026-05-29,10:25:00,1780030500,779.65,779.7,778.55,778.65,398222
2026-05-29,10:26:00,1780030560,778.8,780,778.7,779.95,398745
2026-05-29,10:27:00,1780030620,779.9,780.2,779.15,779.55,399479
2026-05-29,10:28:00,1780030680,779.8,779.8,778.15,778.95,403213
2026-05-29,10:29:00,1780030740,778.65,778.95,778.25,778.65,404187
2026-05-29,10:30:00,1780030800,778.55,778.85,777.4,777.7,410176
2026-05-29,10:31:00,1780030860,777.45,778.25,777.35,777.9,411870
2026-05-29,10:32:00,1780030920,777.85,777.85,777.35,777.65,413463
2026-05-29,10:33:00,1780030980,777.55,778.6,777.1,778.2,417057
2026-05-29,10:34:00,1780031040,778.05,778.65,777.95,778.65,417588
2026-05-29,10:35:00,1780031100,778.7,779.45,778.5,779.45,418320
2026-05-29,10:36:00,1780031160,779.15,779.8,778.1,778.75,420219
2026-05-29,10:37:00,1780031220,778.85,779.6,778.8,778.8,421244
2026-05-29,10:38:00,1780031280,778.75,778.8,778,778.1,422451
2026-05-29,10:39:00,1780031340,778.4,778.95,778.05,778.9,425217
2026-05-29,10:40:00,1780031400,778.75,779.85,777.65,779.8,441406
2026-05-29,10:41:00,1780031460,779.9,781.05,779.5,781,445786
2026-05-29,10:42:00,1780031520,781.35,782,781,781.45,450200
2026-05-29,10:43:00,1780031580,781.2,781.45,781.05,781.45,450333
2026-05-29,10:44:00,1780031640,781.2,781.6,781.2,781.55,452448
2026-05-29,10:45:00,1780031700,781.85,782.95,781.3,782.6,461500
2026-05-29,10:46:00,1780031760,782.85,782.9,782.25,782.3,462439
2026-05-29,10:47:00,1780031820,782.15,782.5,781.9,781.9,466098
2026-05-29,10:48:00,1780031880,782,782.3,781.7,782,467364
2026-05-29,10:49:00,1780031940,781.65,782.2,781.65,782,468459
2026-05-29,10:50:00,1780032000,782.05,782.05,781.7,782,470210
2026-05-29,10:51:00,1780032060,782.4,783,782.05,782.9,476099
2026-05-29,10:52:00,1780032120,782.8,782.8,781.7,781.75,476821
2026-05-29,10:53:00,1780032180,782,782.5,781.9,782.3,481776
2026-05-29,10:54:00,1780032240,782.25,782.55,781.65,781.95,486865
2026-05-29,10:55:00,1780032300,781.8,782.2,781.4,781.4,489375
2026-05-29,10:56:00,1780032360,781.65,781.75,781.4,781.75,489786
2026-05-29,10:57:00,1780032420,781.4,781.9,781.4,781.65,490703
2026-05-29,10:58:00,1780032480,781.4,781.65,781.4,781.6,491075
2026-05-29,10:59:00,1780032540,781.4,781.9,781.4,781.4,492057
2026-05-29,11:00:00,1780032600,781.8,783.5,781.8,783.3,498408
2026-05-29,11:01:00,1780032660,783.2,783.45,782.95,783.25,498904
2026-05-29,11:02:00,1780032720,783.05,783.35,782.85,783.3,499565
