Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,700,708.7,690.25,706.85,210027
2025-12-04,00:00:00,1764786600,704.75,712,695.55,706.55,346152
2025-12-05,00:00:00,1764873000,705,710,696.55,704,166831
2025-12-08,00:00:00,1765132200,711,711,670,676.65,536626
2025-12-09,00:00:00,1765218600,672,680.95,663.85,677.2,602502
2025-12-10,00:00:00,1765305000,679.75,688,661,663.2,305509
2025-12-11,00:00:00,1765391400,667.4,667.45,652.15,658.2,645005
2025-12-12,00:00:00,1765477800,660,667.9,655,662.55,257010
2025-12-15,00:00:00,1765737000,660.3,671.9,648.8,670.1,300418
2025-12-16,00:00:00,1765823400,673.05,673.35,655,656.25,481682
2025-12-17,00:00:00,1765909800,655,660.1,644.35,645.25,216630
2025-12-18,00:00:00,1765996200,643,645.2,633,634.25,372280
2025-12-19,00:00:00,1766082600,634,645.95,632.75,639.3,341242
2025-12-22,00:00:00,1766341800,648.5,663,640,642.35,691467
2025-12-23,00:00:00,1766428200,642.1,644.4,637.7,640.8,280050
2025-12-24,00:00:00,1766514600,641,642.65,627,629.85,717376
2025-12-26,00:00:00,1766687400,629.6,634.2,624.2,626.25,249232
2025-12-29,00:00:00,1766946600,629,631.15,611.8,614,366301
2025-12-30,00:00:00,1767033000,614,615.45,599.85,601.85,511017
2025-12-31,00:00:00,1767119400,600,616,600,608.6,262888
2026-01-01,00:00:00,1767205800,610.5,622,606.1,616.1,204789
2026-01-02,00:00:00,1767292200,619.25,637.9,616.8,632.25,353541
2026-01-05,00:00:00,1767551400,630.95,660.1,630.35,653.6,647314
2026-01-06,00:00:00,1767637800,652.45,667.15,625,629.05,657051
2026-01-07,00:00:00,1767724200,625.8,630,622.5,625.35,723663
2026-01-08,00:00:00,1767810600,628.4,628.4,606.15,609.15,326382
2026-01-09,00:00:00,1767897000,610,626.8,604.25,620.15,681980
2026-01-12,00:00:00,1768156200,620.05,622.45,608,613.8,233154
2026-01-13,00:00:00,1768242600,619,623.9,615,622.85,200017
2026-01-14,00:00:00,1768329000,622,631,616.15,623.6,151942
2026-01-16,00:00:00,1768501800,626.4,627.8,611.55,614.25,188192
2026-01-19,00:00:00,1768761000,611,613,605.35,611.05,206045
2026-01-20,00:00:00,1768847400,611.9,618.8,609,617,298659
2026-01-21,00:00:00,1768933800,610,613.9,602,609.65,1020655
2026-01-22,00:00:00,1769020200,610.1,613.6,594.6,597.65,202344
2026-01-23,00:00:00,1769106600,603.3,603.3,580,582.1,150634
2026-01-27,00:00:00,1769452200,577.95,618.5,575.8,615,724790
