Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,555.2,559.45,555.2,555.8,36790
2026-05-04,09:20:00,1777866600,556.35,558.5,556.35,558,48284
2026-05-04,09:25:00,1777866900,558.05,559.5,558.05,559.2,66690
2026-05-04,09:30:00,1777867200,559.5,560.5,559.05,559.35,84501
2026-05-04,09:35:00,1777867500,559.65,561.8,559.65,561.35,107913
2026-05-04,09:40:00,1777867800,561.45,561.65,559.75,559.75,115250
2026-05-04,09:45:00,1777868100,559.95,561,559.95,560.5,124129
2026-05-04,09:50:00,1777868400,560.25,560.5,558.8,559.3,140337
2026-05-04,09:55:00,1777868700,559.2,560.15,558.35,559.8,152512
2026-05-04,10:00:00,1777869000,559.9,560.5,559.45,559.6,156041
2026-05-04,10:05:00,1777869300,559.55,560.3,558.3,558.55,162224
2026-05-04,10:10:00,1777869600,558.8,559.35,557.6,557.65,169331
2026-05-04,10:15:00,1777869900,557.75,558.3,557.5,558.1,176795
2026-05-04,10:20:00,1777870200,558,558.5,557,557.35,185746
2026-05-04,10:25:00,1777870500,557.4,559.55,557.4,559.2,192234
2026-05-04,10:30:00,1777870800,559.3,560,558.6,559,198635
2026-05-04,10:35:00,1777871100,559.1,559.4,558.25,558.3,202212
2026-05-04,10:40:00,1777871400,558.5,558.55,557.65,557.95,208015
2026-05-04,10:45:00,1777871700,557.85,558.45,557.6,558.1,213899
2026-05-04,10:50:00,1777872000,557.75,558.35,557.05,557.2,222779
2026-05-04,10:55:00,1777872300,557,557.2,556.3,556.5,238295
2026-05-04,11:00:00,1777872600,556.4,557.5,556.1,557.3,256550
2026-05-04,11:05:00,1777872900,557.4,558.3,557.2,557.65,266659
2026-05-04,11:10:00,1777873200,557.45,558.55,557.4,558.55,269227
2026-05-04,11:15:00,1777873500,558.65,559.1,558.05,558.25,273000
2026-05-04,11:20:00,1777873800,558.45,559.2,558.3,559.1,277777
2026-05-04,11:25:00,1777874100,558.8,559.2,558.6,559,279738
2026-05-04,11:30:00,1777874400,559.25,559.25,558.55,558.85,283872
2026-05-04,11:35:00,1777874700,558.8,559.35,558.7,559.1,289394
2026-05-04,11:40:00,1777875000,558.9,559.5,558.85,559.5,294296
2026-05-04,11:45:00,1777875300,559.6,560,559.3,559.6,300480
2026-05-04,11:50:00,1777875600,559.45,559.85,559.2,559.4,305960
2026-05-04,11:55:00,1777875900,559.25,559.4,558.75,559.1,308881
2026-05-04,12:00:00,1777876200,559.3,559.4,558.75,559,315101
2026-05-04,12:05:00,1777876500,559.05,559.05,557.5,558.45,320588
2026-05-04,12:10:00,1777876800,558.35,558.75,557,557,327457
2026-05-04,12:15:00,1777877100,556.8,557.5,556.45,557.5,330394
2026-05-04,12:20:00,1777877400,557.65,558,557.1,557.5,335096
2026-05-04,12:25:00,1777877700,557.35,558.2,557.2,557.75,339929
2026-05-04,12:30:00,1777878000,557.7,557.75,556.65,556.65,345408
2026-05-04,12:35:00,1777878300,556.5,557.5,556.15,557.5,349345
2026-05-04,12:40:00,1777878600,557.55,557.8,555.6,555.9,360636
2026-05-04,12:45:00,1777878900,555.95,557.05,554.3,554.35,368552
2026-05-04,12:50:00,1777879200,554.5,555,554.5,554.9,372960
2026-05-04,12:55:00,1777879500,554.95,555,554.15,554.4,376048
2026-05-04,13:00:00,1777879800,554.25,554.9,554.2,554.4,376965
2026-05-04,13:05:00,1777880100,554.5,554.7,554.1,554.55,377467
2026-05-04,13:10:00,1777880400,554.6,554.9,554.3,554.3,379215
2026-05-04,13:15:00,1777880700,554.65,554.85,554,554.3,381349
2026-05-04,13:20:00,1777881000,554.4,554.4,553.65,554.25,384786
2026-05-04,13:25:00,1777881300,554,554,552.15,552.45,396335
2026-05-04,13:30:00,1777881600,552.5,552.9,551.75,552.25,406660
2026-05-04,13:35:00,1777881900,552,552.15,551.25,551.9,413424
2026-05-04,13:40:00,1777882200,552.05,554.35,551.9,554.15,421418
2026-05-04,13:45:00,1777882500,554.1,554.4,553.55,554.15,422369
2026-05-04,13:50:00,1777882800,554.4,555,553.85,554.05,432438
2026-05-04,13:55:00,1777883100,554.25,554.75,553.55,554.55,444308
2026-05-04,14:00:00,1777883400,554.7,555.1,554,555,452709
2026-05-04,14:05:00,1777883700,555.15,555.65,555,555.2,456462
2026-05-04,14:10:00,1777884000,555.4,557.05,555.35,556.95,469146
2026-05-04,14:15:00,1777884300,557.15,557.45,556.2,557.1,488624
2026-05-04,14:20:00,1777884600,557.35,557.8,556.25,556.55,526954
2026-05-04,14:25:00,1777884900,556.35,556.4,555.45,556.05,534578
2026-05-04,14:30:00,1777885200,556.15,556.65,555.15,555.8,545833
2026-05-04,14:35:00,1777885500,555.7,556.4,555.2,556.4,547032
2026-05-04,14:40:00,1777885800,556.3,557,555.15,556.75,554254
2026-05-04,14:45:00,1777886100,556.25,556.65,555.75,556.1,558407
2026-05-04,14:50:00,1777886400,556,556.3,555.1,555.95,572829
2026-05-04,14:55:00,1777886700,555.75,556.2,555.05,555.4,584619
2026-05-04,15:00:00,1777887000,555.55,556.5,555.05,556.5,596287
2026-05-04,15:05:00,1777887300,556.25,557.6,556.25,557.1,607631
2026-05-04,15:10:00,1777887600,557.25,557.85,557.1,557.35,617773
2026-05-04,15:15:00,1777887900,557.3,557.5,556.4,557.4,637067
2026-05-04,15:20:00,1777888200,557.2,557.4,556.6,557,658638
2026-05-04,15:25:00,1777888500,556.85,558.1,556.15,556.15,690698
2026-05-05,09:15:00,1777952700,557.4,557.55,552.05,553.2,26489
2026-05-05,09:20:00,1777953000,553.4,554.3,552.5,553.45,42253
2026-05-05,09:25:00,1777953300,553.85,553.9,552.15,552.6,68549
2026-05-05,09:30:00,1777953600,552.8,553.25,551.35,552.5,86280
2026-05-05,09:35:00,1777953900,552.2,553.25,550.6,551.45,117730
2026-05-05,09:40:00,1777954200,551.15,556.6,550.85,556.6,148221
2026-05-05,09:45:00,1777954500,556.25,556.7,555.3,555.9,161172
2026-05-05,09:50:00,1777954800,555.95,556.6,554.85,555.6,175697
2026-05-05,09:55:00,1777955100,555.5,556,554.85,555.1,178612
2026-05-05,10:00:00,1777955400,555.45,555.9,555,555.6,185168
2026-05-05,10:05:00,1777955700,555.45,555.6,554.55,555.25,189738
2026-05-05,10:10:00,1777956000,555.2,555.2,553.7,553.9,195225
2026-05-05,10:15:00,1777956300,553.6,554.2,552.8,553.15,200915
2026-05-05,10:20:00,1777956600,553.55,554,553.15,554,203071
2026-05-05,10:25:00,1777956900,553.8,554.2,553.15,553.5,208599
2026-05-05,10:30:00,1777957200,553.65,553.8,553.15,553.5,212966
2026-05-05,10:35:00,1777957500,553.45,553.7,552.25,552.5,220252
2026-05-05,10:40:00,1777957800,552.25,552.85,552.1,552.2,229367
2026-05-05,10:45:00,1777958100,552.5,553.3,552.2,553.3,231771
2026-05-05,10:50:00,1777958400,552.5,553,552.4,552.65,232891
2026-05-05,10:55:00,1777958700,552.5,552.9,552.3,552.3,233592
2026-05-05,11:00:00,1777959000,552.65,553.9,552.65,553.6,238810
2026-05-05,11:05:00,1777959300,553.2,553.9,552.55,553.65,245998
2026-05-05,11:10:00,1777959600,553.6,553.65,553.25,553.25,251555
2026-05-05,11:15:00,1777959900,553,554.05,553,553.25,255023
2026-05-05,11:20:00,1777960200,553,553.4,553,553.05,257422
2026-05-05,11:25:00,1777960500,553.05,553.55,552.5,552.5,258686
2026-05-05,11:30:00,1777960800,552.6,553.9,552.1,553.85,264155
2026-05-05,11:35:00,1777961100,553.4,553.45,553.1,553.35,264250
2026-05-05,11:40:00,1777961400,553,553.3,552.55,552.85,264578
2026-05-05,11:45:00,1777961700,552.65,552.9,552.1,552.35,266089
2026-05-05,11:50:00,1777962000,552.3,552.5,551.3,551.6,268770
2026-05-05,11:55:00,1777962300,551.5,551.85,551.1,551.6,271152
2026-05-05,12:00:00,1777962600,551.5,551.5,550.75,551.4,274921
2026-05-05,12:05:00,1777962900,551.45,551.75,551.25,551.7,276155
2026-05-05,12:10:00,1777963200,551.4,552.55,551.4,552.5,279825
2026-05-05,12:15:00,1777963500,552.45,552.95,552.35,552.8,281554
2026-05-05,12:20:00,1777963800,552.95,554,552.95,553.45,285205
2026-05-05,12:25:00,1777964100,553.5,553.55,552.9,553.4,286440
2026-05-05,12:30:00,1777964400,553.1,553.4,552.55,553.15,287357
2026-05-05,12:35:00,1777964700,552.85,555.45,552.8,555.15,293470
2026-05-05,12:40:00,1777965000,555.1,555.1,553.85,554.05,305235
2026-05-05,12:45:00,1777965300,554,554.45,553.25,554.15,307963
2026-05-05,12:50:00,1777965600,553.9,554.75,553.9,554.3,310401
2026-05-05,12:55:00,1777965900,554.35,555.35,554.05,554.85,312792
2026-05-05,13:00:00,1777966200,554.65,554.7,554.35,554.5,313185
2026-05-05,13:05:00,1777966500,554.3,555.45,554.05,554.7,320175
2026-05-05,13:10:00,1777966800,555,555,554.15,555,324103
2026-05-05,13:15:00,1777967100,555.45,555.55,554.25,555.3,339963
2026-05-05,13:20:00,1777967400,554.9,556,554.9,555.9,353199
2026-05-05,13:25:00,1777967700,555.85,556,555.5,555.9,357493
2026-05-05,13:30:00,1777968000,555.85,556.2,555.5,555.7,363272
2026-05-05,13:35:00,1777968300,555.65,556,555.65,555.85,363355
2026-05-05,13:40:00,1777968600,555.6,556.2,555.6,555.85,364562
2026-05-05,13:45:00,1777968900,556,556.5,555.75,556.25,367340
2026-05-05,13:50:00,1777969200,556,556.3,555.5,555.6,369174
2026-05-05,13:55:00,1777969500,555.5,556.65,555.5,555.5,371562
2026-05-05,14:00:00,1777969800,555.75,556.55,555.55,556.1,376352
2026-05-05,14:05:00,1777970100,556,556.35,555.65,556.15,379204
2026-05-05,14:10:00,1777970400,555.75,557.5,555.4,557.05,399772
2026-05-05,14:15:00,1777970700,557.15,558,556.7,557.55,409407
2026-05-05,14:20:00,1777971000,557.85,559.3,557.7,559.1,432214
2026-05-05,14:25:00,1777971300,559.25,559.25,558.65,558.9,433932
2026-05-05,14:30:00,1777971600,559,559.4,558.45,558.7,445404
2026-05-05,14:35:00,1777971900,558.75,559.4,558.5,559.4,452395
2026-05-05,14:40:00,1777972200,559.15,560.2,558.6,560,470654
2026-05-05,14:45:00,1777972500,559.7,559.95,559.7,559.7,503230
2026-05-05,14:50:00,1777972800,559.85,560.1,559.45,560,530243
2026-05-05,14:55:00,1777973100,560.1,560.7,559.9,560.55,589463
2026-05-05,15:00:00,1777973400,560.25,560.5,559.15,559.15,634639
2026-05-05,15:05:00,1777973700,559.6,559.6,558.4,559.15,659692
2026-05-05,15:10:00,1777974000,559.1,559.25,556.95,557.05,691928
2026-05-05,15:15:00,1777974300,557.55,558,556.9,557,728155
2026-05-05,15:20:00,1777974600,557.4,557.8,556.6,557.05,764215
2026-05-05,15:25:00,1777974900,556.5,557.85,556.35,557.15,790869
2026-05-06,09:15:00,1778039100,560.7,572.75,560.05,567.15,200750
2026-05-06,09:20:00,1778039400,567.1,572.6,566.45,569.85,342089
2026-05-06,09:25:00,1778039700,570.15,571.6,569.8,571,411661
2026-05-06,09:30:00,1778040000,571.15,571.25,569.75,570.15,446079
2026-05-06,09:35:00,1778040300,570.4,573.9,570.2,573.35,554348
2026-05-06,09:40:00,1778040600,573,575.5,572.5,573.4,707034
2026-05-06,09:45:00,1778040900,573.3,578.4,573,577.1,855073
2026-05-06,09:50:00,1778041200,576.95,577.7,575.15,575.6,961399
2026-05-06,09:55:00,1778041500,575.9,577.35,575.5,576.75,1020136
2026-05-06,10:00:00,1778041800,577.25,581,577.25,578.1,1279506
2026-05-06,10:05:00,1778042100,578.4,578.85,575.65,578.5,1380472
2026-05-06,10:10:00,1778042400,578.85,580.25,577.35,578.15,1456991
2026-05-06,10:15:00,1778042700,578,578.9,576.6,577.15,1493206
2026-05-06,10:20:00,1778043000,577.2,580.35,577.2,579.8,1546655
2026-05-06,10:25:00,1778043300,579.4,580.85,579.25,579.75,1588388
2026-05-06,10:30:00,1778043600,579.25,581.5,579.2,580,1659248
2026-05-06,10:35:00,1778043900,580.25,580.35,579.35,579.85,1703276
2026-05-06,10:40:00,1778044200,579.5,580.2,579.2,579.45,1753235
2026-05-06,10:45:00,1778044500,579.4,580.8,578.7,579.5,1805779
2026-05-06,10:50:00,1778044800,579.25,580,579,579.8,1839944
2026-05-06,10:55:00,1778045100,579.6,580.6,579.25,579.65,1906023
2026-05-06,11:00:00,1778045400,579.7,581.65,579.45,581,1960635
2026-05-06,11:05:00,1778045700,581.15,581.5,580.8,581.45,1995730
2026-05-06,11:10:00,1778046000,581.5,581.6,579.8,580.3,2041105
2026-05-06,11:15:00,1778046300,580.45,580.85,579.8,580.7,2090815
2026-05-06,11:20:00,1778046600,580.65,580.65,579.65,580,2114622
2026-05-06,11:25:00,1778046900,579.65,580.3,579.65,580.05,2129064
2026-05-06,11:30:00,1778047200,580,581,580,580.5,2155827
