Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,1864.9,1864.9,1830,1833.4,13245
2026-05-29,09:16:00,1780026360,1834.2,1846.2,1831.3,1841.3,17184
2026-05-29,09:17:00,1780026420,1842.3,1844,1831.8,1831.8,18848
2026-05-29,09:18:00,1780026480,1833.2,1837.8,1833.2,1837.8,20649
2026-05-29,09:19:00,1780026540,1836.5,1839.3,1836.2,1836.2,21977
2026-05-29,09:20:00,1780026600,1836.3,1836.7,1836.3,1836.7,22636
2026-05-29,09:21:00,1780026660,1837.9,1839.3,1836.7,1839.3,24739
2026-05-29,09:22:00,1780026720,1836.8,1836.8,1833.7,1834,28252
2026-05-29,09:23:00,1780026780,1831.7,1836.7,1831.7,1832.1,31823
2026-05-29,09:24:00,1780026840,1832.4,1832.4,1829.3,1829.3,35716
2026-05-29,09:25:00,1780026900,1830.6,1831,1829,1830.1,38149
2026-05-29,09:26:00,1780026960,1830,1831.3,1829.3,1830.3,39653
2026-05-29,09:27:00,1780027020,1830.5,1830.5,1829.3,1830,40667
2026-05-29,09:28:00,1780027080,1829.8,1830.2,1826.3,1826.3,41733
2026-05-29,09:29:00,1780027140,1825,1830,1825,1827.6,46494
2026-05-29,09:30:00,1780027200,1827.5,1833.3,1827.5,1831,49989
2026-05-29,09:31:00,1780027260,1831.8,1833.2,1830.5,1831.8,50482
2026-05-29,09:32:00,1780027320,1830.6,1832,1830.5,1831,51181
2026-05-29,09:33:00,1780027380,1830,1836.5,1828.5,1836.5,54379
2026-05-29,09:34:00,1780027440,1835.3,1837,1833,1833,55973
2026-05-29,09:35:00,1780027500,1833.3,1834.8,1831.5,1832.4,57293
2026-05-29,09:36:00,1780027560,1834,1837,1834,1836.1,57808
2026-05-29,09:37:00,1780027620,1835.1,1837.2,1835.1,1836,58001
2026-05-29,09:38:00,1780027680,1835.5,1836,1832.1,1832.6,59110
2026-05-29,09:39:00,1780027740,1832.2,1833.8,1830,1830.6,60623
2026-05-29,09:40:00,1780027800,1830.7,1832.6,1828.5,1829,63108
2026-05-29,09:41:00,1780027860,1830,1830,1825.7,1825.7,64571
2026-05-29,09:42:00,1780027920,1826.5,1827.7,1825.7,1826.1,65618
2026-05-29,09:43:00,1780027980,1827.9,1827.9,1823.2,1823.4,68054
2026-05-29,09:44:00,1780028040,1822.6,1824.3,1822.2,1822.2,68756
