Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,781,781.75,775.35,778.2,38464
2026-05-04,09:20:00,1777866600,779,784,778.85,780.2,59509
2026-05-04,09:25:00,1777866900,780.25,783.95,780,782.95,67535
2026-05-04,09:30:00,1777867200,783.2,784.8,782.65,782.9,77416
2026-05-04,09:35:00,1777867500,783.05,784.3,781.6,781.8,88425
2026-05-04,09:40:00,1777867800,781.95,782.5,781.1,781.9,93201
2026-05-04,09:45:00,1777868100,781.85,786.45,781.85,785.45,105265
2026-05-04,09:50:00,1777868400,785.7,785.7,782.5,783,117725
2026-05-04,09:55:00,1777868700,783.2,783.7,782.6,782.85,121380
2026-05-04,10:00:00,1777869000,782.95,783.75,782,782.15,125133
2026-05-04,10:05:00,1777869300,781.85,784.15,781.85,783.5,133838
2026-05-04,10:10:00,1777869600,783.85,784.35,783.25,783.25,139445
2026-05-04,10:15:00,1777869900,782.95,784.95,782.95,783.55,147376
2026-05-04,10:20:00,1777870200,783.45,783.85,782.05,782.05,156761
2026-05-04,10:25:00,1777870500,782,782.6,781,782.1,175563
2026-05-04,10:30:00,1777870800,782.25,783.2,782,782.9,182443
2026-05-04,10:35:00,1777871100,782.6,784,782.35,783.95,189127
2026-05-04,10:40:00,1777871400,784,784.05,783.25,784.05,194281
2026-05-04,10:45:00,1777871700,784,785.05,783.8,784.25,198811
2026-05-04,10:50:00,1777872000,784.35,785.5,784.25,784.55,202541
2026-05-04,10:55:00,1777872300,784.75,784.75,782.95,783.95,224118
2026-05-04,11:00:00,1777872600,783.85,784.55,782.35,782.85,242237
2026-05-04,11:05:00,1777872900,782.9,783.5,782.55,783.5,249155
2026-05-04,11:10:00,1777873200,783.1,784.6,783,783.4,253589
2026-05-04,11:15:00,1777873500,783.45,786.6,782.45,785.5,408044
2026-05-04,11:20:00,1777873800,785.45,785.9,783.1,784.9,426729
2026-05-04,11:25:00,1777874100,785.3,785.8,784.5,785.35,432670
2026-05-04,11:30:00,1777874400,785.45,786,785.15,785.45,435546
2026-05-04,11:35:00,1777874700,785.25,785.5,783.95,783.95,442082
2026-05-04,11:40:00,1777875000,784.15,784.3,783.05,783.1,444971
2026-05-04,11:45:00,1777875300,783.05,784.15,783,783.5,447543
2026-05-04,11:50:00,1777875600,783.45,784.35,783,783.15,452008
2026-05-04,11:55:00,1777875900,783.2,784.75,782.9,784.5,458905
2026-05-04,12:00:00,1777876200,784.65,784.75,784.35,784.5,462538
2026-05-04,12:05:00,1777876500,784.7,784.75,784.35,784.65,464711
2026-05-04,12:10:00,1777876800,784.75,784.75,782.15,782.85,477249
2026-05-04,12:15:00,1777877100,783.15,784.1,782.7,783.95,481876
2026-05-04,12:20:00,1777877400,784,784.7,783.8,784.15,486984
2026-05-04,12:25:00,1777877700,784.3,784.7,783.2,783.2,489836
2026-05-04,12:30:00,1777878000,783.15,783.8,782.8,782.8,494377
2026-05-04,12:35:00,1777878300,782.75,783.95,782.75,783.35,497827
2026-05-04,12:40:00,1777878600,783.2,784.35,783.05,784.05,501536
2026-05-04,12:45:00,1777878900,784,784.3,781.3,781.95,510272
2026-05-04,12:50:00,1777879200,781.9,782.4,781.6,782.05,514776
2026-05-04,12:55:00,1777879500,782,782.1,779.75,781.6,526231
2026-05-04,13:00:00,1777879800,781.65,783.65,781.65,782.15,530762
2026-05-04,13:05:00,1777880100,782.1,782.65,782.05,782.35,532210
2026-05-04,13:10:00,1777880400,782.6,783.1,782.35,782.65,533990
2026-05-04,13:15:00,1777880700,782.6,782.65,781.9,782.15,540061
2026-05-04,13:20:00,1777881000,782.4,782.4,781.85,782.1,542547
2026-05-04,13:25:00,1777881300,782,782.45,781.65,781.65,548710
2026-05-04,13:30:00,1777881600,781.5,781.9,780.9,781.5,550919
2026-05-04,13:35:00,1777881900,781.35,782.5,781.15,782.3,557346
2026-05-04,13:40:00,1777882200,782.25,784,782.25,783.6,559537
2026-05-04,13:45:00,1777882500,783.55,783.85,783.25,783.25,561313
2026-05-04,13:50:00,1777882800,783.35,783.65,783.25,783.25,562777
2026-05-04,13:55:00,1777883100,783.3,783.3,782,782.85,569934
2026-05-04,14:00:00,1777883400,782.75,783.05,782.25,782.75,571865
2026-05-04,14:05:00,1777883700,782.55,783.45,782.55,782.95,573926
2026-05-04,14:10:00,1777884000,783.2,783.9,783.05,783.65,575963
2026-05-04,14:15:00,1777884300,783.8,785.35,783.65,784.9,586066
2026-05-04,14:20:00,1777884600,784.95,785.2,783,784.05,594284
2026-05-04,14:25:00,1777884900,783.85,784.4,783.05,783.25,596247
2026-05-04,14:30:00,1777885200,783.35,784.5,782.8,783.8,613067
2026-05-04,14:35:00,1777885500,784.15,784.3,783.15,783.8,617722
2026-05-04,14:40:00,1777885800,784,784.05,782.75,783.1,627682
2026-05-04,14:45:00,1777886100,782.95,783.25,781.75,781.75,631253
2026-05-04,14:50:00,1777886400,781.85,784.3,781.35,784.05,646321
2026-05-04,14:55:00,1777886700,783.9,785.75,783.85,785.2,665835
2026-05-04,15:00:00,1777887000,785.25,785.9,784.25,785.5,688003
2026-05-04,15:05:00,1777887300,785.3,786.7,785.1,785.25,713040
2026-05-04,15:10:00,1777887600,785,785.25,783.45,783.5,733707
2026-05-04,15:15:00,1777887900,783.45,783.6,782.7,782.95,762989
2026-05-04,15:20:00,1777888200,782.8,786.75,782.5,786.45,824077
2026-05-04,15:25:00,1777888500,785.75,786.15,782.85,786,869412
2026-05-05,09:15:00,1777952700,789.05,790.45,785.85,788.95,48990
2026-05-05,09:20:00,1777953000,788.6,792.85,787.1,792.25,83420
2026-05-05,09:25:00,1777953300,791.75,792.65,789,790.95,135175
2026-05-05,09:30:00,1777953600,790.75,791.5,788.2,789.25,163860
2026-05-05,09:35:00,1777953900,789.35,790.65,787.75,787.75,184055
2026-05-05,09:40:00,1777954200,787.7,788.65,786.35,786.7,202101
2026-05-05,09:45:00,1777954500,786.55,788,786.3,787.9,212917
2026-05-05,09:50:00,1777954800,788,790.3,788,789.6,219723
2026-05-05,09:55:00,1777955100,789.7,790.65,789.6,790.1,228455
2026-05-05,10:00:00,1777955400,790.5,791.5,790.2,790.25,239184
2026-05-05,10:05:00,1777955700,790.4,790.9,789.95,790.9,251045
2026-05-05,10:10:00,1777956000,791,791,790,790.7,272470
2026-05-05,10:15:00,1777956300,791,791.3,790.35,791.2,287739
2026-05-05,10:20:00,1777956600,791,791.2,789.3,789.3,316200
2026-05-05,10:25:00,1777956900,789.75,789.95,789,789.65,332066
2026-05-05,10:30:00,1777957200,789.85,790,788.85,788.9,352357
2026-05-05,10:35:00,1777957500,789.05,789.1,786.1,786.65,378016
2026-05-05,10:40:00,1777957800,786.75,787.75,786.1,787.1,398680
2026-05-05,10:45:00,1777958100,787.35,787.65,785.55,786.55,414234
2026-05-05,10:50:00,1777958400,786.25,787.05,786,786.2,417694
2026-05-05,10:55:00,1777958700,786.35,787.3,786.15,787.15,423885
2026-05-05,11:00:00,1777959000,786.8,788.25,786.55,787.35,435901
2026-05-05,11:05:00,1777959300,786.9,787.05,785.55,786.45,467372
2026-05-05,11:10:00,1777959600,786.65,789,785.4,788.45,527883
2026-05-05,11:15:00,1777959900,788.75,791,788.35,790.45,541997
2026-05-05,11:20:00,1777960200,790.7,793.5,790.4,793.1,607530
2026-05-05,11:25:00,1777960500,793.5,796,793.15,794.45,658874
2026-05-05,11:30:00,1777960800,794.85,794.85,793,794,668783
2026-05-05,11:35:00,1777961100,793.65,793.95,791.85,793.25,683143
2026-05-05,11:40:00,1777961400,793.7,794.15,792.4,792.9,693337
2026-05-05,11:45:00,1777961700,793.1,793.5,791.8,792.1,702601
2026-05-05,11:50:00,1777962000,791.7,792.25,790.5,791.15,724603
2026-05-05,11:55:00,1777962300,791.05,793.1,790.6,793.1,736769
2026-05-05,12:00:00,1777962600,792.55,793.6,791.65,792.65,743222
2026-05-05,12:05:00,1777962900,792.95,792.95,791.8,792.45,746200
2026-05-05,12:10:00,1777963200,792.4,793,792,792.5,752511
2026-05-05,12:15:00,1777963500,792.75,793.05,792,792.4,757471
2026-05-05,12:20:00,1777963800,792.05,792.8,792,792.15,759923
2026-05-05,12:25:00,1777964100,792,792.15,791,791,764016
2026-05-05,12:30:00,1777964400,791.1,791.55,790.15,791.15,774492
2026-05-05,12:35:00,1777964700,791.6,791.7,790.65,791.05,780858
2026-05-05,12:40:00,1777965000,791.15,791.7,790.7,791.5,794484
2026-05-05,12:45:00,1777965300,791.55,791.55,790.9,791,800412
2026-05-05,12:50:00,1777965600,790.95,792.6,790.5,792.05,834702
2026-05-05,12:55:00,1777965900,791.7,793.45,791.7,792.55,841183
2026-05-05,13:00:00,1777966200,793.15,793.75,792.4,793.6,853260
2026-05-05,13:05:00,1777966500,792.75,793.75,792.4,792.7,898500
2026-05-05,13:10:00,1777966800,792.65,793.55,792.4,792.45,907724
2026-05-05,13:15:00,1777967100,792.55,793.45,792.55,793.4,913221
2026-05-05,13:20:00,1777967400,793.3,793.6,792.4,792.55,920977
2026-05-05,13:25:00,1777967700,792.9,792.95,789,789.85,937611
2026-05-05,13:30:00,1777968000,790.05,790.15,787.6,788.05,949423
2026-05-05,13:35:00,1777968300,788.1,789.1,788,789.1,955356
2026-05-05,13:40:00,1777968600,788.9,789.4,788.65,788.9,960658
2026-05-05,13:45:00,1777968900,789.1,793.35,788.35,788.85,1011212
2026-05-05,13:50:00,1777969200,789.75,789.75,760.85,763.9,1531881
2026-05-05,13:55:00,1777969500,764.1,769.95,762.75,766.5,1729193
2026-05-05,14:00:00,1777969800,766.3,778.05,765.95,776.1,2043506
2026-05-05,14:05:00,1777970100,775.95,785.75,770.1,784.9,2453076
2026-05-05,14:10:00,1777970400,784.15,784.65,778.1,781.85,2616566
2026-05-05,14:15:00,1777970700,781.55,788.7,780.1,784.7,2740159
2026-05-05,14:20:00,1777971000,785,790.45,784.05,787.6,2862589
2026-05-05,14:25:00,1777971300,787.7,788.8,785.15,786.2,2965808
2026-05-05,14:30:00,1777971600,786.5,790.15,785,789.55,3069275
2026-05-05,14:35:00,1777971900,789.2,796.3,789.2,796,3251684
2026-05-05,14:40:00,1777972200,795.9,803.7,794.7,801.5,3534740
2026-05-05,14:45:00,1777972500,801.3,805.2,798.4,803.55,3792553
2026-05-05,14:50:00,1777972800,803.4,806.85,803.3,805.05,3972979
2026-05-05,14:55:00,1777973100,805,807.75,803.5,807.4,4089628
2026-05-05,15:00:00,1777973400,807.2,808.45,805.1,807,4215070
2026-05-05,15:05:00,1777973700,806.95,808,805.3,805.85,4328173
2026-05-05,15:10:00,1777974000,805.5,808.7,804.95,808.05,4556635
2026-05-05,15:15:00,1777974300,808,810,806.2,807.5,4824608
2026-05-05,15:20:00,1777974600,807.1,808.7,805.55,807.75,5033864
2026-05-05,15:25:00,1777974900,807.8,810.5,806.9,810,5184583
2026-05-06,09:15:00,1778039100,826.2,843.15,825.8,839.75,726624
2026-05-06,09:20:00,1778039400,839.8,840.65,835.05,836.65,1008283
2026-05-06,09:25:00,1778039700,836.6,836.8,831,832.5,1204154
2026-05-06,09:30:00,1778040000,832.6,833,828.15,830.55,1393596
2026-05-06,09:35:00,1778040300,830.6,832,828.6,829,1475326
2026-05-06,09:40:00,1778040600,828.95,831.9,827.95,831.1,1590979
2026-05-06,09:45:00,1778040900,831.05,831.8,824.95,825.2,1704280
2026-05-06,09:50:00,1778041200,825.1,826.8,825,826.8,2339997
2026-05-06,09:55:00,1778041500,826.6,826.95,820.45,821.3,2437826
2026-05-06,10:00:00,1778041800,820.8,823.55,820.7,823.4,2478561
2026-05-06,10:05:00,1778042100,823.35,824.5,822.85,824.35,2500451
2026-05-06,10:10:00,1778042400,824.8,825.65,824.55,825.25,2541618
2026-05-06,10:15:00,1778042700,825.4,825.4,822.15,822.65,2597572
2026-05-06,10:20:00,1778043000,822.6,822.6,817.75,817.75,2678528
2026-05-06,10:25:00,1778043300,818.1,820,817.35,818.5,2719588
2026-05-06,10:30:00,1778043600,818.2,819.7,818.05,818.75,2743082
2026-05-06,10:35:00,1778043900,818.6,819.75,818.2,819.3,2765509
2026-05-06,10:40:00,1778044200,819.35,821.5,819.25,821.5,2805231
2026-05-06,10:45:00,1778044500,821.45,822.3,820.95,821.25,2837531
2026-05-06,10:50:00,1778044800,821.3,821.55,820.6,821.3,2857349
2026-05-06,10:55:00,1778045100,821.25,825.45,821.25,824.85,2926616
2026-05-06,11:00:00,1778045400,824.8,827.2,824.8,826,2967498
2026-05-06,11:05:00,1778045700,826.7,826.7,823.8,826.1,3013140
2026-05-06,11:10:00,1778046000,826.45,827,825.4,825.65,3034719
2026-05-06,11:15:00,1778046300,825.5,829.3,825.35,828,3077044
2026-05-06,11:20:00,1778046600,827.7,829,827.7,828.8,3111964
2026-05-06,11:25:00,1778046900,828.65,828.95,826.55,828.35,3158799
2026-05-06,11:30:00,1778047200,828.4,828.85,828,828.4,3179968
2026-05-06,11:35:00,1778047500,828.25,828.4,824,824.25,3266904
2026-05-06,11:40:00,1778047800,824.2,824.2,822.75,823.1,3300008
2026-05-06,11:45:00,1778048100,823.2,824.45,822.95,824,3325419
2026-05-06,11:50:00,1778048400,824.2,824.6,823.1,824.35,3344394
2026-05-06,11:55:00,1778048700,824.25,824.75,821,821.4,3381368
2026-05-06,12:00:00,1778049000,821.65,824.35,821,824.35,3405931
2026-05-06,12:05:00,1778049300,824.5,825.8,824.5,825.5,3434971
2026-05-06,12:10:00,1778049600,825.4,828,824.75,827.2,3507020
2026-05-06,12:15:00,1778049900,827.35,827.35,826.1,826.6,3533805
2026-05-06,12:20:00,1778050200,826.55,826.8,825.35,825.35,3564158
2026-05-06,12:25:00,1778050500,825.25,828,825.25,826.95,3609980
2026-05-06,12:30:00,1778050800,826.65,828.6,826.45,828.5,3652874
2026-05-06,12:35:00,1778051100,828.55,828.55,827.3,828,3694673
2026-05-06,12:40:00,1778051400,827.95,828.1,826.25,826.6,3730711
2026-05-06,12:45:00,1778051700,826.4,828.55,825.5,828.5,3768997
2026-05-06,12:50:00,1778052000,828.75,829.2,827.3,827.8,3810478
2026-05-06,12:55:00,1778052300,827.3,828.65,826.7,827.75,3837778
2026-05-06,13:00:00,1778052600,827.7,828.1,820.4,822.3,3957381
2026-05-06,13:05:00,1778052900,822,823.65,822,823.65,3983170
2026-05-06,13:10:00,1778053200,823.7,824.8,823.6,823.65,3997538
2026-05-06,13:15:00,1778053500,823.85,824.45,822.75,822.8,4031216
2026-05-06,13:20:00,1778053800,823.4,823.6,822.1,822.2,4052764
2026-05-06,13:25:00,1778054100,822.75,823,821.7,821.85,4092732
2026-05-06,13:30:00,1778054400,821.8,823,821.6,822,4113499
2026-05-06,13:35:00,1778054700,822.05,822.95,821.65,822.75,4139985
2026-05-06,13:40:00,1778055000,822.85,823,821.8,822.15,4164968
2026-05-06,13:45:00,1778055300,822.2,822.8,821.75,822.8,4184863
2026-05-06,13:50:00,1778055600,822.75,824.8,822.3,822.8,4246893
2026-05-06,13:55:00,1778055900,822.7,822.9,821.95,822.2,4265128
2026-05-06,14:00:00,1778056200,822.05,822.2,821.45,821.5,4284725
2026-05-06,14:05:00,1778056500,821.45,821.95,821.05,821.95,4308289
2026-05-06,14:10:00,1778056800,821.75,821.95,821.4,821.8,4322693
2026-05-06,14:15:00,1778057100,821.7,822,821,821.25,4359013
2026-05-06,14:20:00,1778057400,821.2,822,821.2,822,4432075
2026-05-06,14:25:00,1778057700,821.95,823.15,821.6,822.35,4457942
2026-05-06,14:30:00,1778058000,822.6,822.7,820.5,820.8,4609673
2026-05-06,14:35:00,1778058300,820.95,821.3,820,820,4628274
2026-05-06,14:40:00,1778058600,820.1,820.9,819.2,820,4655543
2026-05-06,14:45:00,1778058900,819.95,820,816.05,816.6,4718269
2026-05-06,14:50:00,1778059200,816.75,817.65,816.75,816.95,4736464
2026-05-06,14:55:00,1778059500,817.15,817.65,816.35,816.8,4764741
2026-05-06,15:00:00,1778059800,816.65,816.85,815.8,816.8,4829709
2026-05-06,15:05:00,1778060100,816.85,817.55,816.3,817.2,4868091
2026-05-06,15:10:00,1778060400,817.3,817.65,815.35,815.95,4918288
2026-05-06,15:15:00,1778060700,816.2,816.2,813.85,814.45,5021719
2026-05-06,15:20:00,1778061000,814.1,816.1,811.75,816.05,5248563
2026-05-06,15:25:00,1778061300,816.15,816.3,815,816.2,5328550
2026-05-07,09:15:00,1778125500,818.85,820.6,814.9,816.95,71890
2026-05-07,09:20:00,1778125800,815.65,817.65,815.65,816.6,89456
2026-05-07,09:25:00,1778126100,816.65,817,815.15,815.3,98250
2026-05-07,09:30:00,1778126400,815.6,820.55,815.55,816.3,145522
2026-05-07,09:35:00,1778126700,816.4,818.4,816.1,816.1,177292
2026-05-07,09:40:00,1778127000,816.45,816.65,814.05,814.1,195564
2026-05-07,09:45:00,1778127300,814.35,814.4,813,814.4,206559
2026-05-07,09:50:00,1778127600,814.45,814.5,813.5,813.5,210938
2026-05-07,09:55:00,1778127900,813.85,815.3,813.55,814.8,226966
2026-05-07,10:00:00,1778128200,815.25,815.8,814.7,815,262961
2026-05-07,10:05:00,1778128500,815.05,816.2,814.7,816.2,272231
2026-05-07,10:10:00,1778128800,816.15,817,815.6,817,303913
2026-05-07,10:15:00,1778129100,816.95,818.85,816.9,818.8,406128
2026-05-07,10:20:00,1778129400,818.9,820.3,817.5,819.1,496864
2026-05-07,10:25:00,1778129700,819,820.6,818.75,819.6,541545
2026-05-07,10:30:00,1778130000,819.65,820.9,819.5,820,558748
2026-05-07,10:35:00,1778130300,820.1,822.3,819.55,821.3,583930
2026-05-07,10:40:00,1778130600,821.5,821.5,818.95,819.25,595762
2026-05-07,10:45:00,1778130900,819,819.1,818,818.4,604935
2026-05-07,10:50:00,1778131200,818.3,823.75,817.95,822.25,632868
2026-05-07,10:55:00,1778131500,822.15,823.8,822,823.75,649825
2026-05-07,11:00:00,1778131800,823.55,823.95,823.35,823.85,660041
2026-05-07,11:05:00,1778132100,824.25,825.8,823.55,825.4,692361
2026-05-07,11:10:00,1778132400,825.3,825.45,825,825.15,701064
2026-05-07,11:15:00,1778132700,825,826.8,825,825,714187
2026-05-07,11:20:00,1778133000,825.15,826,824.35,825.1,730963
2026-05-07,11:25:00,1778133300,825.15,826.5,825,826.3,742427
2026-05-07,11:30:00,1778133600,825.9,827.95,825.9,826.65,758549
2026-05-07,11:35:00,1778133900,826.7,826.7,825,825.05,765749
2026-05-07,11:40:00,1778134200,825,825.6,825,825.05,773007
2026-05-07,11:45:00,1778134500,825,826,825,825.9,850394
2026-05-07,11:50:00,1778134800,825.6,826.8,825.55,825.9,882154
2026-05-07,11:55:00,1778135100,825.85,826.6,825.7,826.6,898884
2026-05-07,12:00:00,1778135400,826.55,827.2,826.15,827,910592
2026-05-07,12:05:00,1778135700,826.95,827.5,826.75,827.4,917395
2026-05-07,12:10:00,1778136000,827.5,827.85,826.8,827.2,930269
2026-05-07,12:15:00,1778136300,827.15,827.95,826.95,827.25,940573
2026-05-07,12:20:00,1778136600,827.2,827.35,825.95,826.9,953118
2026-05-07,12:25:00,1778136900,826.6,829,826.4,828.5,988230
2026-05-07,12:30:00,1778137200,828.6,828.85,828,828.25,1004011
2026-05-07,12:35:00,1778137500,828.05,829,827.8,829,1021818
2026-05-07,12:40:00,1778137800,828.6,830,828,828.85,1042664
2026-05-07,12:45:00,1778138100,828.9,829.05,827.05,828,1057023
2026-05-07,12:50:00,1778138400,828.15,828.45,825.4,826.3,1090289
2026-05-07,12:55:00,1778138700,826.15,826.5,825,825.45,1107444
2026-05-07,13:00:00,1778139000,825.55,827.85,825.3,827.45,1159838
2026-05-07,13:05:00,1778139300,828,828.4,827.05,827.05,1191983
2026-05-07,13:10:00,1778139600,827.3,829.5,827,828.95,1212769
2026-05-07,13:15:00,1778139900,829.05,829.35,827.8,828.85,1226288
2026-05-07,13:20:00,1778140200,828.35,829.1,828.15,828.15,1236532
2026-05-07,13:25:00,1778140500,828.2,828.65,827.3,827.75,1248548
2026-05-07,13:30:00,1778140800,827.7,828.45,827.55,828.05,1255270
2026-05-07,13:35:00,1778141100,828,828.1,827.3,827.45,1263709
2026-05-07,13:40:00,1778141400,827.4,829.75,827.35,829.75,1273124
2026-05-07,13:45:00,1778141700,829.7,829.75,828.65,829.05,1282951
2026-05-07,13:50:00,1778142000,828.5,829.4,828.5,829.1,1296751
2026-05-07,13:55:00,1778142300,829,829.1,828.3,828.6,1306988
2026-05-07,14:00:00,1778142600,828.55,829.85,828.3,829.85,1313422
2026-05-07,14:05:00,1778142900,829.75,829.95,829.1,829.75,1328995
2026-05-07,14:10:00,1778143200,829.8,830,829,829.5,1351497
2026-05-07,14:15:00,1778143500,829.25,830,829,830,1375038
2026-05-07,14:20:00,1778143800,829.95,829.95,829,829.5,1398630
2026-05-07,14:25:00,1778144100,829.3,829.85,829,829.55,1416072
2026-05-07,14:30:00,1778144400,829.7,830.25,829.25,830.05,1432652
2026-05-07,14:35:00,1778144700,830.2,831.85,830.2,831.75,1454722
2026-05-07,14:40:00,1778145000,831.7,831.95,831.1,831.45,1495681
2026-05-07,14:45:00,1778145300,831.4,831.5,830.9,831.35,1516496
2026-05-07,14:50:00,1778145600,831.2,832.45,831.2,832.35,1534071
