Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,13456,13495,13431,13472,9633
2026-05-29,09:16:00,1780026360,13465,13476,13455,13470,11970
2026-05-29,09:17:00,1780026420,13468,13492,13467,13490,18060
2026-05-29,09:18:00,1780026480,13492,13501,13472,13488,21323
2026-05-29,09:19:00,1780026540,13490,13500,13471,13474,23752
2026-05-29,09:20:00,1780026600,13483,13505,13483,13499,26403
2026-05-29,09:21:00,1780026660,13494,13498,13483,13489,27375
2026-05-29,09:22:00,1780026720,13485,13500,13479,13500,29001
2026-05-29,09:23:00,1780026780,13499,13507,13495,13505,32270
2026-05-29,09:24:00,1780026840,13500,13500,13480,13484,33801
2026-05-29,09:25:00,1780026900,13482,13494,13481,13488,35251
2026-05-29,09:26:00,1780026960,13482,13489,13479,13489,36662
2026-05-29,09:27:00,1780027020,13488,13492,13482,13484,37456
2026-05-29,09:28:00,1780027080,13488,13490,13457,13457,38999
2026-05-29,09:29:00,1780027140,13458,13458,13451,13454,39883
2026-05-29,09:30:00,1780027200,13449,13458,13448,13456,40806
2026-05-29,09:31:00,1780027260,13451,13456,13444,13449,42060
2026-05-29,09:32:00,1780027320,13444,13464,13444,13464,43314
2026-05-29,09:33:00,1780027380,13460,13476,13458,13476,44621
2026-05-29,09:34:00,1780027440,13475,13475,13450,13453,45561
2026-05-29,09:35:00,1780027500,13452,13454,13441,13450,46866
2026-05-29,09:36:00,1780027560,13463,13473,13447,13470,53172
2026-05-29,09:37:00,1780027620,13468,13470,13463,13468,54307
2026-05-29,09:38:00,1780027680,13464,13469,13460,13460,55427
2026-05-29,09:39:00,1780027740,13465,13469,13463,13465,55903
2026-05-29,09:40:00,1780027800,13464,13467,13448,13448,56917
2026-05-29,09:41:00,1780027860,13449,13449,13436,13446,57863
2026-05-29,09:42:00,1780027920,13442,13449,13432,13432,59263
2026-05-29,09:43:00,1780027980,13434,13436,13427,13428,60519
2026-05-29,09:44:00,1780028040,13426,13431,13420,13431,62495
2026-05-29,09:45:00,1780028100,13429,13437,13425,13437,63108
2026-05-29,09:46:00,1780028160,13442,13460,13439,13457,65945
2026-05-29,09:47:00,1780028220,13455,13462,13428,13431,67108
2026-05-29,09:48:00,1780028280,13424,13434,13417,13431,68104
2026-05-29,09:49:00,1780028340,13426,13427,13423,13425,68901
2026-05-29,09:50:00,1780028400,13427,13430,13427,13429,69145
2026-05-29,09:51:00,1780028460,13433,13438,13428,13431,69624
2026-05-29,09:52:00,1780028520,13429,13429,13412,13417,70665
2026-05-29,09:53:00,1780028580,13420,13439,13418,13439,71298
2026-05-29,09:54:00,1780028640,13437,13438,13428,13431,72016
2026-05-29,09:55:00,1780028700,13428,13433,13427,13427,72582
2026-05-29,09:56:00,1780028760,13433,13439,13419,13423,74009
2026-05-29,09:57:00,1780028820,13424,13440,13424,13428,75151
2026-05-29,09:58:00,1780028880,13424,13437,13423,13432,75773
2026-05-29,09:59:00,1780028940,13437,13437,13430,13430,75965
2026-05-29,10:00:00,1780029000,13429,13436,13429,13435,76379
2026-05-29,10:01:00,1780029060,13432,13438,13423,13423,77468
2026-05-29,10:02:00,1780029120,13425,13425,13409,13414,78909
2026-05-29,10:03:00,1780029180,13410,13432,13408,13417,80493
2026-05-29,10:04:00,1780029240,13412,13417,13410,13414,80817
2026-05-29,10:05:00,1780029300,13410,13440,13409,13440,82570
2026-05-29,10:06:00,1780029360,13439,13442,13437,13437,83029
2026-05-29,10:07:00,1780029420,13439,13443,13437,13440,83713
2026-05-29,10:08:00,1780029480,13439,13443,13438,13443,84147
2026-05-29,10:09:00,1780029540,13438,13439,13432,13432,84600
2026-05-29,10:10:00,1780029600,13430,13436,13426,13431,85103
2026-05-29,10:11:00,1780029660,13432,13446,13428,13440,85927
2026-05-29,10:12:00,1780029720,13437,13442,13432,13440,86402
2026-05-29,10:13:00,1780029780,13439,13442,13430,13431,87132
2026-05-29,10:14:00,1780029840,13436,13436,13429,13430,87721
2026-05-29,10:15:00,1780029900,13427,13431,13415,13415,88312
2026-05-29,10:16:00,1780029960,13416,13421,13411,13415,88763
2026-05-29,10:17:00,1780030020,13413,13420,13394,13394,90385
2026-05-29,10:18:00,1780030080,13395,13398,13389,13398,91576
2026-05-29,10:19:00,1780030140,13395,13399,13389,13395,92345
2026-05-29,10:20:00,1780030200,13394,13399,13387,13388,93130
2026-05-29,10:21:00,1780030260,13386,13391,13375,13379,94300
2026-05-29,10:22:00,1780030320,13380,13384,13374,13376,97020
2026-05-29,10:23:00,1780030380,13375,13380,13369,13376,99020
2026-05-29,10:24:00,1780030440,13379,13399,13379,13399,100036
2026-05-29,10:25:00,1780030500,13396,13399,13386,13386,100443
2026-05-29,10:26:00,1780030560,13384,13384,13369,13373,101577
2026-05-29,10:27:00,1780030620,13369,13374,13369,13374,101939
2026-05-29,10:28:00,1780030680,13375,13385,13370,13370,102462
2026-05-29,10:29:00,1780030740,13372,13379,13371,13378,102713
2026-05-29,10:30:00,1780030800,13376,13378,13370,13370,103281
2026-05-29,10:31:00,1780030860,13368,13372,13367,13368,103515
2026-05-29,10:32:00,1780030920,13366,13370,13366,13370,103883
2026-05-29,10:33:00,1780030980,13367,13367,13364,13365,104047
2026-05-29,10:34:00,1780031040,13363,13363,13354,13358,104955
2026-05-29,10:35:00,1780031100,13357,13359,13354,13359,105258
2026-05-29,10:36:00,1780031160,13354,13371,13354,13370,105856
2026-05-29,10:37:00,1780031220,13366,13379,13366,13376,106345
2026-05-29,10:38:00,1780031280,13375,13375,13360,13361,106820
2026-05-29,10:39:00,1780031340,13366,13367,13362,13363,106976
2026-05-29,10:40:00,1780031400,13377,13378,13374,13375,107605
2026-05-29,10:41:00,1780031460,13373,13376,13370,13374,107752
2026-05-29,10:42:00,1780031520,13372,13382,13372,13378,108116
2026-05-29,10:43:00,1780031580,13380,13380,13354,13354,108895
2026-05-29,10:44:00,1780031640,13350,13350,13340,13340,110191
2026-05-29,10:45:00,1780031700,13339,13340,13327,13340,111137
2026-05-29,10:46:00,1780031760,13339,13349,13339,13349,111397
2026-05-29,10:47:00,1780031820,13340,13342,13332,13342,112046
2026-05-29,10:48:00,1780031880,13344,13344,13334,13340,112382
2026-05-29,10:49:00,1780031940,13347,13348,13342,13348,113073
2026-05-29,10:50:00,1780032000,13344,13347,13335,13335,113537
2026-05-29,10:51:00,1780032060,13336,13339,13330,13330,113773
2026-05-29,10:52:00,1780032120,13333,13341,13330,13341,114259
2026-05-29,10:53:00,1780032180,13342,13347,13335,13335,114680
2026-05-29,10:54:00,1780032240,13339,13343,13333,13334,114941
2026-05-29,10:55:00,1780032300,13333,13344,13330,13344,115452
2026-05-29,10:56:00,1780032360,13340,13358,13340,13358,115800
2026-05-29,10:57:00,1780032420,13355,13358,13352,13352,115890
2026-05-29,10:58:00,1780032480,13353,13365,13352,13361,116427
2026-05-29,10:59:00,1780032540,13357,13361,13354,13359,116606
2026-05-29,11:00:00,1780032600,13362,13373,13362,13366,117313
2026-05-29,11:01:00,1780032660,13369,13369,13360,13365,117770
2026-05-29,11:02:00,1780032720,13363,13367,13357,13363,118143
2026-05-29,11:03:00,1780032780,13358,13363,13356,13358,118265
2026-05-29,11:04:00,1780032840,13355,13362,13353,13353,118467
2026-05-29,11:05:00,1780032900,13357,13365,13351,13351,119061
2026-05-29,11:06:00,1780032960,13350,13350,13342,13343,119668
2026-05-29,11:07:00,1780033020,13342,13348,13341,13348,119898
2026-05-29,11:08:00,1780033080,13343,13348,13341,13341,120086
2026-05-29,11:09:00,1780033140,13342,13344,13340,13343,120305
2026-05-29,11:10:00,1780033200,13341,13344,13338,13339,120645
2026-05-29,11:11:00,1780033260,13338,13338,13309,13320,121946
2026-05-29,11:12:00,1780033320,13318,13322,13305,13306,122517
2026-05-29,11:13:00,1780033380,13305,13306,13289,13296,124240
2026-05-29,11:14:00,1780033440,13294,13294,13290,13291,124663
2026-05-29,11:15:00,1780033500,13290,13303,13290,13297,125464
2026-05-29,11:16:00,1780033560,13296,13314,13296,13309,126105
2026-05-29,11:17:00,1780033620,13314,13322,13307,13315,127120
2026-05-29,11:18:00,1780033680,13313,13321,13307,13311,127943
2026-05-29,11:19:00,1780033740,13308,13313,13308,13311,128725
2026-05-29,11:20:00,1780033800,13310,13314,13306,13308,128949
2026-05-29,11:21:00,1780033860,13310,13324,13310,13324,129323
2026-05-29,11:22:00,1780033920,13318,13328,13318,13328,129574
2026-05-29,11:23:00,1780033980,13326,13341,13326,13339,130005
2026-05-29,11:24:00,1780034040,13336,13343,13331,13343,130644
2026-05-29,11:25:00,1780034100,13344,13344,13340,13344,130829
2026-05-29,11:26:00,1780034160,13339,13344,13335,13339,131131
2026-05-29,11:27:00,1780034220,13341,13345,13338,13345,131355
2026-05-29,11:28:00,1780034280,13343,13344,13335,13335,131594
2026-05-29,11:29:00,1780034340,13336,13343,13335,13335,131902
2026-05-29,11:30:00,1780034400,13339,13342,13335,13338,132204
2026-05-29,11:31:00,1780034460,13337,13337,13334,13335,132364
2026-05-29,11:32:00,1780034520,13338,13338,13334,13334,132480
2026-05-29,11:33:00,1780034580,13335,13336,13327,13328,132750
2026-05-29,11:34:00,1780034640,13330,13330,13313,13316,133586
2026-05-29,11:35:00,1780034700,13318,13318,13312,13315,133787
2026-05-29,11:36:00,1780034760,13313,13315,13312,13313,134111
2026-05-29,11:37:00,1780034820,13310,13310,13285,13285,135535
2026-05-29,11:38:00,1780034880,13286,13291,13281,13289,135936
2026-05-29,11:39:00,1780034940,13285,13292,13282,13284,136265
