Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,2751.2,2757.4,2616.9,2622.9,1762350
2026-05-04,10:15:00,1777869900,2623.2,2626.8,2603.4,2612,2301481
2026-05-04,11:15:00,1777873500,2612.3,2647,2610.4,2610.6,2780544
2026-05-04,12:15:00,1777877100,2610.5,2619.2,2601,2607.5,3095096
2026-05-04,13:15:00,1777880700,2607.2,2618,2585.8,2617.8,3511742
2026-05-04,14:15:00,1777884300,2617.3,2624,2602.8,2614.2,4172809
2026-05-04,15:15:00,1777887900,2612,2617.9,2594.7,2612,4482402
2026-05-05,09:15:00,1777952700,2615,2651.2,2597.7,2633,772661
2026-05-05,10:15:00,1777956300,2633.7,2637.2,2617,2625.9,987947
2026-05-05,11:15:00,1777959900,2626.1,2640,2621.7,2637.1,1118642
2026-05-05,12:15:00,1777963500,2637.2,2646,2632.8,2642.9,1235220
2026-05-05,13:15:00,1777967100,2643,2643.2,2621.8,2627.3,1404312
2026-05-05,14:15:00,1777970700,2627.1,2643.9,2626.5,2633.7,1612317
2026-05-05,15:15:00,1777974300,2633.5,2639.8,2629.6,2638,1757048
2026-05-06,09:15:00,1778039100,2646.6,2669.5,2641.2,2652,397623
2026-05-06,10:15:00,1778042700,2651.9,2661.5,2641,2655.5,548684
2026-05-06,11:15:00,1778046300,2655.9,2659.9,2647,2649.7,620533
2026-05-06,12:15:00,1778049900,2649.3,2650.6,2629,2638.9,733875
2026-05-06,13:15:00,1778053500,2639.7,2648.6,2637.4,2641.9,815494
2026-05-06,14:15:00,1778057100,2642.6,2650,2641,2644.5,939102
2026-05-06,15:15:00,1778060700,2644,2647,2640.1,2645.3,1032415
2026-05-07,09:15:00,1778125500,2651,2662.7,2636,2640.9,363252
2026-05-07,10:15:00,1778129100,2640.1,2659.8,2640.1,2648.1,510891
2026-05-07,11:15:00,1778132700,2647,2650,2640.3,2648.7,578006
2026-05-07,12:15:00,1778136300,2649,2659,2648,2655,722497
2026-05-07,13:15:00,1778139900,2654.8,2678.4,2648,2670,1037783
2026-05-07,14:15:00,1778143500,2669,2687,2668,2676.5,1299414
2026-05-07,15:15:00,1778147100,2677.8,2693.4,2677,2688,1506609
2026-05-08,09:15:00,1778211900,2683.3,2698.2,2662.5,2677.9,382900
2026-05-08,10:15:00,1778215500,2678,2683,2668,2670.7,474986
2026-05-08,11:15:00,1778219100,2670,2675.5,2650.5,2651.2,626194
2026-05-08,12:15:00,1778222700,2651,2662.6,2641.1,2658.9,890254
2026-05-08,13:15:00,1778226300,2658.8,2664.3,2655,2657,960295
2026-05-08,14:15:00,1778229900,2656,2667,2653.9,2653.9,1258218
2026-05-08,15:15:00,1778233500,2653,2659.4,2648.8,2656.8,1380782
2026-05-11,09:15:00,1778471100,2644,2644,2562,2578,553098
2026-05-11,10:15:00,1778474700,2578.1,2580.4,2547.1,2570.5,847986
2026-05-11,11:15:00,1778478300,2570,2577,2561.1,2569.5,961523
2026-05-11,12:15:00,1778481900,2568.2,2578.8,2562.5,2568.4,1046420
