Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,1069.2,1073.9,1062,1071.7,1049
2026-05-26,09:20:00,1779767400,1073.1,1074.9,1072.3,1074.9,1167
2026-05-26,09:25:00,1779767700,1072.2,1074.8,1072.2,1074.8,1296
2026-05-26,09:30:00,1779768000,1074.7,1074.7,1072.2,1072.8,1449
2026-05-26,09:35:00,1779768300,1072.9,1075,1072.9,1073.3,1534
2026-05-26,09:40:00,1779768600,1074.8,1074.8,1074.5,1074.5,1540
2026-05-26,09:45:00,1779768900,1073.5,1074.6,1072.9,1074.6,1614
2026-05-26,09:50:00,1779769200,1072.4,1073,1072.4,1073,1645
2026-05-26,09:55:00,1779769500,1072.7,1072.7,1072.6,1072.6,1662
2026-05-26,10:00:00,1779769800,1068.2,1068.2,1068.2,1068.2,2061
2026-05-26,10:05:00,1779770100,1070.9,1070.9,1069.2,1069.2,2121
2026-05-26,10:10:00,1779770400,1072.4,1072.4,1072.4,1072.4,2160
2026-05-26,10:15:00,1779770700,1072.5,1072.5,1070.1,1070.1,2220
2026-05-26,10:20:00,1779771000,1070.1,1070.1,1070.1,1070.1,2270
2026-05-26,10:25:00,1779771300,1070.1,1073,1070.1,1073,2316
2026-05-26,10:30:00,1779771600,1070.7,1073.1,1070.7,1073.1,2390
2026-05-26,10:35:00,1779771900,1073.4,1073.4,1071.1,1071.1,2410
2026-05-26,10:40:00,1779772200,1071.1,1072.9,1071.1,1072.9,2451
2026-05-26,10:45:00,1779772500,1073,1073.3,1071.1,1073.3,2472
2026-05-26,10:50:00,1779772800,1072.9,1074.2,1071.2,1073,2554
2026-05-26,10:55:00,1779773100,1073.1,1073.1,1070.6,1070.6,2604
2026-05-26,11:00:00,1779773400,1072,1072,1072,1072,2610
2026-05-26,11:05:00,1779773700,1069.6,1071.6,1069.2,1071.6,2881
2026-05-26,11:10:00,1779774000,1072.3,1081.3,1072.3,1074.1,3723
2026-05-26,11:15:00,1779774300,1074,1074,1073.1,1073.1,3833
2026-05-26,11:20:00,1779774600,1072.5,1077.2,1065,1066.3,4223
2026-05-26,11:25:00,1779774900,1066.3,1069.4,1066.3,1066.3,4364
2026-05-26,11:30:00,1779775200,1066.3,1068.4,1066.3,1068,4393
2026-05-26,11:35:00,1779775500,1068.8,1068.8,1066,1066.3,4577
2026-05-26,11:40:00,1779775800,1068.9,1068.9,1068.9,1068.9,4587
2026-05-26,11:45:00,1779776100,1068.2,1068.2,1067,1067,4589
2026-05-26,11:50:00,1779776400,1066.4,1068.4,1066.4,1068,4598
2026-05-26,11:55:00,1779776700,1070.5,1070.5,1070.5,1070.5,4608
2026-05-26,12:00:00,1779777000,1070,1071.1,1070,1071.1,4907
2026-05-26,12:20:00,1779778200,1071.1,1072.2,1071.1,1072.2,4913
2026-05-26,12:25:00,1779778500,1072,1072,1072,1072,4915
2026-05-26,12:30:00,1779778800,1069.7,1069.7,1068.5,1068.5,5104
2026-05-26,12:35:00,1779779100,1069.8,1069.8,1068,1068,5172
2026-05-26,12:40:00,1779779400,1067.3,1069.2,1066.5,1066.5,5272
2026-05-26,12:45:00,1779779700,1066.5,1066.5,1064.9,1065,5392
2026-05-26,12:50:00,1779780000,1064,1064.9,1062,1063.6,5817
2026-05-26,12:55:00,1779780300,1063.7,1064.9,1063.5,1063.6,5882
2026-05-26,13:00:00,1779780600,1063.5,1064.6,1062,1062,6058
2026-05-26,13:05:00,1779780900,1062,1062.3,1061,1061,6355
2026-05-26,13:10:00,1779781200,1061,1062.2,1060.1,1062.2,6747
2026-05-26,13:15:00,1779781500,1061.7,1062.5,1061.2,1062.5,6856
2026-05-26,13:20:00,1779781800,1061.2,1062.9,1061,1061.5,6900
2026-05-26,13:25:00,1779782100,1061.5,1062.5,1061.5,1062,6961
2026-05-26,13:30:00,1779782400,1062.2,1062.8,1061.5,1061.5,7296
2026-05-26,13:35:00,1779782700,1061.5,1061.5,1057.2,1057.3,8365
2026-05-26,13:40:00,1779783000,1057.2,1058.8,1055.7,1056.5,8785
2026-05-26,13:45:00,1779783300,1057.7,1057.9,1056.5,1057.9,8855
2026-05-26,13:50:00,1779783600,1056.9,1057.5,1052.1,1052.2,9422
2026-05-26,13:55:00,1779783900,1054,1055.9,1053,1054,9620
2026-05-26,14:00:00,1779784200,1053.3,1053.3,1053,1053,9648
2026-05-26,14:05:00,1779784500,1053,1055,1053,1054,9726
2026-05-26,14:10:00,1779784800,1054.1,1055.1,1054,1054,9801
2026-05-26,14:15:00,1779785100,1055.4,1055.8,1054,1054.1,9875
2026-05-26,14:20:00,1779785400,1054.5,1056,1054.1,1054.1,10063
2026-05-26,14:25:00,1779785700,1055.8,1055.8,1050,1052.2,11747
2026-05-26,14:30:00,1779786000,1052.7,1053,1051.8,1051.8,11781
2026-05-26,14:35:00,1779786300,1051.8,1053.6,1051.8,1053.6,11892
2026-05-26,14:40:00,1779786600,1053.5,1056.7,1053.5,1054,12339
2026-05-26,14:45:00,1779786900,1054,1054.5,1053.9,1053.9,12458
2026-05-26,14:50:00,1779787200,1054,1054.9,1054,1054,12616
2026-05-26,14:55:00,1779787500,1053.5,1056,1053.5,1056,12877
2026-05-26,15:00:00,1779787800,1057.9,1059,1057.3,1058.7,13116
2026-05-26,15:05:00,1779788100,1065,1065,1060.6,1062.3,13679
2026-05-26,15:10:00,1779788400,1061.6,1062.9,1060,1060,14029
2026-05-26,15:15:00,1779788700,1056.2,1060.8,1055.9,1055.9,14855
2026-05-26,15:20:00,1779789000,1058,1058,1056,1057.9,15006
2026-05-26,15:25:00,1779789300,1055.3,1058.8,1053.5,1053.5,15475
2026-05-27,09:15:00,1779853500,1063,1063,1058,1058,93
