Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,46.49,47.37,45.74,46.14,3810018
2025-12-04,00:00:00,1764786600,46.14,46.2,45.45,45.54,1888602
2025-12-05,00:00:00,1764873000,45.54,45.84,44.47,45.6,6829483
2025-12-08,00:00:00,1765132200,45.6,45.66,43.9,44.8,3578192
2025-12-09,00:00:00,1765218600,44.8,45.12,43.86,44.75,4165860
2025-12-10,00:00:00,1765305000,44.75,45.19,44.21,44.51,4860637
2025-12-11,00:00:00,1765391400,44.78,45.88,44.17,45.65,2406946
2025-12-12,00:00:00,1765477800,45.65,46.74,45.25,45.91,8397399
2025-12-15,00:00:00,1765737000,45.91,46.49,45.64,45.97,2394942
2025-12-16,00:00:00,1765823400,46.2,46.6,45.27,45.51,5585698
2025-12-17,00:00:00,1765909800,45.51,46.45,44.99,45.15,4076466
2025-12-18,00:00:00,1765996200,45.23,45.43,44.6,44.9,2153740
2025-12-19,00:00:00,1766082600,44.81,49.6,44.81,47.65,49911481
2025-12-22,00:00:00,1766341800,48,48.16,46.21,46.33,5804351
2025-12-23,00:00:00,1766428200,46.32,46.54,45.3,45.45,7671767
2025-12-24,00:00:00,1766514600,45.51,45.95,45.1,45.28,4284783
2025-12-26,00:00:00,1766687400,45.28,45.39,45,45.13,3087500
2025-12-29,00:00:00,1766946600,45.15,47.59,44.29,46.82,13526237
2025-12-30,00:00:00,1767033000,46.49,49.79,45.68,48.82,43942837
2025-12-31,00:00:00,1767119400,48.48,48.95,47.41,48.52,6949383
2026-01-01,00:00:00,1767205800,48.52,49.17,47.85,48.92,4813143
2026-01-02,00:00:00,1767292200,48.5,50,48.22,49.85,9549993
2026-01-05,00:00:00,1767551400,50.49,52.4,49.21,52.05,26508146
2026-01-06,00:00:00,1767637800,52.8,53.59,50.72,51.16,15572691
2026-01-07,00:00:00,1767724200,51.2,51.41,49.95,50.24,5986119
2026-01-08,00:00:00,1767810600,50.23,50.73,48.38,48.66,6418779
2026-01-09,00:00:00,1767897000,48.44,49.83,47.6,47.84,6021220
2026-01-12,00:00:00,1768156200,47.82,47.82,46.18,46.76,6645190
2026-01-13,00:00:00,1768242600,46.94,47.27,45.36,45.72,5688351
2026-01-14,00:00:00,1768329000,45.6,46.74,45.3,46.07,6083840
2026-01-16,00:00:00,1768501800,46.05,46.44,45.12,45.35,6146149
2026-01-19,00:00:00,1768761000,45,45.29,44.62,44.84,2522756
2026-01-20,00:00:00,1768847400,45.13,45.13,42.5,43.51,5683863
2026-01-21,00:00:00,1768933800,43.3,44.8,42.76,44.49,7062416
2026-01-22,00:00:00,1769020200,45,45.12,43.73,43.93,6094958
2026-01-23,00:00:00,1769106600,44,44.19,42.77,42.98,5216009
2026-01-27,00:00:00,1769452200,43.03,43.1,42,42.25,6593459
2026-01-28,00:00:00,1769538600,42.46,43.68,41.65,43.32,8999861
2026-01-29,00:00:00,1769625000,44.88,44.88,41.75,42.15,8001598
2026-01-30,00:00:00,1769711400,42.17,43.55,41.24,43.16,5943541
2026-02-01,00:00:00,1769884200,42.85,43.3,42,42.29,2169364
