Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,81.09,81.45,80.92,81,396180
2026-05-29,09:16:00,1780026360,81.05,81.05,80.94,80.99,591377
2026-05-29,09:17:00,1780026420,81,81.42,81,81.35,1046152
2026-05-29,09:18:00,1780026480,81.41,81.45,81.24,81.31,1223519
2026-05-29,09:19:00,1780026540,81.34,81.69,81.34,81.39,1637202
2026-05-29,09:20:00,1780026600,81.49,81.49,81.4,81.42,1796712
2026-05-29,09:21:00,1780026660,81.44,81.52,81.42,81.51,1899451
2026-05-29,09:22:00,1780026720,81.54,81.66,81.54,81.54,2127628
2026-05-29,09:23:00,1780026780,81.5,81.52,81.45,81.45,2177417
2026-05-29,09:24:00,1780026840,81.48,81.51,81.46,81.51,2244463
2026-05-29,09:25:00,1780026900,81.53,81.53,81.35,81.39,2380878
2026-05-29,09:26:00,1780026960,81.35,81.35,81.27,81.27,2434852
2026-05-29,09:27:00,1780027020,81.25,81.39,81.25,81.39,2479798
2026-05-29,09:28:00,1780027080,81.37,81.44,81.34,81.34,2541885
2026-05-29,09:29:00,1780027140,81.35,81.37,81.27,81.3,2592400
2026-05-29,09:30:00,1780027200,81.29,81.4,81.29,81.4,2645981
2026-05-29,09:31:00,1780027260,81.39,81.51,81.37,81.51,2738566
2026-05-29,09:32:00,1780027320,81.46,81.49,81.45,81.46,2818045
2026-05-29,09:33:00,1780027380,81.52,81.55,81.45,81.45,2916555
2026-05-29,09:34:00,1780027440,81.42,81.42,81.28,81.28,2980678
2026-05-29,09:35:00,1780027500,81.3,81.4,81.29,81.36,3039198
2026-05-29,09:36:00,1780027560,81.33,81.48,81.33,81.48,3122894
2026-05-29,09:37:00,1780027620,81.5,81.68,81.47,81.49,3259928
2026-05-29,09:38:00,1780027680,81.48,81.48,81.25,81.25,3290483
2026-05-29,09:39:00,1780027740,81.26,81.42,81.26,81.37,3370458
2026-05-29,09:40:00,1780027800,81.42,81.43,81.33,81.33,3385502
2026-05-29,09:41:00,1780027860,81.37,81.41,81.31,81.32,3421122
2026-05-29,09:42:00,1780027920,81.3,81.31,81.15,81.15,3477117
2026-05-29,09:43:00,1780027980,81.16,81.16,81.02,81.05,3511454
2026-05-29,09:44:00,1780028040,81.02,81.02,80.92,80.98,3588972
2026-05-29,09:45:00,1780028100,80.97,81.1,80.89,81.1,3640611
2026-05-29,09:46:00,1780028160,81.09,81.15,81.06,81.1,3674795
2026-05-29,09:47:00,1780028220,81.07,81.16,81.02,81.02,3711977
2026-05-29,09:48:00,1780028280,81.04,81.14,81.04,81.12,3808504
2026-05-29,09:49:00,1780028340,81.13,81.13,81.02,81.11,3846993
2026-05-29,09:50:00,1780028400,81.07,81.16,81.07,81.13,3893094
2026-05-29,09:51:00,1780028460,81.11,81.13,81.08,81.08,3911929
2026-05-29,09:52:00,1780028520,81.09,81.09,80.93,80.93,3978532
2026-05-29,09:53:00,1780028580,80.9,80.95,80.88,80.95,4011498
2026-05-29,09:54:00,1780028640,80.94,80.98,80.9,80.92,4025737
2026-05-29,09:55:00,1780028700,80.91,80.92,80.7,80.7,4069086
