Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,406.25,410.25,405.6,408.7,758265
2026-05-26,09:20:00,1779767400,408.55,410.65,408.55,410.4,993605
2026-05-26,09:25:00,1779767700,410.35,411,409,410.4,1203258
2026-05-26,09:30:00,1779768000,410.2,410.2,408.1,408.2,1317614
2026-05-26,09:35:00,1779768300,408.1,410.4,408.1,410.3,1442809
2026-05-26,09:40:00,1779768600,410.2,411.5,409.8,411.15,1638063
2026-05-26,09:45:00,1779768900,411.1,411.85,410.7,411.1,1889637
2026-05-26,09:50:00,1779769200,411.3,411.9,410.95,411.05,2096936
2026-05-26,09:55:00,1779769500,411,411.3,410.45,411.25,2175476
2026-05-26,10:00:00,1779769800,411.15,411.25,409.25,409.4,2279974
2026-05-26,10:05:00,1779770100,409.3,410.25,409.2,410.1,2346527
2026-05-26,10:10:00,1779770400,410.25,410.9,409.6,410.1,2455565
2026-05-26,10:15:00,1779770700,410.15,410.55,409.75,409.75,2491989
2026-05-26,10:20:00,1779771000,409.8,409.95,409.45,409.95,2534776
2026-05-26,10:25:00,1779771300,409.9,410.65,409.9,410,2618725
2026-05-26,10:30:00,1779771600,410.2,410.3,409.75,410.05,2665837
2026-05-26,10:35:00,1779771900,410.1,411.25,409.9,411.05,2729665
2026-05-26,10:40:00,1779772200,411.2,411.8,411.05,411.55,2855507
2026-05-26,10:45:00,1779772500,411.6,411.7,411.15,411.35,2978320
2026-05-26,10:50:00,1779772800,411.3,411.7,411.15,411.4,3035870
2026-05-26,10:55:00,1779773100,411.3,411.65,411.2,411.35,3073612
2026-05-26,11:00:00,1779773400,411.45,411.7,411.35,411.5,3133215
2026-05-26,11:05:00,1779773700,411.45,412.7,410.9,412.55,3334104
2026-05-26,11:10:00,1779774000,412.65,412.8,410.65,410.8,3437486
2026-05-26,11:15:00,1779774300,410.65,411,410.55,410.8,3489041
2026-05-26,11:20:00,1779774600,410.9,411,410.3,410.3,3548892
2026-05-26,11:25:00,1779774900,410.45,410.7,410,410.25,3610196
2026-05-26,11:30:00,1779775200,410.1,410.5,409.65,410.35,3747266
2026-05-26,11:35:00,1779775500,410.5,410.85,410,410.85,3789890
2026-05-26,11:40:00,1779775800,410.6,411.55,410.6,411.05,3883175
2026-05-26,11:45:00,1779776100,411.1,411.6,411.05,411.55,3927552
2026-05-26,11:50:00,1779776400,411.35,412.35,411.35,412.05,4028333
2026-05-26,11:55:00,1779776700,412.4,412.5,411.85,411.85,4107213
2026-05-26,12:00:00,1779777000,412.1,412.4,411.5,411.85,4161278
2026-05-26,12:05:00,1779777300,411.7,412.15,411.5,411.9,4215178
2026-05-26,12:10:00,1779777600,412,412.2,411.4,411.6,4253116
2026-05-26,12:15:00,1779777900,411.65,412,411.5,412,4281721
2026-05-26,12:20:00,1779778200,412.05,412.7,411.7,412,4456728
2026-05-26,12:25:00,1779778500,412.3,412.8,412.15,412.25,4497946
2026-05-26,12:30:00,1779778800,412.3,412.5,411.45,411.55,4563218
2026-05-26,12:35:00,1779779100,411.65,412.2,411.5,411.75,4593217
2026-05-26,12:40:00,1779779400,411.85,411.85,411.5,411.7,4629691
2026-05-26,12:45:00,1779779700,411.6,412.35,411,411,4708936
2026-05-26,12:50:00,1779780000,410.8,410.8,410,410.3,4809024
2026-05-26,12:55:00,1779780300,410.2,411.1,410.1,411,4850530
2026-05-26,13:00:00,1779780600,411.5,411.5,410.3,410.45,4886319
2026-05-26,13:05:00,1779780900,410.4,410.65,410.05,410.3,4916816
2026-05-26,13:10:00,1779781200,410.2,410.85,410.2,410.5,4937833
2026-05-26,13:15:00,1779781500,410.4,410.85,410.2,410.85,4960963
2026-05-26,13:20:00,1779781800,410.7,411.2,410.55,411.2,4990381
2026-05-26,13:25:00,1779782100,411.1,411.15,410.65,410.9,5015727
2026-05-26,13:30:00,1779782400,410.85,411,410.3,410.75,5062540
2026-05-26,13:35:00,1779782700,410.7,411,410.5,410.9,5077729
2026-05-26,13:40:00,1779783000,410.8,411,410.55,410.75,5100109
2026-05-26,13:45:00,1779783300,410.8,411,410.7,410.8,5115438
2026-05-26,13:50:00,1779783600,410.75,410.8,410.15,410.4,5150526
2026-05-26,13:55:00,1779783900,410.45,411.3,410.4,411.2,5214819
2026-05-26,14:00:00,1779784200,411.15,411.45,410.4,410.45,5248264
2026-05-26,14:05:00,1779784500,410.4,411.05,410.2,410.95,5350287
2026-05-26,14:10:00,1779784800,410.75,410.8,410.15,410.55,5376537
2026-05-26,14:15:00,1779785100,410.6,411.3,410.4,411.1,5405019
2026-05-26,14:20:00,1779785400,411.05,412.45,410.9,411.95,5482252
2026-05-26,14:25:00,1779785700,412.15,412.3,411.8,412.05,5526072
2026-05-26,14:30:00,1779786000,412,412.35,411.8,411.8,5571309
2026-05-26,14:35:00,1779786300,411.85,411.9,411.3,411.55,5618206
2026-05-26,14:40:00,1779786600,411.45,412,411.25,411.95,5646164
2026-05-26,14:45:00,1779786900,411.9,412.45,411.7,412.4,5688916
2026-05-26,14:50:00,1779787200,412.75,413.5,412.75,413.05,5862966
2026-05-26,14:55:00,1779787500,413.1,415.9,413.1,415.9,6252134
2026-05-26,15:00:00,1779787800,415.85,416.25,415.5,415.75,6477830
2026-05-26,15:05:00,1779788100,415.7,415.9,415.05,415.8,6641694
2026-05-26,15:10:00,1779788400,415.75,416.5,415.6,416.45,6816975
2026-05-26,15:15:00,1779788700,416.35,416.7,416.15,416.4,6980879
2026-05-26,15:20:00,1779789000,416.5,416.6,416.1,416.4,7201611
2026-05-26,15:25:00,1779789300,416.45,417.9,415.8,417.75,7521871
2026-05-27,09:15:00,1779853500,421.2,427.4,421.2,427,1195185
2026-05-27,09:20:00,1779853800,426.95,428.85,424.8,428.4,2190476
2026-05-27,09:25:00,1779854100,428.35,429.5,427.6,428,2817310
2026-05-27,09:30:00,1779854400,427.7,429,426.6,426.85,3209817
2026-05-27,09:35:00,1779854700,426.8,427.35,425.95,426.75,3471664
2026-05-27,09:40:00,1779855000,426.65,430.5,426.5,430.3,3993387
2026-05-27,09:45:00,1779855300,430.4,430.9,429,429.1,4428721
2026-05-27,09:50:00,1779855600,429.25,431.5,429.25,431.25,4854594
2026-05-27,09:55:00,1779855900,431.1,432.8,430.45,431,5342220
2026-05-27,10:00:00,1779856200,431.1,434.4,431,432.8,5881267
2026-05-27,10:05:00,1779856500,432.95,433.75,432,432.45,6118701
2026-05-27,10:10:00,1779856800,432.4,432.6,431,431.5,6316824
2026-05-27,10:15:00,1779857100,431.45,432.15,430.55,431.4,6558148
2026-05-27,10:20:00,1779857400,431.45,435.6,431.3,435.15,7167152
2026-05-27,10:25:00,1779857700,435.45,436.9,435.15,436.6,7751273
2026-05-27,10:30:00,1779858000,436.65,436.9,435.35,435.8,8126455
2026-05-27,10:35:00,1779858300,435.85,437.75,435.75,437.45,8497908
2026-05-27,10:40:00,1779858600,437.3,437.65,435.9,436.2,8748972
2026-05-27,10:45:00,1779858900,436.4,437.15,435.25,435.7,8950158
2026-05-27,10:50:00,1779859200,435.5,435.65,434.65,435.15,9137090
2026-05-27,10:55:00,1779859500,435,435.45,434.05,434.3,9319120
2026-05-27,11:00:00,1779859800,434.5,435,433.9,434.65,9483277
2026-05-27,11:05:00,1779860100,434.8,435,434.1,434.45,9578765
2026-05-27,11:10:00,1779860400,434.5,434.9,433.75,433.8,9684545
2026-05-27,11:15:00,1779860700,433.75,434.65,433.45,434.5,9820493
2026-05-27,11:20:00,1779861000,434.4,434.6,433.85,434.15,9869485
2026-05-27,11:25:00,1779861300,434.25,434.4,434,434.25,9924495
2026-05-27,11:30:00,1779861600,434.3,434.75,433.2,433.25,10046409
2026-05-27,11:35:00,1779861900,433.15,433.65,433.05,433.55,10118502
2026-05-27,11:40:00,1779862200,433.6,433.75,432.85,433.1,10205787
2026-05-27,11:45:00,1779862500,433,433.8,432.9,433.55,10290230
2026-05-27,11:50:00,1779862800,433.5,433.75,433.15,433.7,10343512
2026-05-27,11:55:00,1779863100,433.65,433.7,433.2,433.5,10417932
2026-05-27,12:00:00,1779863400,433.4,433.95,433.25,433.7,10505436
2026-05-27,12:05:00,1779863700,433.65,434,433.55,434,10562148
2026-05-27,12:10:00,1779864000,435,435,434,434.2,10657797
2026-05-27,12:15:00,1779864300,434.1,434.2,433.2,434,10746956
2026-05-27,12:20:00,1779864600,434.2,435.8,433.95,435.6,10935537
2026-05-27,12:25:00,1779864900,435.4,437,435.4,436.7,11229621
2026-05-27,12:30:00,1779865200,436.6,437,435.85,436.6,11390338
2026-05-27,12:35:00,1779865500,436.55,436.6,435.1,435.1,11468631
2026-05-27,12:40:00,1779865800,435.05,435.35,433.7,433.9,11554140
2026-05-27,12:45:00,1779866100,433.8,434,433.7,433.9,11598023
2026-05-27,12:50:00,1779866400,433.75,433.95,433.15,433.4,11671179
2026-05-27,12:55:00,1779866700,433.5,433.8,433.2,433.45,11727461
2026-05-27,13:00:00,1779867000,433.4,433.6,433.1,433.55,11762764
2026-05-27,13:05:00,1779867300,433.45,433.95,433.35,433.45,11804933
2026-05-27,13:10:00,1779867600,433.3,433.95,433.15,433.7,11829888
2026-05-27,13:15:00,1779867900,433.6,433.7,433.1,433.4,11890867
2026-05-27,13:20:00,1779868200,433.3,433.7,433.3,433.5,11930762
2026-05-27,13:25:00,1779868500,433.6,433.65,433.2,433.25,11958194
2026-05-27,13:30:00,1779868800,433.3,433.95,433.05,433.95,12038887
2026-05-27,13:35:00,1779869100,433.9,433.95,433.6,433.8,12074099
2026-05-27,13:40:00,1779869400,433.65,433.95,433.5,433.55,12110150
2026-05-27,13:45:00,1779869700,433.5,434,433.5,433.9,12140446
2026-05-27,13:50:00,1779870000,433.75,433.85,432.6,432.95,12280311
2026-05-27,13:55:00,1779870300,433,433,432.45,432.7,12344615
2026-05-27,14:00:00,1779870600,432.5,432.9,432.4,432.9,12390150
2026-05-27,14:05:00,1779870900,432.8,433,432.7,432.9,12455135
2026-05-27,14:10:00,1779871200,432.8,432.9,432.5,432.8,12498144
2026-05-27,14:15:00,1779871500,432.6,432.7,431.85,432.4,12715847
2026-05-27,14:20:00,1779871800,432.3,432.55,431.5,432.3,12812782
2026-05-27,14:25:00,1779872100,432.5,432.65,431.85,432.4,12892079
2026-05-27,14:30:00,1779872400,432.5,433.15,432.35,432.35,12975583
2026-05-27,14:35:00,1779872700,432.45,433.15,432,433,13046162
2026-05-27,14:40:00,1779873000,432.85,433.75,432.8,433.45,13167627
2026-05-27,14:45:00,1779873300,433.4,433.6,433,433.3,13247089
2026-05-27,14:50:00,1779873600,433.25,434.4,433.25,433.75,13426395
2026-05-27,14:55:00,1779873900,433.8,434.15,433.25,434.1,13565106
2026-05-27,15:00:00,1779874200,434.15,435,434.05,434.15,13757430
2026-05-27,15:05:00,1779874500,434.4,434.65,434.35,434.45,13879196
2026-05-27,15:10:00,1779874800,434.35,434.35,432.9,432.9,14175432
2026-05-27,15:15:00,1779875100,433.05,433.15,432.2,432.2,14563123
2026-05-27,15:20:00,1779875400,432.15,433.35,432.05,433.2,15125561
2026-05-27,15:25:00,1779875700,433,434.45,432,433.5,15513884
2026-05-29,09:15:00,1780026300,438.2,441.5,435.15,437.5,1116444
2026-05-29,09:20:00,1780026600,437.45,437.8,434.8,436.4,1620462
2026-05-29,09:25:00,1780026900,436.2,438,435.95,436.85,1938712
2026-05-29,09:30:00,1780027200,436.6,439.2,436.6,438.75,2234068
2026-05-29,09:35:00,1780027500,439.1,439.6,437.1,438,2506650
2026-05-29,09:40:00,1780027800,438.05,438.05,435.35,435.35,2741743
2026-05-29,09:45:00,1780028100,435.25,436.9,435.25,435.8,2934891
2026-05-29,09:50:00,1780028400,435.55,436.45,435.2,435.45,3075593
2026-05-29,09:55:00,1780028700,435.4,436.2,431.85,432.1,3640616
2026-05-29,10:00:00,1780029000,432.05,434,430.75,433.2,4166687
2026-05-29,10:05:00,1780029300,433.25,433.5,432.35,432.95,4325076
2026-05-29,10:10:00,1780029600,433.1,433.75,432.75,433.15,4586507
2026-05-29,10:15:00,1780029900,433,434.3,432.65,434.1,4775118
2026-05-29,10:20:00,1780030200,434.25,434.35,433.4,433.45,4923698
2026-05-29,10:25:00,1780030500,433.8,434.15,433.05,433.2,5099225
2026-05-29,10:30:00,1780030800,433.35,435,433.35,434.9,5223997
2026-05-29,10:35:00,1780031100,435,435,434.1,434.15,5322028
2026-05-29,10:40:00,1780031400,434.3,434.6,433.25,433.3,5439914
2026-05-29,10:45:00,1780031700,433.2,434.2,432.9,434.15,5579137
2026-05-29,10:50:00,1780032000,434.3,434.7,433.6,433.7,5698542
2026-05-29,10:55:00,1780032300,433.65,433.9,433.1,433.5,5807424
2026-05-29,11:00:00,1780032600,433.45,433.9,432.45,432.85,5927075
2026-05-29,11:05:00,1780032900,433,433.35,432.3,432.35,6044877
2026-05-29,11:10:00,1780033200,432.45,432.95,432.25,432.85,6183316
2026-05-29,11:15:00,1780033500,433,433.15,432.5,432.5,6267603
2026-05-29,11:20:00,1780033800,432.55,433.05,432.35,432.9,6359280
2026-05-29,11:25:00,1780034100,433,433.8,432.5,433.2,6520202
2026-05-29,11:30:00,1780034400,433.25,434.3,433.25,434.05,6678275
2026-05-29,11:35:00,1780034700,434,434.55,433.6,434,6837928
2026-05-29,11:40:00,1780035000,433.95,434.35,433.3,433.3,6969731
2026-05-29,11:45:00,1780035300,433.4,434.75,433.4,433.9,7200043
2026-05-29,11:50:00,1780035600,433.95,434.95,433.4,434.5,7324991
2026-05-29,11:55:00,1780035900,434.35,434.95,434.35,434.8,7434760
2026-05-29,12:00:00,1780036200,434.85,434.85,433.75,434.1,7554306
2026-05-29,12:05:00,1780036500,434.3,434.5,433.9,433.9,7661130
2026-05-29,12:10:00,1780036800,433.95,434.15,433,433.6,7809612
2026-05-29,12:15:00,1780037100,433.55,434.65,433.35,434.6,7941007
2026-05-29,12:20:00,1780037400,434.55,435.2,433.9,434.9,8162743
2026-05-29,12:25:00,1780037700,434.95,435.6,434.7,434.7,8329894
2026-05-29,12:30:00,1780038000,434.6,434.7,433.55,433.55,8457029
2026-05-29,12:35:00,1780038300,433.6,434.55,433.55,434.4,8552728
2026-05-29,12:40:00,1780038600,434.45,436,434,436,8730314
2026-05-29,12:45:00,1780038900,435.8,436,435.2,435.65,8846662
2026-05-29,12:50:00,1780039200,435.7,436.1,435.65,435.75,8956097
2026-05-29,12:55:00,1780039500,435.8,435.85,433.6,434.1,9089267
2026-05-29,13:00:00,1780039800,434.05,434.3,433.4,433.6,9213223
2026-05-29,13:05:00,1780040100,433.55,433.8,433.3,433.65,9336065
2026-05-29,13:10:00,1780040400,433.6,433.9,433.05,433.05,9431746
2026-05-29,13:15:00,1780040700,433,434.65,432.7,434.1,9599314
2026-05-29,13:20:00,1780041000,434.05,434.45,433.4,433.85,9759629
2026-05-29,13:25:00,1780041300,433.75,434.35,433.6,433.8,9902770
2026-05-29,13:30:00,1780041600,434.05,434.2,433.1,433.25,10068321
2026-05-29,13:35:00,1780041900,433.2,434.05,433.15,433.65,10186389
2026-05-29,13:40:00,1780042200,433.7,434,433.4,433.55,10287946
2026-05-29,13:45:00,1780042500,433.6,434,433.15,433.45,10399490
2026-05-29,13:50:00,1780042800,433.5,433.8,433.05,433.75,10532569
2026-05-29,13:55:00,1780043100,433.8,434.35,433.5,434.35,10694347
2026-05-29,14:00:00,1780043400,434.25,434.3,433.5,433.65,10753065
2026-05-29,14:05:00,1780043700,433.7,433.7,432.9,433.35,10867357
2026-05-29,14:10:00,1780044000,433.4,433.85,433.1,433.5,10977873
2026-05-29,14:15:00,1780044300,433.45,433.5,431.5,431.8,11142446
2026-05-29,14:20:00,1780044600,432,433,431.65,432.3,11309684
2026-05-29,14:25:00,1780044900,432.55,432.7,431.95,432.35,11422633
2026-05-29,14:30:00,1780045200,432.3,432.7,431.8,432.45,11518823
2026-05-29,14:35:00,1780045500,432.4,433.35,431.55,432.1,11685126
2026-05-29,14:40:00,1780045800,432,432.8,432,432.15,11808235
2026-05-29,14:45:00,1780046100,432.3,432.55,431.85,432.2,11965215
2026-05-29,14:50:00,1780046400,432.25,432.7,432,432.15,12226012
2026-05-29,14:55:00,1780046700,432.05,432.45,429.45,430.15,12646831
2026-05-29,15:00:00,1780047000,430.35,431.3,419.85,423.95,31578579
2026-05-29,15:05:00,1780047300,423.9,425.85,422.6,424.2,48195461
2026-05-29,15:10:00,1780047600,424.55,428.9,424.4,428.6,63420116
2026-05-29,15:15:00,1780047900,428.55,429.1,423.1,423.95,80451361
2026-05-29,15:20:00,1780048200,423.9,425,421.6,421.7,96671657
2026-05-29,15:25:00,1780048500,421.65,424,416.85,424,107729300
