Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,420,420,407.05,410.7,1765944
2025-12-04,00:00:00,1764786600,411.65,411.75,407.05,408.15,2221247
2025-12-05,00:00:00,1764873000,408.2,412.9,406.35,411.95,760930
2025-12-08,00:00:00,1765132200,413,415,401.4,403.95,1200785
2025-12-09,00:00:00,1765218600,401.1,406.15,398,401.9,3705448
2025-12-10,00:00:00,1765305000,404.75,404.75,395.6,399.85,3276833
2025-12-11,00:00:00,1765391400,400,407.8,397.65,404.85,799175
2025-12-12,00:00:00,1765477800,404.05,405.2,401.3,404.35,1803667
2025-12-15,00:00:00,1765737000,403.5,404.3,398.35,403.55,564288
2025-12-16,00:00:00,1765823400,401.45,402.95,400.05,401.7,597083
2025-12-17,00:00:00,1765909800,400.2,404.2,396.3,398.15,863119
2025-12-18,00:00:00,1765996200,399.75,403,396.75,399.85,2446502
2025-12-19,00:00:00,1766082600,403.4,408.1,400.45,405.05,1551480
2025-12-22,00:00:00,1766341800,408.05,408.1,403.85,406,704060
2025-12-23,00:00:00,1766428200,405,415.45,405,410.25,1528489
2025-12-24,00:00:00,1766514600,410.4,413.5,408,408.9,706490
2025-12-26,00:00:00,1766687400,409,410.35,402.1,402.75,1696823
2025-12-29,00:00:00,1766946600,403,408.1,401.1,406.3,893809
2025-12-30,00:00:00,1767033000,408.2,413,404.8,411.45,1277438
2025-12-31,00:00:00,1767119400,412.1,429.4,410.8,424.35,2728793
2026-01-01,00:00:00,1767205800,424.25,429.5,418.7,427.55,1780489
2026-01-02,00:00:00,1767292200,427.55,431.5,426.3,428.85,1077168
2026-01-05,00:00:00,1767551400,432.45,432.45,415.1,419.9,2381147
2026-01-06,00:00:00,1767637800,419.9,426.4,417,425.55,1325704
2026-01-07,00:00:00,1767724200,423.7,423.7,413.35,418.4,1569435
2026-01-08,00:00:00,1767810600,415.4,417.95,406.35,409.95,4225325
2026-01-09,00:00:00,1767897000,412,425.3,412,420.05,3122912
2026-01-12,00:00:00,1768156200,421,426.85,414.7,425.6,1405653
2026-01-13,00:00:00,1768242600,429.75,449.9,425.6,447.9,12617320
2026-01-14,00:00:00,1768329000,449.8,467.5,449.5,458,12398467
